"Search interest in seven days before January 28, 2016 in Iowa. Values for each column indexed 1-100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,fips code,Top candidate,Top Republican,Top Democrat,Top issue,Top issue excl taxes,Jeb Bush,Ben Carson,Ted Cruz,John Kasich,Rand Paul,Marco Rubio,Donald Trump,Carly Fiorina,Chris Christie,Mike Huckabee,Rick Santorum,Jim Gilmore,Hillary Clinton,Martin O'Malley,Bernie Sanders,Taxes,Immigration,Economy,ObamaCare,Foreign Policy,Minimum Wage,Trans-Pacific Partnership (TPP),Income Inequality,ISIS,Guns,Ethanol
Louisa,19115,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Economy,21,0,30,0,18,36,47,48,17,23,28,0,10,0,15,80,0,39,9,0,0,0,0,17,24,0
Decatur,19053,Donald Trump,Donald Trump,Hillary Clinton,Guns,Guns,0,8,6,0,0,21,37,0,0,0,27,0,5,0,0,22,9,0,26,0,0,0,0,0,35,0
Van Buren,19177,Donald Trump,Donald Trump,Hillary Clinton,Guns,Guns,0,15,11,39,17,13,32,0,0,43,0,0,29,0,17,21,0,0,0,0,0,0,0,0,45,0
Winneshiek,19191,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Guns,8,18,10,48,3,11,44,28,13,17,32,0,12,13,18,33,7,2,3,0,0,0,0,0,15,17
Washington,19183,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Guns,8,0,17,24,3,11,47,0,13,17,21,0,28,20,30,39,4,7,7,0,12,0,17,13,15,0
Greene,19073,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Guns,42,0,14,0,9,14,41,0,0,0,27,0,10,17,12,67,0,13,0,0,10,0,0,0,16,22
Poweshiek,19157,Donald Trump,Donald Trump,Bernie Sanders,Guns,Guns,12,7,10,6,8,17,60,28,10,20,0,0,52,70,31,18,22,11,10,0,3,0,13,3,23,7
Wapello,19179,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Guns,5,13,9,0,6,15,35,17,8,22,0,0,33,12,21,42,4,5,4,0,7,0,0,3,17,5
Buena Vista,19021,Donald Trump,Donald Trump,Hillary Clinton,Taxes,Guns,16,6,12,8,10,3,41,27,0,25,0,0,16,0,8,47,24,19,7,0,0,0,0,2,15,0
Hancock,19081,Bernie Sanders,Donald Trump,Bernie Sanders,Taxes,Guns,38,14,18,13,5,30,45,14,0,0,16,0,47,10,34,47,0,12,11,33,12,0,0,3,24,41
Pottawattamie,19155,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Guns,12,5,4,7,0,14,33,6,2,8,13,0,11,4,11,43,16,6,2,0,4,0,0,9,19,5
Taylor,19173,Hillary Clinton,Donald Trump,Hillary Clinton,Taxes,Immigration,89,17,6,0,0,30,26,50,0,47,57,0,44,0,25,59,58,0,0,0,0,0,0,0,17,0
Scott,19163,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Guns,18,8,8,12,10,18,41,21,8,5,11,6,22,4,18,61,5,5,7,2,4,0,4,6,18,9
Mahaska,19123,Donald Trump,Donald Trump,Hillary Clinton,Guns,Guns,19,7,8,0,0,19,42,22,23,10,25,0,33,15,11,31,4,6,8,25,5,0,0,3,23,
Franklin,19069,Rand Paul,Rand Paul,Hillary Clinton,Guns,Guns,42,8,9,0,35,0,13,48,0,0,27,0,21,0,12,11,0,0,18,0,0,0,0,6,12,0
Black Hawk,19013,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Guns,15,11,11,8,11,17,42,20,8,11,2,19,24,5,20,47,9,5,5,2,8,15,4,4,16,11
Monroe,19135,Donald Trump,Donald Trump,Hillary Clinton,Taxes,Minimum Wage,34,13,14,100,28,11,87,0,0,36,87,100,33,0,10,45,0,0,0,0,16,0,0,9,6,0
Adams,19003,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Economy,0,0,0,0,0,0,64,0,42,0,0,0,0,0,15,43,23,32,22,0,0,0,0,0,10,0
Webster,19187,Donald Trump,Donald Trump,Bernie Sanders,Guns,Guns,11,7,7,7,5,18,31,8,9,12,0,0,23,6,14,29,5,5,0,10,2,0,0,7,27,12
Audubon,19009,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Guns,0,13,10,0,0,11,48,77,0,0,0,0,17,0,19,37,0,0,0,0,0,0,0,0,6,0
Winnebago,19189,Rand Paul,Rand Paul,Bernie Sanders,Guns,Guns,0,12,17,0,91,31,43,35,0,0,0,0,0,0,18,17,0,19,0,0,0,0,66,0,47,33
Jasper,19099,Hillary Clinton,Donald Trump,Hillary Clinton,Taxes,Guns,63,24,22,5,18,46,66,30,46,61,14,16,84,34,29,48,9,14,7,0,2,0,0,6,23,6
Adair,19001,Ted Cruz,Ted Cruz,Hillary Clinton,Guns,Guns,0,0,20,0,0,28,21,47,0,22,0,0,10,0,3,44,18,6,0,0,0,0,0,0,54,0
Madison,19121,Donald Trump,Donald Trump,Bernie Sanders,Guns,Guns,74,17,10,0,12,40,100,100,12,63,38,0,36,12,38,24,13,0,0,0,0,0,32,0,25,0
Howard,19089,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Economy,100,56,38,49,21,100,69,84,99,0,0,0,43,0,49,33,0,23,10,0,0,0,0,0,9,27
Butler,19023,Donald Trump,Donald Trump,Bernie Sanders,Guns,Guns,29,11,22,0,12,34,60,16,11,15,0,0,42,35,32,42,100,0,0,0,0,0,0,0,46,0
Crawford,19047,Donald Trump,Donald Trump,Martin O'Malley,Taxes,Immigration,34,13,11,11,9,26,29,51,0,36,15,0,8,100,11,45,64,3,19,30,0,36,0,3,19,12
Buchanan,19019,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Guns,10,16,9,0,17,24,33,47,0,11,0,0,18,0,13,61,32,16,4,0,20,0,0,11,25,0
Jones,19105,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Guns,22,0,2,11,9,7,40,13,0,0,0,0,5,9,17,48,5,0,0,0,0,0,24,6,25,12
Linn,19113,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Guns,10,8,9,14,11,16,38,16,10,15,10,13,22,5,21,46,4,2,4,24,4,3,1,9,16,3
Muscatine,19139,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Guns,40,0,11,0,8,20,40,0,0,21,0,0,20,0,14,38,9,0,17,0,10,0,0,0,15,0
Lucas,19117,Donald Trump,Donald Trump,Hillary Clinton,Guns,Guns,22,17,15,43,0,15,52,25,52,94,0,0,38,0,9,41,77,0,9,0,63,0,0,0,70,0
Montgomery,19137,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Guns,19,7,3,19,16,19,15,0,0,0,25,0,9,0,11,67,17,6,0,51,36,0,0,0,25,
Humboldt,19091,Donald Trump,Donald Trump,Bernie Sanders,Guns,Guns,0,15,11,0,0,7,37,0,0,0,26,0,5,0,14,33,18,12,9,0,10,0,0,11,27,22
Rock Island,17161,Bernie Sanders,Jeb Bush,Bernie Sanders,ISIS,ISIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,93,64,
Page,19145,Donald Trump,Donald Trump,Bernie Sanders,Taxes,Guns,13,10,7,0,0,13,57,0,10,0,34,0,10,0,9,49,0,0,11,0,0,0,0,4,22,14
Clark,29045,Hillary Clinton,Donald Trump,Hillary Clinton,Taxes,Immigration,0,19,0,0,0,0,30,57,0,0,0,0,100,82,43,95,0,0,0,0,0,0,0,0,0,0
Clay,19041,Donald Trump,Donald Trump,Bernie Sanders,Taxes,ISIS,10,28,15,10,4,14,60,0,0,11,0,31,21,17,16,50,5,10,0,0,5,33,22,20,14,0
Cerro Gordo,19033,Bernie Sanders,Donald Trump,Bernie Sanders,Taxes,Guns,23,7,7,8,8,20,57,4,21,12,0,0,25,0,48,50,7,8,3,0,5,24,0,8,16,4
