"Search interest in each issue for seven days up to Feb 4, 2016. Indexed 1-100 for each issue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,code,Top issue,Top candidate,Top Democrat,Top Republican,Jeb Bush,Ben Carson,Ted Cruz,John Kasich,Rand Paul,Marco Rubio,Donald Trump,Carly Fiorina,Chris Christie,Rick Santorum,Hillary Clinton,Bernie Sanders,Taxes,Immigration,Economy,ObamaCare,Foreign Policy,Minimum Wage,Trans-Pacific Partnership (TPP),Income Inequality,ISIS,Guns,,,,,,,,,,,,,,,,,,,,,,,,,
Strafford,33017,ObamaCare,Bernie Sanders,Bernie Sanders,Donald Trump,46,74,82,61,56,83,53,72,51,49,77,73,48,32,73,71,61,21,93,44,68,75,46,74,82,61,56,83,53,72,51,49,77,73,48,32,73,71,61,21,93,44,68,75,,,
Carroll,33003,ObamaCare,Donald Trump,Bernie Sanders,Donald Trump,37,69,63,59,76,64,49,57,31,78,69,64,53,23,68,100,0,22,15,40,76,86,37,69,63,59,76,64,49,57,31,78,69,64,53,23,68,100,0,22,15,40,76,86,,,
Belknap,33001,ObamaCare,Donald Trump,Bernie Sanders,Donald Trump,65,76,84,61,42,73,48,66,37,38,62,59,54,39,54,83,33,22,13,34,88,96,65,76,84,61,42,73,48,66,37,38,62,59,54,39,54,83,33,22,13,34,88,96,,,
Windsor,50027,Minimum Wage,Donald Trump,Bernie Sanders,Donald Trump,0,0,0,0,0,0,100,0,0,0,0,45,100,0,0,0,0,100,0,0,0,42,0,0,0,0,0,0,100,0,0,0,0,45,100,0,0,0,0,100,0,0,0,42,,,
Rockingham,33015,Immigration,Donald Trump,Bernie Sanders,Donald Trump,66,100,99,91,72,91,63,78,89,75,82,70,51,45,66,85,68,25,54,18,90,88,66,100,99,91,72,91,63,78,89,75,82,70,51,45,66,85,68,25,54,18,90,88,,,
Grafton,33009,Economy,Bernie Sanders,Bernie Sanders,Donald Trump,53,62,81,75,58,79,49,52,45,49,100,100,48,40,100,66,80,25,100,100,68,75,53,62,81,75,58,79,49,52,45,49,100,100,48,40,100,66,80,25,100,100,68,75,,,
Merrimack,33013,ISIS,Donald Trump,Bernie Sanders,Donald Trump,74,71,100,100,73,100,55,79,100,43,87,74,47,44,81,77,50,19,43,22,100,81,74,71,100,100,73,100,55,79,100,43,87,74,47,44,81,77,50,19,43,22,100,81,,,
Sullivan,33019,Immigration,Bernie Sanders,Bernie Sanders,Donald Trump,46,81,72,81,100,76,45,100,38,56,76,99,49,40,55,68,100,22,87,14,86,100,46,81,72,81,100,76,45,100,38,56,76,99,49,40,55,68,100,22,87,14,86,100,,,
Coos,33007,Immigration,Donald Trump,Bernie Sanders,Donald Trump,37,40,37,17,81,72,48,54,27,100,60,51,49,100,77,89,0,42,39,0,61,85,37,40,37,17,81,72,48,54,27,100,60,51,49,100,77,89,0,42,39,0,61,85,,,
Hillsborough,33011,ObamaCare,Donald Trump,Bernie Sanders,Donald Trump,72,81,98,95,99,82,60,69,90,66,81,62,50,35,62,79,53,20,24,21,72,82,72,81,98,95,99,82,60,69,90,66,81,62,50,35,62,79,53,20,24,21,72,82,,,
Cheshire,33005,Immigration,Bernie Sanders,Bernie Sanders,Donald Trump,100,94,82,71,96,72,60,46,60,45,69,97,47,43,63,82,69,31,53,70,82,96,100,94,82,71,96,72,60,46,60,45,69,97,47,43,63,82,69,31,53,70,82,96,,,
