name,code,Top cand,Top dem,Top rep,Top issue,Ben Carson,Ted Cruz,John Kasich,Marco Rubio,Donald Trump,Hillary Clinton,Bernie Sanders,Immigration,Economy,ObamaCare,Foreign Policy,Minimum Wage,Trans-Pacific Partnership (TPP),Income Inequality,ISIS,Ethanol
Pershing,32027,Bernie Sanders,Bernie Sanders,Donald Trump,Economy,0,473.4848485,0,0,1893.939394,946.969697,4261.363636,0,473.4848485,0,0,0,0,0,0,0.0Ê
Elko,32007,Bernie Sanders,Bernie Sanders,Donald Trump,Immigration,359.7861842,1738.966557,214.158443,1053.659539,2175.849781,1550.507127,3220.942982,248.4237939,102.7960526,111.3623904,25.69901316,222.7247807,25.69901316,0,102.7960526,8.566337719
Mohave,4015,Donald Trump,Bernie Sanders,Donald Trump,ObamaCare,240.3846154,420.6730769,180.2884615,180.2884615,1862.980769,1021.634615,1802.884615,120.1923077,0,180.2884615,0,0,0,0,180.2884615,0
Carson City,32510,Bernie Sanders,Bernie Sanders,Donald Trump,Immigration,356.054584,724.5296767,144.9059353,678.9878113,1374.536301,1275.172231,1444.919184,256.690514,149.0461049,153.1862745,20.70084791,173.8871224,16.56067833,16.56067833,169.7469528,53.82220456
Lincoln,32017,Hillary Clinton,Hillary Clinton,Ted Cruz,Immigration,0,2111.486486,0,0,1266.891892,3378.378378,2111.486486,0,0,0,0,0,0,0,0,0.0Ê
Storey,32029,Ben Carson,Hillary Clinton,Ben Carson,ObamaCare,4672.897196,292.0560748,292.0560748,1460.280374,1168.224299,2628.504673,2336.448598,292.0560748,292.0560748,876.1682243,0,0,0,0,0,292.0560748
Douglas,32005,Donald Trump,Bernie Sanders,Donald Trump,Immigration,265.5990879,1198.434909,291.511194,1574.160448,1638.940713,1366.863599,1379.819652,265.5990879,116.6044776,71.25829187,12.95605307,174.9067164,19.4340796,12.95605307,142.5165837,19.4340796
Nye,32023,Donald Trump,Bernie Sanders,Donald Trump,Immigration,146.4190094,1275.937082,125.502008,460.1740295,2321.787149,1234.103079,1464.190094,177.7945114,115.0435074,156.87751,52.29250335,135.9605087,31.37550201,10.45850067,177.7945114,10.45850067
Lander,32015,Donald Trump,Hillary Clinton,Donald Trump,Minimum Wage,781.25,781.25,0,390.625,1171.875,1171.875,781.25,390.625,0,0,0,1171.875,0,0,0,0.0Ê
White Pine,32033,Bernie Sanders,Bernie Sanders,Donald Trump,Immigration,0,0,0,0,625,0,1875,0,0,0,0,0,0,0,0,625.0Ê
Churchill,32001,Donald Trump,Bernie Sanders,Donald Trump,ISIS,291.8612408,1084.056037,104.2361574,646.2641761,1396.76451,667.1114076,1021.514343,166.7778519,104.2361574,208.4723149,62.54169446,208.4723149,0,0,271.0140093,20.84723149
Humboldt,32013,Bernie Sanders,Bernie Sanders,Ben Carson,Immigration,0,0,0,0,0,0,1838.235294,0,0,0,0,0,0,0,0,0.0Ê
Washoe,32031,Bernie Sanders,Bernie Sanders,Donald Trump,Immigration,245.9565369,713.4299549,212.1570128,572.511939,1541.778292,1536.058372,1960.372398,207.9970714,132.0781403,101.3985723,45.75935571,120.1183087,22.35968518,18.71973643,155.4778109,60.83914338
Lyon,32019,Bernie Sanders,Bernie Sanders,Donald Trump,Immigration,325.6078012,943.4277318,192.0251135,617.8199305,1285.733369,1068.661501,1427.664975,250.4675394,192.0251135,108.5359337,25.04675394,133.5826877,41.7445899,0,175.3272776,16.69783596
Esmeralda,32009,Donald Trump,Bernie Sanders,Donald Trump,Immigration,53.91649413,280.3657695,107.8329883,377.4154589,1811.594203,1164.596273,1412.612146,269.5824707,172.5327812,43.13319531,21.56659765,97.04968944,21.56659765,0,140.1828847,21.56659765
Clark,32003,Donald Trump,Bernie Sanders,Donald Trump,Immigration,130.5336049,491.0456497,131.7104669,424.6510212,1626.325147,1285.721683,1408.997973,239.7856228,120.8244938,95.52196181,16.47606734,156.7187833,12.55319416,9.611039279,152.305551,17.94714478
Mineral,32021,Ted Cruz,Bernie Sanders,Ted Cruz,Economy,0,1856.435644,0,928.2178218,309.4059406,309.4059406,928.2178218,0,309.4059406,0,0,0,0,0,309.4059406,0
