"Top states searching for ""how"" and spelling in the last year in the US",
state,search interest
Idaho (United States),100
Wyoming (United States),96.91
South Dakota (United States),91.89
Iowa (United States),90.46
Utah (United States),88.18
Nebraska (United States),86.05
New Mexico (United States),86
Montana (United States),85.58
Missouri (United States),83.44
West Virginia (United States),83.23
Arkansas (United States),82.55
Georgia (United States),81.51
North Dakota (United States),81.5
Mississippi (United States),80.09
Wisconsin (United States),79.32
Maine (United States),78.89
Indiana (United States),78.11
South Carolina (United States),76.54
Michigan (United States),75.09
Alabama (United States),74.38
Nevada (United States),74.29
Ohio (United States),73.83
Kansas (United States),73.36
Colorado (United States),73.35
Arizona (United States),73.13
Louisiana (United States),72.47
Tennessee (United States),71.93
North Carolina (United States),70.81
Illinois (United States),70.73
Minnesota (United States),70.64
Oklahoma (United States),70.43
Kentucky (United States),69.95
Texas (United States),67.34
Pennsylvania (United States),64.82
New Hampshire (United States),63.37
Delaware (United States),63.02
California (United States),62.64
Rhode Island (United States),61.53
Florida (United States),59.74
Alaska (United States),59.53
Washington (United States),59.47
Vermont (United States),58.59
Hawaii (United States),56.26
Connecticut (United States),56.04
New Jersey (United States),55.17
Maryland (United States),54.56
District of Columbia (United States),52.75
Massachusetts (United States),52.53
New York (United States),50.75
Virginia (United States),33.39
Oregon (United States),28.42
