"Search interest in Nadal v. Djokovic during the French Open quarter-finals, indexed to 100",,
Time in GMT,Search interest in Nadal,Search interest in Djokovic
6/3/2015 13:02:00,7.07,13.01
6/3/2015 13:03:00,5.87,15.92
6/3/2015 13:04:00,6.86,15.21
6/3/2015 13:05:00,6.78,15.82
6/3/2015 13:06:00,5.92,15.35
6/3/2015 13:07:00,6.53,14.62
6/3/2015 13:08:00,6.55,13.80
6/3/2015 13:09:00,7.10,14.77
6/3/2015 13:10:00,6.78,13.14
6/3/2015 13:11:00,6.50,14.12
6/3/2015 13:12:00,6.99,12.44
6/3/2015 13:13:00,6.44,14.82
6/3/2015 13:14:00,6.63,14.79
6/3/2015 13:15:00,6.76,13.65
6/3/2015 13:16:00,7.78,15.36
6/3/2015 13:17:00,7.39,14.16
6/3/2015 13:18:00,7.32,14.99
6/3/2015 13:19:00,8.06,17.37
6/3/2015 13:20:00,7.31,15.25
6/3/2015 13:21:00,9.85,17.91
6/3/2015 13:22:00,10.77,21.40
6/3/2015 13:23:00,7.80,16.91
6/3/2015 13:24:00,9.51,16.46
6/3/2015 13:25:00,10.68,22.12
6/3/2015 13:26:00,10.21,21.04
6/3/2015 13:27:00,10.05,18.71
6/3/2015 13:28:00,11.16,21.49
6/3/2015 13:29:00,10.81,19.77
6/3/2015 13:30:00,12.25,25.06
6/3/2015 13:31:00,13.60,26.25
6/3/2015 13:32:00,13.57,24.48
6/3/2015 13:33:00,11.68,22.07
6/3/2015 13:34:00,15.73,24.28
6/3/2015 13:35:00,16.40,32.33
6/3/2015 13:36:00,17.68,34.26
6/3/2015 13:37:00,19.04,27.77
6/3/2015 13:38:00,17.44,26.34
6/3/2015 13:39:00,14.85,26.45
6/3/2015 13:40:00,15.40,28.16
6/3/2015 13:41:00,18.84,36.72
6/3/2015 13:42:00,19.59,35.92
6/3/2015 13:43:00,18.65,32.17
6/3/2015 13:44:00,20.39,35.97
6/3/2015 13:45:00,22.26,39.03
6/3/2015 13:46:00,17.14,32.18
6/3/2015 13:47:00,20.24,32.29
6/3/2015 13:48:00,18.93,31.21
6/3/2015 13:49:00,22.50,35.51
6/3/2015 13:50:00,18.21,36.63
6/3/2015 13:51:00,20.32,36.10
6/3/2015 13:52:00,19.30,32.16
6/3/2015 13:53:00,20.51,37.09
6/3/2015 13:54:00,19.98,35.01
6/3/2015 13:55:00,21.76,37.11
6/3/2015 13:56:00,21.06,37.58
6/3/2015 13:57:00,22.02,40.04
6/3/2015 13:58:00,18.74,33.02
6/3/2015 13:59:00,18.35,30.47
6/3/2015 14:00:00,20.09,35.42
6/3/2015 14:01:00,25.22,35.57
6/3/2015 14:02:00,21.61,29.20
6/3/2015 14:03:00,20.58,31.85
6/3/2015 14:04:00,22.77,37.56
6/3/2015 14:05:00,24.93,39.02
6/3/2015 14:06:00,20.68,34.06
6/3/2015 14:07:00,22.10,41.09
6/3/2015 14:08:00,20.51,34.61
6/3/2015 14:09:00,17.57,32.30
6/3/2015 14:10:00,17.07,36.84
6/3/2015 14:11:00,22.06,38.72
6/3/2015 14:12:00,20.16,33.40
6/3/2015 14:13:00,18.87,33.70
6/3/2015 14:14:00,24.38,33.14
6/3/2015 14:15:00,19.43,33.05
6/3/2015 14:16:00,18.96,37.65
6/3/2015 14:17:00,21.49,39.00
6/3/2015 14:18:00,21.21,36.83
6/3/2015 14:19:00,21.87,38.83
6/3/2015 14:20:00,17.53,32.49
6/3/2015 14:21:00,22.42,62.15
6/3/2015 14:22:00,21.20,50.03
6/3/2015 14:23:00,19.94,45.02
6/3/2015 14:24:00,17.72,42.49
6/3/2015 14:25:00,17.12,37.67
6/3/2015 14:26:00,22.27,40.57
6/3/2015 14:27:00,21.36,39.23
6/3/2015 14:28:00,21.06,40.17
6/3/2015 14:29:00,21.85,38.98
6/3/2015 14:30:00,20.67,37.82
6/3/2015 14:31:00,18.82,33.32
6/3/2015 14:32:00,19.26,46.49
6/3/2015 14:33:00,18.68,41.07
6/3/2015 14:34:00,19.20,37.31
6/3/2015 14:35:00,21.87,41.91
6/3/2015 14:36:00,19.37,40.30
6/3/2015 14:37:00,18.34,36.35
6/3/2015 14:38:00,16.70,35.55
6/3/2015 14:39:00,16.16,32.79
6/3/2015 14:40:00,20.45,38.41
6/3/2015 14:41:00,20.49,40.10
6/3/2015 14:42:00,21.62,46.00
