"Most searched NBA Finals team on Google, June 7, 2015",
Country,Top team
Afghanistan,Cleveland Cavaliers
Albania,Golden State Warriors
Algeria,Golden State Warriors
American Samoa,Cleveland Cavaliers
Andorra,Golden State Warriors
Angola,Cleveland Cavaliers
Anguilla,Cleveland Cavaliers
Antigua and Barbuda,Cleveland Cavaliers
Argentina,Golden State Warriors
Armenia,Cleveland Cavaliers
Aruba,Golden State Warriors
Australia,Golden State Warriors
Austria,Golden State Warriors
Azerbaijan,Golden State Warriors
Bahrain,Golden State Warriors
Bangladesh,Golden State Warriors
Barbados,Golden State Warriors
Belarus,Golden State Warriors
Belgium,Golden State Warriors
Belize,Golden State Warriors
Benin,Cleveland Cavaliers
Bermuda,Golden State Warriors
Bhutan,Cleveland Cavaliers
Bolivia,Golden State Warriors
Bosnia and Herzegovina,Golden State Warriors
Botswana,Cleveland Cavaliers
Brazil,Golden State Warriors
British Indian Ocean Territory,Cleveland Cavaliers
British Virgin Islands,Cleveland Cavaliers
Brunei Darussalam,Cleveland Cavaliers
Bulgaria,Golden State Warriors
Burkina Faso,Golden State Warriors
Burundi,Golden State Warriors
Cambodia,Golden State Warriors
Cameroon,Cleveland Cavaliers
Canada,Golden State Warriors
Cape Verde,Golden State Warriors
Caribbean Netherlands,Cleveland Cavaliers
Cayman Islands,Cleveland Cavaliers
Chad,Golden State Warriors
Chile,Golden State Warriors
China,Cleveland Cavaliers
Colombia,Golden State Warriors
Congo,Golden State Warriors
Cook Islands,Cleveland Cavaliers
Costa Rica,Golden State Warriors
C™te d'Ivoire,Golden State Warriors
Croatia,Golden State Warriors
Cuba,Cleveland Cavaliers
Curaçao,Cleveland Cavaliers
Cyprus,Cleveland Cavaliers
Czech Republic,Golden State Warriors
Democratic Republic of the Congo,Cleveland Cavaliers
Denmark,Golden State Warriors
Djibouti,Cleveland Cavaliers
Dominica,Golden State Warriors
Dominican Republic,Golden State Warriors
Ecuador,Golden State Warriors
Egypt,Cleveland Cavaliers
El Salvador,Golden State Warriors
Equatorial Guinea,Golden State Warriors
Estonia,Cleveland Cavaliers
Ethiopia,Cleveland Cavaliers
Fiji,Golden State Warriors
Finland,Cleveland Cavaliers
France,Golden State Warriors
French Guiana,Golden State Warriors
French Polynesia,Cleveland Cavaliers
Gabon,Cleveland Cavaliers
Georgia,Golden State Warriors
Germany,Golden State Warriors
Ghana,Cleveland Cavaliers
Gibraltar,Cleveland Cavaliers
Greece,Cleveland Cavaliers
Greenland,Golden State Warriors
Grenada,Golden State Warriors
Guadeloupe,Golden State Warriors
Guam,Golden State Warriors
Guatemala,Golden State Warriors
Guernsey,Cleveland Cavaliers
Guinea,Golden State Warriors
Guyana,Cleveland Cavaliers
Haiti,Golden State Warriors
Honduras,Golden State Warriors
Hong Kong,Golden State Warriors
Hungary,Golden State Warriors
Iceland,Golden State Warriors
India,Golden State Warriors
Indonesia,Cleveland Cavaliers
Iran,Cleveland Cavaliers
Iraq,Cleveland Cavaliers
Ireland,Golden State Warriors
Isle of Man,Cleveland Cavaliers
Israel,Cleveland Cavaliers
Italy,Golden State Warriors
Jamaica,Cleveland Cavaliers
Japan,Golden State Warriors
Jersey,Cleveland Cavaliers
Jordan,Golden State Warriors
Kazakhstan,Golden State Warriors
Kenya,Golden State Warriors
Kosovo,Golden State Warriors
Kuwait,Golden State Warriors
Kyrgyzstan,Cleveland Cavaliers
Laos,Golden State Warriors
Latvia,Cleveland Cavaliers
Lebanon,Golden State Warriors
Lesotho,Cleveland Cavaliers
Liberia,Golden State Warriors
Libya,Cleveland Cavaliers
Liechtenstein,Cleveland Cavaliers
Lithuania,Cleveland Cavaliers
Luxembourg,Cleveland Cavaliers
Macau,Golden State Warriors
Macedonia ,Golden State Warriors
Madagascar,Cleveland Cavaliers
Malawi,Cleveland Cavaliers
Malaysia,Golden State Warriors
Maldives,Cleveland Cavaliers
Mali,Cleveland Cavaliers
Malta,Golden State Warriors
Marshall Islands,Cleveland Cavaliers
Martinique,Golden State Warriors
Mauritania,Cleveland Cavaliers
Mauritius,Cleveland Cavaliers
Mayotte,Cleveland Cavaliers
Mexico,Golden State Warriors
Micronesia,Golden State Warriors
Moldova,Cleveland Cavaliers
Monaco,Golden State Warriors
Mongolia,Cleveland Cavaliers
Montenegro,Golden State Warriors
Montserrat,Cleveland Cavaliers
