"Search interest in Ebola and MERS by month globally, indexed by 100",,
month,Search interest in Ebola,Search interest in MERS
January 2014,0.00,1.64
February 2014,0.08,1.54
March 2014,0.51,1.68
April 2014,1.05,19.53
May 2014,0.34,41.34
June 2014,0.42,6.28
July 2014,1.64,3.36
August 2014,13.65,2.76
September 2014,3.26,2.77
October 2014,13.28,4.73
November 2014,2.37,2.64
December 2014,1.06,1.77
January 2015,0.69,1.53
February 2015,0.53,4.08
March 2015,0.51,3.51
April 2015,0.31,1.81
May 2015,0.25,4.87
June 2015,0.29,100.00
