"Top States Searching for Jeb Bush, 6/15",
State,Search Interest
District of Columbia (United States),100
Florida (United States),63.39
Maryland (United States),49.46
New York (United States),47.28
Vermont (United States),46.29
Delaware (United States),42.07
Virginia (United States),40.87
Connecticut (United States),38.81
Maine (United States),38.63
Massachusetts (United States),38.06
Rhode Island (United States),36.99
New Jersey (United States),31.47
Iowa (United States),31.00
Georgia (United States),30.71
Pennsylvania (United States),30.64
North Carolina (United States),30.29
Tennessee (United States),29.90
Illinois (United States),29.86
Minnesota (United States),29.53
Kansas (United States),29.19
Wisconsin (United States),29.01
Missouri (United States),28.96
New Mexico (United States),28.87
New Hampshire (United States),28.83
Arizona (United States),28.72
South Dakota (United States),28.47
Colorado (United States),28.37
Indiana (United States),28.14
Alabama (United States),27.75
Texas (United States),27.11
Oregon (United States),27.07
Washington (United States),27.02
Oklahoma (United States),26.53
Ohio (United States),26.48
Michigan (United States),26.40
West Virginia (United States),26.29
Kentucky (United States),26.06
Idaho (United States),25.85
Nevada (United States),25.82
California (United States),25.56
Louisiana (United States),24.71
Alaska (United States),24.13
South Carolina (United States),23.66
North Dakota (United States),23.24
Mississippi (United States),22.83
Nebraska (United States),22.78
Utah (United States),22.41
Wyoming (United States),20.89
Montana (United States),20.85
Arkansas (United States),18.76
Hawaii (United States),16.89
