"Top States Searching for Jeb Bush, 6/8-6/14",
State,Search Interest
District of Columbia (United States),100
Maine (United States),60.93
Florida (United States),60.11
New Hampshire (United States),58.70
Maryland (United States),56.65
Vermont (United States),56.56
Rhode Island (United States),48.59
Virginia (United States),46.45
New York (United States),45.77
Massachusetts (United States),43.46
Iowa (United States),43.27
Connecticut (United States),41.16
Alaska (United States),37.93
New Jersey (United States),36.48
Oregon (United States),36.48
Missouri (United States),35.99
Pennsylvania (United States),35.46
New Mexico (United States),34.97
Alabama (United States),34.82
Idaho (United States),34.64
Washington (United States),33.99
Georgia (United States),33.71
Montana (United States),33.27
South Dakota (United States),32.82
Illinois (United States),32.60
North Carolina (United States),32.09
Michigan (United States),31.15
Colorado (United States),31.10
Arizona (United States),30.78
Texas (United States),30.48
Tennessee (United States),30.47
Minnesota (United States),30.25
California (United States),30.17
Kansas (United States),30.07
Indiana (United States),29.85
Kentucky (United States),29.56
Nebraska (United States),29.05
Delaware (United States),28.70
Arkansas (United States),28.57
Wisconsin (United States),27.48
Oklahoma (United States),26.92
South Carolina (United States),26.88
Utah (United States),26.85
West Virginia (United States),26.30
Ohio (United States),26.22
Nevada (United States),25.74
Louisiana (United States),24.80
Mississippi (United States),24.79
Wyoming (United States),24.37
Hawaii (United States),23.72
North Dakota (United States),21.40
