"Most Searched Players during the 2015 NBA Finals, 06/04/15-06/16/15",
Player,Search interest
LeBron James,100.00
Stephen Curry,58.39
Kyrie Irving,12.47
Matthew Dellavedova,11.01
Klay Thompson,6.53
Andre Iguodala,4.81
J.R. Smith,4.55
Timofey Mozgov,3.33
Draymond Green,2.70
Kevin Love,2.44
Iman Shumpert,2.32
David Lee,2.12
Shaun Livingston,1.81
Andrew Bogut,1.51
Tristan Thompson,1.47
Harrison Barnes,1.16
Mike Miller,1.00
Leandro Barbosa,0.92
Marreese Speights,0.72
Shawn Marion,0.62
Anderson Varejao,0.53
Kendrick Perkins,0.43
Festus Ezeli,0.41
James Jones,0.25
Joe Harris,0.16
James Michael McAdoo,0.14
Brendan Haywood,0.11
Justin Holiday,0.08
Brandon Rush,0.06
Ognjen Kuzmic,0.04
