"Search interest by week in the US. 
All values indexed to 100, where 100 is the max value across all states and candidates. ",,,,,,,,,,,,,,,,,,,,,
Week,Hillary Clinton,Bernie Sanders,Ben Carson,Ted Cruz,Carly Fiorina,Mike Huckabee,Rand Paul,Marco Rubio,Jeb Bush,Scott Walker,Chris Christie,Lindsey Graham,Rick Santorum,Martin O'Malley,George Pataki,Rick Perry,Lincoln Chafee,Bobby Jindal,John Kasich,Jim Webb,Donald Trump
12/28/2014,1.699089009,0.1777580044,0.8526185096,0.3924163353,0.1225917307,0.1042029686,0.3126740182,0.3004047541,2.192188538,0.2635722234,0.3187384972,0.0306522083,0.1777580044,0.04903669477,0.1287213222,0.1593692549,0,0.04903669477,0.06742545688,0.1654988339,1.566544367
1/4/2015,4.286984929,0.5242195621,1.952675595,0.8956333688,0.3983972075,2.841354413,0.9771623995,0.6275406342,3.058373446,0.88478759,10.55891883,0.3164987546,0.589490275,0.06549108984,0.180100914,0.6550180651,0.0272843754,0.2128181281,0.2565437457,0.3274125048,5.990411787
1/11/2015,4.773637918,0.6528605501,2.172130899,3.25188898,0.4708639002,1.790673628,1.56965936,1.924256697,2.414265846,1.254224863,4.351757674,0.2568348524,0.4228042568,0.03745508055,0.133771009,0.8566741177,0.04815654109,0.4227765216,0.3747335669,0.09096234565,4.562137638
1/18/2015,5.43285858,0.5859717291,2.316812461,2.687080636,0.2603270172,3.225529583,1.793156957,2.109874433,2.228996556,1.308921306,1.16075687,0.629297694,0.5369373289,0.1030461149,0.05423479996,1.009946883,0.02711739998,2.60466507,0.3906275029,0.2277861322,5.755546121
1/25/2015,5.993947499,0.6509004916,3.340371445,1.950259122,0.5654056286,1.860751658,1.601864389,1.522475871,3.547726655,5.3587724,2.762685769,0.6456797043,0.629603847,0.04268023131,0.1013462933,1.147857646,0.01558155134,1.120723219,0.5763489446,0.3682471668,7.265552788
2/1/2015,6.172596076,0.5403146284,2.636813624,1.216201913,0.6337778313,2.029434836,5.412010764,0.8313747399,3.251391753,6.669332339,3.435646953,0.5246639773,0.3688520248,0.03635694477,0.4571110539,0.6129747152,0.01558155134,1.746721891,0.3532522049,0.171397002,4.237097571
2/8/2015,5.536279484,0.9122325587,4.340607172,1.367398563,0.2588090668,0.8446701687,2.131984037,0.8085495624,2.965133341,5.168387621,1.571427617,0.3053947074,1.273992824,0.04658562802,0.05176181588,0.5333031152,0.01552853849,1.305663097,0.2898712595,0.1967028497,3.750439792
2/15/2015,6.30523675,0.6019701861,2.703171389,0.9353267751,0.4943541332,0.9085550119,1.835525568,0.8814800172,3.918482553,4.864731028,1.365800742,0.2741236606,0.4568213765,0.02149366233,0.1612035144,0.5319680391,0,0.4836081358,0.3654236058,0.2204449815,5.603341976
2/22/2015,5.95076925,0.6144369945,3.63718503,1.725336098,1.354533518,0.6662635969,2.047545168,1.073376014,4.29361255,6.871633611,1.893827938,0.4478636976,0.5154668503,0.0364362885,0.1353347876,0.6922895191,0,0.8330635902,0.4320900311,0.5206794626,4.649834252
3/1/2015,16.01900513,0.7668232739,8.925508988,1.346413086,0.5836611815,0.8236029538,2.74096279,1.042539564,2.812992842,4.432652745,1.812020841,0.5888724396,0.375263896,0.1980279076,0.1198589987,0.609945209,0,0.3752107578,0.2189375509,0.2084504238,4.000572858
3/8/2015,30.11879421,0.886880331,3.421351627,1.484731602,0.6021274693,0.8332340138,1.889200348,1.253104245,2.553814566,3.124342717,1.286763165,1.679367202,0.4083243019,0.3116159179,0.1504352737,0.4730633566,0,0.3653427951,0.2310370811,0.4944918186,4.071599264
3/15/2015,13.00017364,0.5777069161,2.245062934,3.148916917,0.5182695598,0.7182631305,1.876700137,0.9776461479,2.239385456,2.65371187,1.167808394,0.4427763451,0.6642287838,0.1295673962,0.09177689781,0.3671470876,0,0.5292186058,0.1889524418,0.5075968751,4.121517629
3/22/2015,10.1823947,0.8238486962,2.782623628,73.76936783,0.4058474183,0.6570717737,3.116075798,1.631820597,3.107644072,2.811539088,1.284753905,0.3819740459,0.7106091438,0.1909870167,0.1074301945,0.5371509978,0,0.6688110974,0.5610243702,0.4417856895,3.859679019
3/29/2015,10.28228647,0.8523939322,1.707698756,9.129663691,2.785375305,0.8414670668,1.594917123,1.89411423,1.875142602,2.137316969,1.236413161,0.3364579784,0.5270773031,0.2971786566,0.09530724242,0.4262099435,0,0.375622648,0.3084457547,0.2691106992,3.184421782
4/5/2015,16.80732983,0.950418083,2.175978544,6.597893692,1.139731998,0.6169805203,30.05631888,2.160429555,4.07472904,3.341862852,1.1402089,0.5166782841,0.9393462723,0.2222272187,0.08889088247,0.5501756573,0.7889482756,0.5446833484,0.3277851495,0.4001503178,3.171366266
4/12/2015,97.77778143,1.852041239,3.511229768,9.335412578,2.116995646,1.112825671,13.36989398,31.26217989,5.715894806,2.877956361,3.443324236,0.5231357077,0.5613899055,0.5944573831,0.1430683187,0.6330051577,0.7759784846,0.7209306748,0.4843534879,0.6879676806,3.786486133
4/19/2015,27.49329085,1.415770616,2.357419449,5.132890731,2.274347152,0.8674026113,5.689532187,5.831559119,3.287708599,3.590540597,2.768799788,1.268261142,2.295380338,0.346631906,0.08123214364,0.4928957658,0.2978511975,1.310909212,0.9642806414,0.5307854063,3.128065804
4/26/2015,18.84059608,22.74967779,2.262906408,4.274861262,0.8947481997,0.7417677201,3.759440265,2.462946296,2.751567942,1.853651648,2.180859788,0.398167527,0.6653500156,0.6545803706,0.1963136291,0.4744699399,0.338014422,0.5124734802,0.5236979724,0.5616348705,4.510520178
5/3/2015,14.29196986,13.34667758,22.17177101,3.249880272,13.26219819,5.992766069,2.929196813,2.23935169,2.864376496,2.423425897,1.814370483,0.5921566532,1.049354862,0.276353059,0.07895422126,0.6997152923,0.2143412067,0.3836213311,0.4343222506,0.4344438867,3.339409904
5/10/2015,12.62495984,6.510423887,5.65096153,3.432331067,2.304396383,1.399791067,2.920900917,3.472338764,6.772278811,1.865613669,2.317376632,0.2568187153,0.5936473699,0.1540912292,0.3081824584,0.6392552444,0.1826266476,0.3253037019,0.2625724398,0.2969451769,3.38876178
5/17/2015,16.0440488,7.859410843,3.653801862,3.281958348,1.108773975,2.064131155,6.988294311,2.448384904,3.720463886,1.926204894,1.519933837,1.601950365,1.016628545,0.1616102137,0.2655024904,0.6986402775,0.1269794465,1.229949204,0.5197409421,0.2540293092,3.207093676
5/24/2015,14.30575281,13.54127978,3.4767493,3.229778072,2.080479499,2.314171398,5.869765483,2.223517086,2.41083907,1.939949114,1.502750741,0.831707487,6.371164745,0.8625077376,3.428974092,0.7177325381,0.2229781128,0.9282607947,0.6511908335,0.3375602519,3.339927419
