Search interest in same sex marriage by city on 6/26,,,,
"All values indexed to 100, where 100 is the max search interest",,,,
City,State,Country,Indexed Search Interest,Time in EST
Ellport,Pennsylvania,United States,100.0,8:00 AM
Livingston,Tennessee,United States,33.3,8:00 AM
Orrville,Ohio,United States,25.0,8:00 AM
Central City,Louisiana,United States,20.0,8:00 AM
Byron,Georgia,United States,20.0,8:00 AM
DeWitt,Michigan,United States,16.7,8:00 AM
North Syracuse,New York,United States,12.5,8:00 AM
Easley,South Carolina,United States,7.7,8:00 AM
Aurora,Illinois,United States,4.0,8:00 AM
El Paso,Texas,United States,2.7,8:00 AM
Winston-Salem,North Carolina,United States,1.8,8:00 AM
Las Vegas,Nevada,United States,1.6,8:00 AM
Leesburg,Virginia,United States,1.0,8:00 AM
Cincinnati,Ohio,United States,0.7,8:00 AM
Tampa,Florida,United States,0.4,8:00 AM
Columbus,Ohio,United States,0.3,8:00 AM
Myrtle Beach,South Carolina,United States,0.2,8:00 AM
Charlotte,North Carolina,United States,0.2,8:00 AM
Detroit,Michigan,United States,0.2,8:00 AM
Los Angeles,California,United States,0.2,8:00 AM
Atlanta,Georgia,United States,0.1,8:00 AM
Chicago,Illinois,United States,0.1,8:00 AM
Sheridan,Oregon,United States,0.1,8:00 AM
New York,New York,United States,0.0,8:00 AM
Northeast Ithaca,New York,United States,100.0,8:01 AM
Ravenna,Ohio,United States,50.0,8:01 AM
Calcutta,Ohio,United States,33.3,8:01 AM
Vallejo,California,United States,16.7,8:01 AM
Murrysville,Pennsylvania,United States,16.7,8:01 AM
Gaylord,Michigan,United States,11.1,8:01 AM
Novi,Michigan,United States,8.3,8:01 AM
Fishers,Indiana,United States,7.1,8:01 AM
Spotsylvania,Virginia,United States,5.9,8:01 AM
Frisco,Texas,United States,3.4,8:01 AM
Roanoke,Virginia,United States,2.5,8:01 AM
Duluth,Georgia,United States,2.4,8:01 AM
Alexandria,Virginia,United States,1.5,8:01 AM
Beckett Ridge,Ohio,United States,1.2,8:01 AM
Minneapolis,Minnesota,United States,1.0,8:01 AM
Denver,Colorado,United States,0.4,8:01 AM
Indianapolis,Indiana,United States,0.3,8:01 AM
Columbus,Ohio,United States,0.3,8:01 AM
Atlanta,Georgia,United States,0.2,8:01 AM
Washington,District of Columbia,United States,0.2,8:01 AM
Dallas,Texas,United States,0.1,8:01 AM
Sheridan,Oregon,United States,0.1,8:01 AM
Houston,Texas,United States,0.1,8:01 AM
New York,New York,United States,0.1,8:01 AM
Mesquite,New Mexico,United States,50.0,8:02 AM
Rustburg,Virginia,United States,50.0,8:02 AM
Lawrence,Kansas,United States,25.0,8:02 AM
Middletown,Ohio,United States,16.7,8:02 AM
Scarborough,Maine,United States,16.7,8:02 AM
Endwell,New York,United States,11.1,8:02 AM
Waco,Texas,United States,8.3,8:02 AM
Fair Oaks,Georgia,United States,6.3,8:02 AM
Readington Township,New Jersey,United States,5.0,8:02 AM
El Paso,Texas,United States,2.9,8:02 AM
Charleston,West Virginia,United States,2.5,8:02 AM
East Syracuse,New York,United States,1.5,8:02 AM
Pittsfield Charter Township,Michigan,United States,1.3,8:02 AM
Saint Paul,Minnesota,United States,0.7,8:02 AM
Richmond,Virginia,United States,0.6,8:02 AM
St. Louis,Missouri,United States,0.5,8:02 AM
Columbus,Ohio,United States,0.3,8:02 AM
Detroit,Michigan,United States,0.2,8:02 AM
Washington,District of Columbia,United States,0.1,8:02 AM
Chicago,Illinois,United States,0.1,8:02 AM
Dallas,Texas,United States,0.1,8:02 AM
Sheridan,Oregon,United States,0.1,8:02 AM
Houston,Texas,United States,0.1,8:02 AM
Atlanta,Georgia,United States,0.1,8:02 AM
New York,New York,United States,0.0,8:02 AM
Great Bend,Kansas,United States,100.0,8:03 AM
Minersville,Pennsylvania,United States,50.0,8:03 AM
Millstone,New Jersey,United States,50.0,8:03 AM
Spruce Pine,North Carolina,United States,50.0,8:03 AM
Canal Winchester,Ohio,United States,33.3,8:03 AM
Suffield,Connecticut,United States,33.3,8:03 AM
Hawley,Pennsylvania,United States,33.3,8:03 AM
Killingworth,Connecticut,United States,25.0,8:03 AM
Provo,Utah,United States,20.0,8:03 AM
New Bern,North Carolina,United States,20.0,8:03 AM
Bedford,Ohio,United States,12.5,8:03 AM
Rocklin,California,United States,10.0,8:03 AM
Strongsville,Ohio,United States,8.3,8:03 AM
Baytown,Texas,United States,7.7,8:03 AM
Lawrence Township,New Jersey,United States,7.1,8:03 AM
Decatur,Alabama,United States,6.7,8:03 AM
Watertown,Massachusetts,United States,6.7,8:03 AM
Goldenrod,Florida,United States,5.9,8:03 AM
Binghamton,New York,United States,5.0,8:03 AM
Williamsburg,Virginia,United States,4.0,8:03 AM
Pontiac,Michigan,United States,2.4,8:03 AM
Memphis,Tennessee,United States,1.4,8:03 AM
Alexandria,Virginia,United States,1.4,8:03 AM
Portland,Oregon,United States,1.3,8:03 AM
Saint Paul,Minnesota,United States,0.9,8:03 AM
Tampa,Florida,United States,0.4,8:03 AM
Charlotte,North Carolina,United States,0.2,8:03 AM
New York,New York,United States,0.1,8:03 AM
Sheridan,Oregon,United States,0.1,8:03 AM
Atlanta,Georgia,United States,0.1,8:03 AM
Washington,District of Columbia,United States,0.1,8:03 AM
Chicago,Illinois,United States,0.1,8:03 AM
South Gate,California,United States,33.3,8:04 AM
Scotchtown,New York,United States,25.0,8:04 AM
Brentwood,Tennessee,United States,11.1,8:04 AM
Oakland Park,Florida,United States,7.7,8:04 AM
Allen,Texas,United States,5.6,8:04 AM
Menomonee Falls,Wisconsin,United States,4.5,8:04 AM
Charleston,West Virginia,United States,3.0,8:04 AM
Howell,New Jersey,United States,2.8,8:04 AM
Jacksonville,North Carolina,United States,2.4,8:04 AM
Arlington,Texas,United States,2.4,8:04 AM
Des Moines,Iowa,United States,1.8,8:04 AM
Charlottesville,Virginia,United States,1.5,8:04 AM
Portland,Oregon,United States,1.3,8:04 AM
Tulsa,Oklahoma,United States,1.2,8:04 AM
Pittsburgh,Pennsylvania,United States,1.1,8:04 AM
Seattle,Washington,United States,0.8,8:04 AM
Kansas City,Missouri,United States,0.8,8:04 AM
Minneapolis,Minnesota,United States,0.4,8:04 AM
Jacksonville,Florida,United States,0.4,8:04 AM
Dallas,Texas,United States,0.2,8:04 AM
Detroit,Michigan,United States,0.2,8:04 AM
Houston,Texas,United States,0.2,8:04 AM
Philadelphia,Pennsylvania,United States,0.2,8:04 AM
Washington,District of Columbia,United States,0.1,8:04 AM
Sheridan,Oregon,United States,0.1,8:04 AM
Atlanta,Georgia,United States,0.1,8:04 AM
New York,New York,United States,0.1,8:04 AM
Chicago,Illinois,United States,0.1,8:04 AM
Santee,California,United States,50.0,8:05 AM
Eastham,Massachusetts,United States,33.3,8:05 AM
Opelika,Alabama,United States,20.0,8:05 AM
Lake Oswego,Oregon,United States,20.0,8:05 AM
North Royalton,Ohio,United States,12.5,8:05 AM
Richfield,Minnesota,United States,10.0,8:05 AM
Starkville,Mississippi,United States,10.0,8:05 AM
Lewes,Delaware,United States,8.3,8:05 AM
Vinings,Georgia,United States,8.3,8:05 AM
Nanuet,New York,United States,7.1,8:05 AM
Athens,Georgia,United States,5.1,8:05 AM
Metairie,Louisiana,United States,4.5,8:05 AM
Fort Collins,Colorado,United States,2.9,8:05 AM
Rochester,Minnesota,United States,1.8,8:05 AM
Charlottesville,Virginia,United States,1.8,8:05 AM
St. Petersburg,Florida,United States,1.1,8:05 AM
Leesburg,Virginia,United States,1.0,8:05 AM
Seattle,Washington,United States,0.8,8:05 AM
Louisville,Kentucky,United States,0.5,8:05 AM
Atlanta,Georgia,United States,0.3,8:05 AM
Columbus,Ohio,United States,0.2,8:05 AM
Washington,District of Columbia,United States,0.2,8:05 AM
Philadelphia,Pennsylvania,United States,0.2,8:05 AM
