Search interest in women's single players at Wimbledon on 6/29/15,
"All values indexed to 100, where 100 was the max search interest",
Player,Search Interest
Serena Williams,100
Maria Sharapova,95.76
Ana Ivanovic,38.19
Eugenie Bouchard,23.61
Johanna Konta,22.66
Venus Williams,20.54
Simona Halep,19.69
Belinda Bencic,18.19
Petra Kvitova,13.6
Tsvetana Pironkova,12.08
Agnieszka Radwanska,10.37
Victoria Azarenka,10.15
Margarita Gasparyan,9.56
Caroline Wozniacki,9.54
Naomi Broady,9.29
Jelena Ostapenko,6.9
Daniela Hantuchova,5.8
Lucie Safarova,5.78
Dominika Cibulkova,5.77
Sabine Lisicki,5.6
Flavia Pennetta,4.66
Anett Kontaveit,4.35
Sara Errani,4.09
Heather Watson,3.78
Carla SuÃ¡rez Navarro,3.68
Karolina Pliskova,3.44
Zarina Diyas,3.34
Alison Riske,3.28
Kristina Mladenovic,3.23
Samantha Stosur,3.19
Madison Brengle,2.87
Annika Beck,2.87
Irina-Camelia Begu,2.82
Urszula Radwanska,2.75
Alexandra Dulgheru,2.65
Andrea Petkovic,2.47
Camila Giorgi,2.43
Danka Kovinic,2.43
Kirsten Flipkens,2.38
Bethanie Mattek-Sands,2.24
Sloane Stephens,2.18
Aleksandra Krunic,2.17
Timea Babos,2.07
Petra Cetkovska,2.01
Vitalia Diatchenko,1.87
Angelique Kerber,1.87
Francesca Schiavone,1.83
Anna-Lena Friedsam,1.75
Edina Gallovits-Hall,1.67
Richel Hogenkamp,1.64
Alison Van Uytvanck,1.54
GarbiÃ±e Muguruza,1.43
Barbora Strycova,1.41
Caroline Garcia,1.35
Jelena Jankovic,1.35
Madison Keys,1.27
Daria Gavrilova,1.19
Roberta Vinci,1.14
Kaia Kanepi,1.11
Julia Goerges,1.06
Ana Konjuh,1.04
Carina Witthoeft,1.01
Aliaksandra Sasnovich,0.99
Coco Vandeweghe,0.97
Anna Karolina Schmiedlova,0.95
Timea Bacsinszky,0.93
Su-Wei Hsieh,0.92
Irina Falconi,0.9
Ekaterina Makarova,0.87
AlizÃ© Cornet,0.87
Kristyna Pliskova,0.86
Lauren Davis,0.84
Yi-Fan Xu,0.81
Svetlana Kuznetsova,0.76
Shelby Rogers,0.76
Polona Hercog,0.75
Marina Erakovic,0.73
Yulia Putintseva,0.65
Tamira Paszek,0.58
Kiki Bertens,0.57
Jana Cepelova,0.57
Elina Svitolina,0.54
Lesia Tsurenko,0.54
Qiang Wang,0.54
Lucie Hradecka,0.5
Casey Dellacqua,0.49
Nicole Gibbs,0.49
Monica Puig,0.49
Mariana Duque-MariÃ±o,0.45
Ajla Tomljanovic,0.43
Elena Vesnina,0.38
Andreea Mitu,0.37
Laura Siegemund,0.36
Kurumi Nara,0.35
Jarmila Gajdosova,0.33
Magda Linette,0.31
Lin Zhu,0.31
Yanina Wickmayer,0.26
Karin Knapp,0.26
Monica Niculescu,0.26
Ying-Ying Duan,0.26
Misaki Doi,0.25
Yaroslava Shvedova,0.23
Sachia Vickery,0.23
Olga Govortsova,0.22
Mirjana Lucic-Baroni,0.21
Teliana Pereira,0.2
Pauline Parmentier,0.2
Anastasia Pavlyuchenkova,0.18
Varvara Lepchenko,0.16
Saisai Zheng,0.16
Sesil Karatantcheva,0.16
Magdalena Rybarikova,0.16
Katerina Siniakova,0.16
Mona Barthel,0.15
Bojana Jovanovski,0.13
Elizaveta Kulichkova,0.13
Tereza Smitkova,0.13
Christina McHale,0.11
Evgeniya Rodina,0.11
Stefanie Voegele,0.11
Johanna Larsson,0.09
Denisa Allertova,0.09
Tatjana Maria,0.08
SÃ_lvia Soler-Espinosa,0.07
Lara Arruabarrena,0.03
Klara Koukalova,0
