dma,DMA code,Top movie
Laredo TX (Texas United States),749,Inside Out
Lafayette IN (Indiana United States),582,Inside Out
Yuma AZ-El Centro CA (California United States),771,Jurassic World
Harlingen-Weslaco-Brownsville-McAllen TX (Texas United States),636,Jurassic World
Dothan AL (Alabama United States),606,Jurassic World
Los Angeles CA (California United States),803,Inside Out
El Paso TX (Texas United States),765,Jurassic World
Fresno-Visalia CA (California United States),866,Jurassic World
Las Vegas NV (Nevada United States),839,Jurassic World
Santa Barbara-Santa Maria-San Luis Obispo CA (California United States),855,Inside Out
North Platte NE (Nebraska United States),740,Jurassic World
Reno NV (California United States),811,Jurassic World
Fairbanks AK (Alaska United States),#N/A,#N/A
San Angelo TX (Texas United States),661,Jurassic World
Lima OH (Ohio United States),558,Inside Out
Zanesville OH (Ohio United States),596,Ted 2
Bakersfield CA (California United States),800,Jurassic World
Detroit MI (Ontario United States),505,Jurassic World
St. Joseph MO (Kansas United States),638,Jurassic World
San Antonio TX (Texas United States),641,Jurassic World
Tucson (Sierra Vista) AZ (Sonora United States),789,Jurassic World
Austin TX (Texas United States),635,Jurassic World
Phoenix AZ (Arizona United States),753,Jurassic World
Victoria TX (Texas United States),626,Jurassic World
Watertown NY (New York United States),549,Jurassic World
Albuquerque-Santa Fe NM (New Mexico United States),790,Jurassic World
San Diego CA (California United States),825,Jurassic World
Elmira NY (New York United States),565,Jurassic World
Sherman TX-Ada OK (Texas United States),657,Jurassic World
New York NY (New York United States),501,Inside Out
Waco-Temple-Bryan TX (Texas United States),625,Jurassic World
Corpus Christi TX (Texas United States),600,Jurassic World
Grand Junction-Montrose CO (Colorado United States),773,Jurassic World
Cedar Rapids-Waterloo-Iowa City & Dubuque IA (Iowa United States),637,Jurassic World
Colorado Springs-Pueblo CO (Colorado United States),752,Jurassic World
Ottumwa IA-Kirksville MO (Missouri United States),631,Jurassic World
Erie PA (Pennsylvania United States),516,Jurassic World
Monterey-Salinas CA (California United States),828,Inside Out
