"Search interest in Hillary Clinton and Bernie Sanders in the US
All values indexed to 100, where 100 is the max search interest",,
Day,Search interest in Hillary Clinton,Search interest in Bernie Sanders
6/7/2015,22.73,18.60
6/8/2015,24.38,19.09
6/9/2015,24.68,20.47
6/10/2015,31.43,21.97
6/11/2015,26.92,22.60
6/12/2015,35.44,22.83
6/13/2015,84.22,30.37
6/14/2015,70.66,36.47
6/15/2015,48.74,29.03
6/16/2015,52.62,41.88
6/17/2015,43.02,57.03
6/18/2015,33.85,36.74
6/19/2015,48.32,33.07
6/20/2015,35.13,42.68
6/21/2015,30.81,37.63
6/22/2015,26.76,34.41
6/23/2015,33.18,31.16
6/24/2015,34.86,28.40
6/25/2015,31.77,42.90
6/26/2015,42.45,47.57
6/27/2015,35.17,40.96
6/28/2015,33.94,46.99
6/29/2015,32.50,41.20
6/30/2015,37.35,48.15
7/1/2015,46.78,53.76
7/2/2015,40.09,100.00
7/3/2015,54.01,84.65
7/4/2015,40.52,69.99
7/5/2015,41.22,62.06
