Search interest in the SSE Composite Index vs. Greek Withdrawal from the Eurozone ,,,
Based on searches from 7/5/2015 - 7/9/2015,,,
country,% Searches for SSE Composite Index,% Searches for Grexit,Most Searched
China,98.94%,1.06%,SSE Composite Index
Hong Kong,92.27%,7.73%,SSE Composite Index
Macau,98.56%,1.44%,SSE Composite Index
Singapore,80.48%,19.52%,SSE Composite Index
Taiwan,96.87%,3.13%,SSE Composite Index
Japan,95.41%,4.59%,SSE Composite Index
Belize,100.00%,0.00%,SSE Composite Index
Australia,72.52%,27.48%,SSE Composite Index
New Zealand,71.98%,28.02%,SSE Composite Index
Congo,71.43%,28.57%,SSE Composite Index
Samoa,28.57%,71.43%,Greek Withdrawal from the Eurozone
Equatorial Guinea,100.00%,0.00%,SSE Composite Index
Canada,60.01%,39.99%,SSE Composite Index
Tonga,50.00%,50.00%,SSE Composite Index
Malaysia,77.43%,22.57%,SSE Composite Index
Cambodia,81.82%,18.18%,SSE Composite Index
Monaco,16.67%,83.33%,Greek Withdrawal from the Eurozone
Luxembourg,11.02%,88.98%,Greek Withdrawal from the Eurozone
United States,66.49%,33.51%,SSE Composite Index
Saint Martin,33.33%,66.67%,Greek Withdrawal from the Eurozone
Bermuda,57.14%,42.86%,SSE Composite Index
Saint Helena,32.94%,67.06%,Greek Withdrawal from the Eurozone
Papua New Guinea,80.00%,20.00%,SSE Composite Index
Suriname,55.56%,44.44%,SSE Composite Index
The Gambia,60.00%,40.00%,SSE Composite Index
Iceland,33.33%,66.67%,Greek Withdrawal from the Eurozone
Guernsey,30.77%,69.23%,Greek Withdrawal from the Eurozone
Cayman Islands,33.33%,66.67%,Greek Withdrawal from the Eurozone
Laos,67.74%,32.26%,SSE Composite Index
Namibia,42.31%,57.69%,Greek Withdrawal from the Eurozone
Turkmenistan,100.00%,0.00%,SSE Composite Index
Germany,5.73%,94.27%,Greek Withdrawal from the Eurozone
Greenland,50.00%,50.00%,SSE Composite Index
Austria,6.64%,93.36%,Greek Withdrawal from the Eurozone
Liechtenstein,6.25%,93.75%,Greek Withdrawal from the Eurozone
Switzerland,8.27%,91.73%,Greek Withdrawal from the Eurozone
Malta,11.68%,88.32%,Greek Withdrawal from the Eurozone
Myanmar (Burma),67.35%,32.65%,SSE Composite Index
South Korea,47.68%,52.32%,Greek Withdrawal from the Eurozone
Slovenia,24.34%,75.66%,Greek Withdrawal from the Eurozone
Mongolia,68.18%,31.82%,SSE Composite Index
Andorra,22.22%,77.78%,Greek Withdrawal from the Eurozone
Mauritius,36.36%,63.64%,Greek Withdrawal from the Eurozone
Denmark,28.72%,71.28%,Greek Withdrawal from the Eurozone
Latvia,40.86%,59.14%,Greek Withdrawal from the Eurozone
