"Search interest in ESPY Award 'Best Team' Nominees, 7/15/2014-7/15/2015",,,,,
"All values indexed to 100, where 100 is the max search interest",,,,,
State,New England Patriots,Connecticut Huskies,Golden State Warriors,Chicago Blackhawks,Ohio State Buckeyes
Rhode Island (United States),100,0,4.5,2.72,2.27
Massachusetts (United States),92.64,0.19,5.6,3.17,2.43
New Hampshire (United States),90.8,0,3,2.64,2.14
Maine (United States),83.77,0,3.96,2.23,2.38
Vermont (United States),46.97,0,4.08,2.93,3.14
Connecticut (United States),31.55,1.64,4.24,2.92,2.73
District of Columbia (United States),25,0,7.79,4.03,6.4
Colorado (United States),14.74,0,4.35,5.63,4.7
Delaware (United States),14.34,0,4.69,2.55,3.75
Wyoming (United States),13.71,0,5.45,3.61,4.64
Hawaii (United States),13.64,0,9.77,2.88,3.84
Montana (United States),13.46,0,5.67,4.14,2.98
Washington (United States),13.26,0,18.98,2.38,2.97
South Dakota (United States),12.99,0,5.9,5.01,3.98
New Mexico (United States),12.85,0,5.95,2.4,2.89
Maryland (United States),12.67,0,4.85,1.78,4.57
Alaska (United States),12.42,0,5.18,4.23,3.19
Florida (United States),12.31,0.06,5.65,3.51,5.64
Nevada (United States),12.16,0,11.41,3.51,3.49
West Virginia (United States),12.04,0,5.06,1.55,13.02
Oklahoma (United States),11.99,0,7.41,3.84,12.07
South Carolina (United States),11.95,0,6.02,2.22,6.99
New York (United States),11.78,0.08,5.82,2.8,3.28
North Carolina (United States),11.78,0,5.73,2.01,5.02
North Dakota (United States),11.78,0,4.58,7.93,3.46
Arizona (United States),11.71,0,6.68,4.64,4.38
Pennsylvania (United States),11.68,0.09,5.67,4.77,7.9
New Jersey (United States),11.41,0.09,5.08,2.4,3.22
Kentucky (United States),11.23,0,7.05,5.44,8.43
Mississippi (United States),11.1,0,5.47,1.41,5.36
Indiana (United States),10.55,0,4.71,19.49,9.48
Nebraska (United States),10.22,0,5.03,6.5,6.55
Wisconsin (United States),10.2,0,4.26,14.51,5.17
Georgia (United States),10.16,0,6.75,3.91,5.83
Iowa (United States),10.03,0,5.49,11.92,5.1
California (United States),9.95,0.03,25.35,6.45,2.45
Idaho (United States),9.93,0,5.07,1.79,3.34
Tennessee (United States),9.78,0,6.48,3.45,6.12
Utah (United States),9.43,0,5.9,2.26,3.31
Texas (United States),9.41,0.05,7.01,2.31,3.67
Louisiana (United States),9.27,0,6.15,1.64,5.99
Illinois (United States),8.87,0,7.02,73.72,6.16
Arkansas (United States),8.44,0,5.2,1.99,4.11
Ohio (United States),8.44,0,9.87,3.17,82.31
Michigan (United States),8.41,0,5.3,5.34,15.93
Kansas (United States),8.39,0,3.98,2.98,3.69
Missouri (United States),8.33,0,4.43,5.92,4.45
Minnesota (United States),8.08,0,4.44,9.29,4.93
Virginia (United States),7.6,0.04,2.93,1.22,2.94
Alabama (United States),6.85,0,5.15,1.83,7.95
Oregon (United States),4.23,0,4.49,1.12,3.02
