Most Searched Emmy-nominated comedy in the hours after the Emmy nominations announcement,
Region,Most Searched
Fairbanks AK (Alaska United States),Parks and Recreation
Binghamton NY (New York United States),Modern Family
Lima OH (Ohio United States),Modern Family
Butte-Bozeman MT (Montana United States),Modern Family
Lincoln & Hastings-Kearney NE (Nebraska United States),Parks and Recreation
Minot-Bismarck-Dickinson(Williston) ND (North Dakota United States),Parks and Recreation
Missoula MT (Montana United States),Parks and Recreation
Biloxi-Gulfport MS (Mississippi United States),Parks and Recreation
Alexandria LA (Louisiana United States),Modern Family
Waco-Temple-Bryan TX (Texas United States),Parks and Recreation
Springfield-Holyoke MA (Massachusetts United States),Parks and Recreation
Marquette MI (Michigan United States),Modern Family
Palm Springs CA (California United States),Modern Family
Lubbock TX (Texas United States),Parks and Recreation
Amarillo TX (Texas United States),Parks and Recreation
Clarksburg-Weston WV (West Virginia United States),Modern Family
Hattiesburg-Laurel MS (Mississippi United States),Unbreakable Kimmy Schmidt
Utica NY (New York United States),Parks and Recreation
Youngstown OH (Pennsylvania United States),Modern Family
Sioux City IA (South Dakota United States),Parks and Recreation
Savannah GA (Georgia United States),Parks and Recreation
Harlingen-Weslaco-Brownsville-McAllen TX (Texas United States),Parks and Recreation
Salt Lake City UT (Nevada United States),Parks and Recreation
Greensboro-High Point-Winston Salem NC (Virginia United States),Parks and Recreation
Baltimore MD (Maryland United States),Parks and Recreation
Greenville-New Bern-Washington NC (North Carolina United States),Parks and Recreation
Joplin MO-Pittsburg KS (Kansas United States),Parks and Recreation
Green Bay-Appleton WI (Michigan United States),Parks and Recreation
Ft. Myers-Naples FL (Florida United States),Modern Family
Indianapolis IN (Indiana United States),Parks and Recreation
Montgomery (Selma) AL (Alabama United States),Modern Family
Austin TX (Texas United States),Parks and Recreation
Boston MA-Manchester NH (New Hampshire United States),Parks and Recreation
Lafayette LA (Louisiana United States),Parks and Recreation
Tucson (Sierra Vista) AZ (Sonora United States),Parks and Recreation
Wichita Falls TX & Lawton OK (Texas United States),Unbreakable Kimmy Schmidt
Hartford & New Haven CT (Connecticut United States),Parks and Recreation
Madison WI (Wisconsin United States),Parks and Recreation
Roanoke-Lynchburg VA (West Virginia United States),Parks and Recreation
Beaumont-Port Arthur TX (Texas United States),Modern Family
El Paso TX (Texas United States),Parks and Recreation
Bangor ME (Maine United States),Modern Family
Harrisburg-Lancaster-Lebanon-York PA (Pennsylvania United States),Parks and Recreation
New Orleans LA (Louisiana United States),Parks and Recreation
Portland-Auburn ME (Maine United States),Parks and Recreation
New York NY (New York United States),Parks and Recreation
Augusta GA (Georgia United States),Parks and Recreation
Flint-Saginaw-Bay City MI (Michigan United States),Parks and Recreation
Shreveport LA (Louisiana United States),Parks and Recreation
Phoenix AZ (Arizona United States),Parks and Recreation
Providence RI-New Bedford MA (Massachusetts United States),Parks and Recreation
Los Angeles CA (California United States),Parks and Recreation
Gainesville FL (Florida United States),Parks and Recreation
Panama City FL (Florida United States),Modern Family
Colorado Springs-Pueblo CO (Colorado United States),Parks and Recreation
Medford-Klamath Falls OR (Oregon United States),Parks and Recreation
St. Louis MO (Missouri United States),Parks and Recreation
San Francisco-Oakland-San Jose CA (California United States),Silicon Valley
Reno NV (California United States),Parks and Recreation
Erie PA (Pennsylvania United States),Modern Family
Kansas City MO (Kansas United States),Parks and Recreation
