"Search interest in Planned Parenthood by state, 7/14/2015-7/22/2015",
"All values indexed to 100, where 100 is the max value ",
State,Search Interest
District of Columbia (United States),100
Iowa (United States),86.14862107
Indiana (United States),84.72777163
Missouri (United States),84.46419229
Washington (United States),84.19972692
Utah (United States),80.86359301
Colorado (United States),77.63340104
Nebraska (United States),77.57227377
Wisconsin (United States),77.55318562
Vermont (United States),75.83239579
Minnesota (United States),75.05361589
Montana (United States),74.39105765
Alaska (United States),73.02557697
Alabama (United States),72.81165802
Kentucky (United States),72.39138256
Tennessee (United States),72.32950502
Idaho (United States),71.81247411
Oklahoma (United States),71.09630597
Virginia (United States),70.08682468
Ohio (United States),69.21632576
Kansas (United States),68.56701563
New Hampshire (United States),67.1903943
Michigan (United States),66.55630905
South Dakota (United States),66.28843237
Arkansas (United States),65.89082937
North Dakota (United States),65.45181177
Illinois (United States),65.36442445
California (United States),65.35156594
Texas (United States),64.99214752
Arizona (United States),63.90449644
Louisiana (United States),63.75932429
Maine (United States),63.61213924
Maryland (United States),63.26060188
Pennsylvania (United States),61.7728958
North Carolina (United States),60.88810132
Wyoming (United States),59.39455435
New Mexico (United States),58.25098356
Georgia (United States),58.14619085
Connecticut (United States),58.05704241
South Carolina (United States),56.07019276
Mississippi (United States),54.46424852
New York (United States),54.37115734
Delaware (United States),54.367608
Oregon (United States),51.48236932
Florida (United States),51.14585301
Massachusetts (United States),50.40673459
Nevada (United States),50.07259165
Rhode Island (United States),47.97160747
West Virginia (United States),47.64430897
New Jersey (United States),47.11325648
Hawaii (United States),36.94276669
