county_code,countyname,state,Most Searched,Second Most Searched
1059,Franklin,Alabama,Donald Trump,Rand Paul
1075,Lamar,Alabama,Donald Trump,Bobby Jindal
2020,Anchorage,Alaska,Donald Trump,Jeb Bush
2060,Bristol Bay,Alaska,Donald Trump,Rand Paul
2110,Juneau,Alaska,Donald Trump,Scott Walker
2240,Southeast Fairbanks,Alaska,Donald Trump,Bobby Jindal
5025,Cleveland,Arkansas,Donald Trump,Ben Carson
6025,Imperial,California,Donald Trump,Rand Paul
6073,San Diego,California,Donald Trump,Jeb Bush
8014,Broomfield,Colorado,Donald Trump,Jeb Bush
16047,Gooding,Idaho,Donald Trump,Scott Walker
21213,Simpson,Kentucky,Marco Rubio,Donald Trump
22019,Calcasieu,Louisiana,Donald Trump,Bobby Jindal
28039,George,Mississippi,Donald Trump,Bobby Jindal
28091,Marion,Mississippi,Donald Trump,Rand Paul
28131,Stone,Mississippi,Donald Trump,Jeb Bush
29011,Barton,Missouri,Donald Trump,Rick Perry
29111,Lewis,Missouri,Donald Trump,Rand Paul
29137,Monroe,Missouri,Donald Trump,Ben Carson
29217,Vernon,Missouri,Donald Trump,Ben Carson
29219,Warren,Missouri,Donald Trump,Ben Carson
30051,Liberty,Montana,Rand Paul,Bobby Jindal
37135,Orange,North Carolina,Donald Trump,Ted Cruz
38023,Divide,North Dakota,Donald Trump,Bobby Jindal
39169,Wayne,Ohio,Donald Trump,John Kasich
41049,Morrow,Oregon,Donald Trump,Jeb Bush
42083,McKean,Pennsylvania,Donald Trump,Ted Cruz
42113,Sullivan,Pennsylvania,Marco Rubio,Donald Trump
42115,Susquehanna,Pennsylvania,Donald Trump,Rand Paul
45011,Barnwell,South Carolina,Donald Trump,Jeb Bush
46019,Butte,South Dakota,Donald Trump,John Kasich
48003,Andrews,Texas,Donald Trump,Jeb Bush
48009,Archer,Texas,Donald Trump,Ben Carson
48127,Dimmit,Texas,Donald Trump,Jeb Bush
48253,Jones,Texas,Donald Trump,Rand Paul
53069,Wahkiakum,Washington,Donald Trump,Scott Walker
55097,Portage,Wisconsin,Scott Walker,Donald Trump
55135,Waupaca,Wisconsin,Scott Walker,Donald Trump
56015,Goshen,Wyoming,Donald Trump,Ted Cruz
1001,Autauga,Alabama,Donald Trump,Chris Christie
1003,Baldwin,Alabama,Donald Trump,Jeb Bush
1005,Barbour,Alabama,Donald Trump,Jeb Bush
1007,Bibb,Alabama,Donald Trump,Jeb Bush
1009,Blount,Alabama,Donald Trump,Jeb Bush
1011,Bullock,Alabama,Donald Trump,Ben Carson
1013,Butler,Alabama,Donald Trump,Scott Walker
48337,Montague,Texas,Rand Paul,Marco Rubio
1015,Calhoun,Alabama,Donald Trump,Ben Carson
1017,Chambers,Alabama,Donald Trump,Ben Carson
1019,Cherokee,Alabama,Donald Trump,Jeb Bush
1021,Chilton,Alabama,Donald Trump,Mike Huckabee
1023,Choctaw,Alabama,Donald Trump,Ben Carson
1033,Colbert,Alabama,Donald Trump,Ben Carson
1045,Dale,Alabama,Donald Trump,Lindsey Graham
1025,Clarke,Alabama,Donald Trump,Jeb Bush
1027,Clay,Alabama,Donald Trump,Ben Carson
1029,Cleburne,Alabama,Ted Cruz,Donald Trump
1031,Coffee,Alabama,Donald Trump,Jeb Bush
19041,Clay,Iowa,Donald Trump,Bobby Jindal
1035,Conecuh,Alabama,Donald Trump,Mike Huckabee
1037,Coosa,Alabama,Carly Fiorina,Donald Trump
1039,Covington,Alabama,Donald Trump,Rand Paul
1041,Crenshaw,Alabama,Donald Trump,Lindsey Graham
1043,Cullman,Alabama,Donald Trump,Bobby Jindal
1047,Dallas,Alabama,Ben Carson,Donald Trump
1049,De Kalb,Alabama,Donald Trump,Jeb Bush
1051,Elmore,Alabama,Ben Carson,Donald Trump
1053,Escambia,Alabama,Donald Trump,Jeb Bush
1093,Marion,Alabama,Donald Trump,Lindsey Graham
1055,Etowah,Alabama,Donald Trump,Jeb Bush
1057,Fayette,Alabama,Donald Trump,Chris Christie
1061,Geneva,Alabama,Donald Trump,Ben Carson
1133,Winston,Alabama,Donald Trump,Rand Paul
1065,Hale,Alabama,Donald Trump,Carly Fiorina
1067,Henry,Alabama,Donald Trump,Bobby Jindal
1069,Houston,Alabama,Donald Trump,Ben Carson
1071,Jackson,Alabama,Donald Trump,Ben Carson
1081,Lee,Alabama,Donald Trump,Ben Carson
20183,Smith,Kansas,Ben Carson,Marco Rubio
1073,Jefferson,Alabama,Donald Trump,Ben Carson
1077,Lauderdale,Alabama,Donald Trump,Ben Carson
1079,Lawrence,Alabama,Donald Trump,Jeb Bush
1083,Limestone,Alabama,Donald Trump,Jeb Bush
1085,Lowndes,Alabama,Donald Trump,Jeb Bush
1087,Macon,Alabama,Donald Trump,Bobby Jindal
1089,Madison,Alabama,Donald Trump,Rand Paul
1091,Marengo,Alabama,Donald Trump,Jeb Bush
8011,Bent,Colorado,Donald Trump,Ben Carson
1095,Marshall,Alabama,Carly Fiorina,Donald Trump
1097,Mobile,Alabama,Donald Trump,Jeb Bush
1099,Monroe,Alabama,Donald Trump,John Kasich
1101,Montgomery,Alabama,Donald Trump,Ben Carson
1103,Morgan,Alabama,Donald Trump,Jeb Bush
1105,Perry,Alabama,Jeb Bush,Donald Trump
1107,Pickens,Alabama,Donald Trump,Jeb Bush
1109,Pike,Alabama,Donald Trump,Ben Carson
1111,Randolph,Alabama,Donald Trump,Jeb Bush
1113,Russell,Alabama,Donald Trump,Rand Paul
12011,Broward,Florida,Donald Trump,Jeb Bush
1115,St Clair,Alabama,Donald Trump,Ben Carson
1117,Shelby,Alabama,Donald Trump,Jeb Bush
4013,Maricopa,Arizona,Donald Trump,Jeb Bush
1119,Sumter,Alabama,Donald Trump,Ben Carson
1121,Talladega,Alabama,Donald Trump,Scott Walker
1123,Tallapoosa,Alabama,Donald Trump,Marco Rubio
4021,Pinal,Arizona,Donald Trump,Jeb Bush
1125,Tuscaloosa,Alabama,Donald Trump,Jeb Bush
1127,Walker,Alabama,Donald Trump,Ben Carson
1129,Washington,Alabama,Donald Trump,Mike Huckabee
1131,Wilcox,Alabama,Donald Trump,Jeb Bush
2070,Dillingham,Alaska,Donald Trump,Chris Christie
2016,Aleutians West,Alaska,Ben Carson,Donald Trump
2090,Fairbanks North Star,Alaska,Donald Trump,Rand Paul
2100,Haines,Alaska,Donald Trump,Jeb Bush
2050,Bethel,Alaska,Donald Trump,Rand Paul
2068,Denali,Alaska,Donald Trump,Ben Carson
18007,Benton,Indiana,Donald Trump,Rand Paul
2122,Kenai Peninsula,Alaska,Donald Trump,Bobby Jindal
2130,Ketchikan Gateway,Alaska,Donald Trump,Ted Cruz
18009,Blackford,Indiana,Donald Trump,Ben Carson
2150,Kodiak Island,Alaska,Donald Trump,Chris Christie
4023,Santa Cruz,Arizona,Donald Trump,Scott Walker
2170,Matanuska Susitna,Alaska,Donald Trump,Rand Paul
5005,Baxter,Arkansas,Donald Trump,Rick Perry
2180,Nome,Alaska,Donald Trump,Ted Cruz
4025,Yavapai,Arizona,Donald Trump,Carly Fiorina
19081,Hancock,Iowa,Donald Trump,Scott Walker
2185,North Slope,Alaska,Rand Paul,Donald Trump
4027,Yuma,Arizona,Donald Trump,Jeb Bush
5007,Benton,Arkansas,Donald Trump,Mike Huckabee
2188,Northwest Arctic,Alaska,Donald Trump,Scott Walker
2220,Sitka,Alaska,Donald Trump,Jeb Bush
5009,Boone,Arkansas,Donald Trump,Bobby Jindal
2201,Prince Wales Ketchikan,Alaska,Donald Trump,Scott Walker
5029,Conway,Arkansas,Donald Trump,Rand Paul
2232,Skagway Hoonah Angoon,Alaska,Donald Trump,Ted Cruz
18011,Boone,Indiana,Donald Trump,Jeb Bush
2261,Valdez Cordova,Alaska,Donald Trump,Chris Christie
5031,Craighead,Arkansas,Donald Trump,Mike Huckabee
5001,Arkansas,Arkansas,Donald Trump,Mike Huckabee
2280,Wrangell Petersburg,Alaska,Donald Trump,Jeb Bush
4011,Greenlee,Arizona,Donald Trump,Scott Walker
4001,Apache,Arizona,Donald Trump,Rand Paul
4003,Cochise,Arizona,Donald Trump,Mike Huckabee
5003,Ashley,Arkansas,Donald Trump,Mike Huckabee
4005,Coconino,Arizona,Donald Trump,Jeb Bush
4012,La Paz,Arizona,Donald Trump,Ted Cruz
26135,Oscoda,Michigan,Donald Trump,Marco Rubio
4007,Gila,Arizona,Donald Trump,Scott Walker
4009,Graham,Arizona,Donald Trump,Mike Huckabee
8025,Crowley,Colorado,Donald Trump,Ted Cruz
4015,Mohave,Arizona,Donald Trump,Ted Cruz
4017,Navajo,Arizona,Donald Trump,Jeb Bush
4019,Pima,Arizona,Donald Trump,Jeb Bush
18013,Brown,Indiana,Donald Trump,Lindsey Graham
5011,Bradley,Arkansas,Donald Trump,Jeb Bush
5013,Calhoun,Arkansas,Donald Trump,Mike Huckabee
5015,Carroll,Arkansas,Donald Trump,Jeb Bush
5033,Crawford,Arkansas,Donald Trump,Ted Cruz
5017,Chicot,Arkansas,Donald Trump,Lindsey Graham
5019,Clark,Arkansas,Donald Trump,Rick Perry
5021,Clay,Arkansas,Donald Trump,Jeb Bush
5023,Cleburne,Arkansas,Donald Trump,Lindsey Graham
5027,Columbia,Arkansas,Donald Trump,Ted Cruz
5035,Crittenden,Arkansas,Donald Trump,Jeb Bush
5037,Cross,Arkansas,Donald Trump,Jeb Bush
5039,Dallas,Arkansas,Donald Trump,Jeb Bush
5041,Desha,Arkansas,Donald Trump,Mike Huckabee
5045,Faulkner,Arkansas,Donald Trump,Rand Paul
5047,Franklin,Arkansas,Donald Trump,Jeb Bush
5049,Fulton,Arkansas,Donald Trump,Carly Fiorina
5051,Garland,Arkansas,Donald Trump,Marco Rubio
5053,Grant,Arkansas,Donald Trump,Jeb Bush
5055,Greene,Arkansas,Donald Trump,Jeb Bush
20011,Bourbon,Kansas,Donald Trump,Mike Huckabee
5057,Hempstead,Arkansas,Donald Trump,Ben Carson
5059,Hot Spring,Arkansas,Donald Trump,Rick Perry
5061,Howard,Arkansas,Ben Carson,Bobby Jindal
5063,Independence,Arkansas,Donald Trump,Scott Walker
5065,Izard,Arkansas,Donald Trump,Scott Walker
5067,Jackson,Arkansas,Rick Perry,Donald Trump
5069,Jefferson,Arkansas,Donald Trump,Rick Perry
5071,Johnson,Arkansas,Donald Trump,Ted Cruz
5073,Lafayette,Arkansas,Mike Huckabee,Rick Perry
5075,Lawrence,Arkansas,Donald Trump,Carly Fiorina
5077,Lee,Arkansas,Donald Trump,John Kasich
5079,Lincoln,Arkansas,Scott Walker,Bobby Jindal
5081,Little River,Arkansas,Donald Trump,Marco Rubio
5083,Logan,Arkansas,Marco Rubio,Rick Perry
5085,Lonoke,Arkansas,Donald Trump,Ben Carson
5087,Madison,Arkansas,Donald Trump,Jeb Bush
5089,Marion,Arkansas,Donald Trump,Carly Fiorina
5091,Miller,Arkansas,Donald Trump,Jeb Bush
5111,Poinsett,Arkansas,Donald Trump,Jeb Bush
5093,Mississippi,Arkansas,Donald Trump,Rick Perry
5097,NA,NA,Donald Trump,George Pataki
5099,Nevada,Arkansas,Donald Trump,Rick Perry
5101,Newton,Arkansas,Rand Paul,Rick Santorum
5113,Polk,Arkansas,Donald Trump,Jeb Bush
5103,Ouachita,Arkansas,Donald Trump,Jeb Bush
5105,Perry,Arkansas,Donald Trump,Jeb Bush
5107,Phillips,Arkansas,Donald Trump,Rand Paul
5115,Pope,Arkansas,Donald Trump,Rand Paul
5117,Prairie,Arkansas,Donald Trump,Bobby Jindal
5119,Pulaski,Arkansas,Donald Trump,Mike Huckabee
5121,Randolph,Arkansas,Donald Trump,Scott Walker
5123,St Francis,Arkansas,Donald Trump,Rick Perry
8039,Elbert,Colorado,Donald Trump,Ted Cruz
5125,Saline,Arkansas,Donald Trump,Carly Fiorina
5127,Scott,Arkansas,Donald Trump,Jeb Bush
5129,Searcy,Arkansas,Donald Trump,Ted Cruz
5131,Sebastian,Arkansas,Donald Trump,Mike Huckabee
5133,Sevier,Arkansas,Donald Trump,Mike Huckabee
5135,Sharp,Arkansas,Donald Trump,Rand Paul
5137,Stone,Arkansas,Donald Trump,Mike Huckabee
5139,Union,Arkansas,Donald Trump,Jeb Bush
5141,Van Buren,Arkansas,Donald Trump,Mike Huckabee
5143,Washington,Arkansas,Donald Trump,Mike Huckabee
8041,El Paso,Colorado,Donald Trump,Scott Walker
5145,White,Arkansas,Donald Trump,Ben Carson
5149,Yell,Arkansas,Donald Trump,Lindsey Graham
6001,Alameda,California,Donald Trump,Jeb Bush
6003,Alpine,California,Marco Rubio,Scott Walker
6005,Amador,California,Donald Trump,Scott Walker
6011,Colusa,California,Donald Trump,Ben Carson
6013,Contra Costa,California,Donald Trump,Jeb Bush
6007,Butte,California,Donald Trump,Mike Huckabee
6009,Calaveras,California,Donald Trump,Jeb Bush
6015,Del Norte,California,Donald Trump,Chris Christie
6017,El Dorado,California,Donald Trump,Scott Walker
6019,Fresno,California,Donald Trump,Jeb Bush
8063,Kit Carson,Colorado,Donald Trump,Scott Walker
6021,Glenn,California,Donald Trump,Ben Carson
6023,Humboldt,California,Donald Trump,Jeb Bush
6027,Inyo,California,Donald Trump,Bobby Jindal
6029,Kern,California,Donald Trump,Jeb Bush
6031,Kings,California,Donald Trump,Ted Cruz
6033,Lake,California,Donald Trump,Jeb Bush
6035,Lassen,California,Donald Trump,Ted Cruz
6037,Los Angeles,California,Donald Trump,Jeb Bush
6039,Madera,California,Donald Trump,Jeb Bush
6041,Marin,California,Donald Trump,Scott Walker
8005,Arapahoe,Colorado,Donald Trump,Jeb Bush
6043,Mariposa,California,Donald Trump,Marco Rubio
6045,Mendocino,California,Donald Trump,Scott Walker
6047,Merced,California,Donald Trump,Jeb Bush
6049,Modoc,California,Donald Trump,Ben Carson
6051,Mono,California,Donald Trump,Jeb Bush
6053,Monterey,California,Donald Trump,Jeb Bush
6055,Napa,California,Donald Trump,Jeb Bush
19105,Jones,Iowa,Donald Trump,Jeb Bush
6057,Nevada,California,Donald Trump,Jeb Bush
6059,Orange,California,Donald Trump,Jeb Bush
6061,Placer,California,Donald Trump,Jeb Bush
6067,Sacramento,California,Donald Trump,Jeb Bush
8007,Archuleta,Colorado,Donald Trump,Jeb Bush
6063,Plumas,California,Donald Trump,Bobby Jindal
6065,Riverside,California,Donald Trump,Ted Cruz
6069,San Benito,California,Donald Trump,Ted Cruz
6071,San Bernardino,California,Donald Trump,Jeb Bush
6075,San Francisco,California,Donald Trump,Jeb Bush
6077,San Joaquin,California,Donald Trump,Rand Paul
6079,San Luis Obispo,California,Donald Trump,Jeb Bush
6081,San Mateo,California,Donald Trump,Jeb Bush
6083,Santa Barbara,California,Donald Trump,Jeb Bush
8001,Adams,Colorado,Donald Trump,Jeb Bush
6085,Santa Clara,California,Donald Trump,Jeb Bush
6087,Santa Cruz,California,Donald Trump,Rand Paul
6089,Shasta,California,Donald Trump,Ted Cruz
6093,Siskiyou,California,Donald Trump,Rand Paul
6095,Solano,California,Donald Trump,Jeb Bush
6097,Sonoma,California,Donald Trump,Rand Paul
8003,Alamosa,Colorado,Donald Trump,Carly Fiorina
6099,Stanislaus,California,Donald Trump,Jeb Bush
6101,Sutter,California,Donald Trump,Rand Paul
6103,Tehama,California,Donald Trump,Bobby Jindal
8009,Baca,Colorado,Donald Trump,Bobby Jindal
6105,Trinity,California,Donald Trump,Mike Huckabee
6107,Tulare,California,Donald Trump,Ted Cruz
6115,Yuba,California,Donald Trump,Lindsey Graham
6109,Tuolumne,California,Donald Trump,Ben Carson
6111,Ventura,California,Donald Trump,Jeb Bush
6113,Yolo,California,Donald Trump,Jeb Bush
20013,Brown,Kansas,Donald Trump,Ted Cruz
8013,Boulder,Colorado,Donald Trump,Jeb Bush
8015,Chaffee,Colorado,Donald Trump,Rand Paul
8017,Cheyenne,Colorado,Donald Trump,Rand Paul
8019,Clear Creek,Colorado,Donald Trump,Jeb Bush
8021,Conejos,Colorado,Scott Walker,Donald Trump
8023,Costilla,Colorado,Donald Trump,Bobby Jindal
8027,Custer,Colorado,Donald Trump,Ben Carson
8029,Delta,Colorado,Donald Trump,Carly Fiorina
8031,Denver,Colorado,Donald Trump,Jeb Bush
8035,Douglas,Colorado,Donald Trump,Scott Walker
8037,Eagle,Colorado,Donald Trump,Ted Cruz
8043,Fremont,Colorado,Donald Trump,Jeb Bush
8045,Garfield,Colorado,Donald Trump,Ben Carson
8047,Gilpin,Colorado,Donald Trump,Jeb Bush
8049,Grand,Colorado,Donald Trump,Rick Perry
8051,Gunnison,Colorado,Donald Trump,Jeb Bush
8053,Hinsdale,Colorado,Rick Perry,Carly Fiorina
8055,Huerfano,Colorado,Donald Trump,Scott Walker
8059,Jefferson,Colorado,Donald Trump,Jeb Bush
8061,Kiowa,Colorado,Donald Trump,Bobby Jindal
8065,Lake,Colorado,Donald Trump,Bobby Jindal
8067,La Plata,Colorado,Donald Trump,Ted Cruz
8069,Larimer,Colorado,Donald Trump,Ben Carson
8071,Las Animas,Colorado,Donald Trump,Scott Walker
8073,Lincoln,Colorado,Donald Trump,Jeb Bush
8075,Logan,Colorado,Donald Trump,Ted Cruz
17037,De Kalb,Illinois,Donald Trump,Ted Cruz
8077,Mesa,Colorado,Donald Trump,Ted Cruz
8079,Mineral,Colorado,Donald Trump,Ted Cruz
8081,Moffat,Colorado,Donald Trump,Ted Cruz
8083,Montezuma,Colorado,Donald Trump,Ted Cruz
8085,Montrose,Colorado,Donald Trump,Ted Cruz
8087,Morgan,Colorado,Donald Trump,Ben Carson
8089,Otero,Colorado,Donald Trump,Jeb Bush
20165,Rush,Kansas,Donald Trump,Bobby Jindal
8091,Ouray,Colorado,Donald Trump,Carly Fiorina
8093,Park,Colorado,Donald Trump,Ted Cruz
8095,Phillips,Colorado,Donald Trump,Ted Cruz
8097,Pitkin,Colorado,Donald Trump,Jeb Bush
8099,Prowers,Colorado,Donald Trump,Ben Carson
8101,Pueblo,Colorado,Donald Trump,Jeb Bush
8103,Rio Blanco,Colorado,Donald Trump,Scott Walker
8105,Rio Grande,Colorado,Donald Trump,Mike Huckabee
8107,Routt,Colorado,Donald Trump,Chris Christie
8109,Saguache,Colorado,Ted Cruz,Donald Trump
8113,San Miguel,Colorado,Donald Trump,Lindsey Graham
8117,Summit,Colorado,Donald Trump,Jeb Bush
8119,Teller,Colorado,Donald Trump,Ted Cruz
8121,Washington,Colorado,Donald Trump,Bobby Jindal
8123,Weld,Colorado,Donald Trump,Ted Cruz
8125,Yuma,Colorado,Donald Trump,Jeb Bush
