Top countries searching for Black Monday on 8/24,
"All values indexed to 100, where 100 is the max value",
Country,Search Interest
Singapore,100
Japan,75.74
Ireland,71.49
United Kingdom,68.86
Canada,66
United States,62.34
Hong Kong,58.33
Latvia,48.35
Cyprus,47.02
United Arab Emirates,43.6
Paraguay,42.72
Mexico,40.21
Sweden,40.05
Thailand,37.93
Costa Rica,37.87
New Zealand,37.67
Taiwan,36.34
Finland,34.98
Australia,34.88
Puerto Rico,34.5
Malaysia,32.6
Switzerland,32.3
South Africa,31.82
Colombia,31.8
Uruguay,31.35
Russia,31.31
Greece,30.21
Panama,29.96
Norway,29.62
Chile,28.31
