"Countries ranked by Google searches for 'immigration' to them by each country, Sept 2014-Sept 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
country,UK rank,country,US rank,country,Canada rank,country,Germany rank,country,France rank,country,Italy rank,country,Japan rank
Turks and Caicos Islands,1,Kiribati,1,Cameroon,1,Afghanistan,1,Saint Barthélemy,1,The Gambia (Senegal),1,Anguilla,1
Bermuda,2,Eritrea,2,Eritrea,2,Liechtenstein,2,Saint Martin,2,Falkland Islands (Islas Malvinas),2,Niger (Agadez),2
United Kingdom,3,Tonga,3,Cuba,3,Iran,3,Chad,3,Micronesia,3,Nepal,3
Cayman Islands,4,Marshall Islands,4,Canada,4,The Gambia (Senegal),4,Monaco,4,San Marino (Emilia-Romagna),4,Guam,4
Saint Vincent and the Grenadines,5,Palau,5,Guyana,5,Germany,5,Cameroon,5,Equatorial Guinea,5,Guyana,5
Antigua and Barbuda,6,U.S. Virgin Islands,6,Jamaica,6,Andorra,6,Côte d'Ivoire,6,Lesotho,6,Myanmar (Burma),6
British Virgin Islands,7,Guyana,7,Djibouti,7,Togo,7,Togo,7,Somalia,7,Singapore,7
Jersey,8,Samoa,8,Cayman Islands,8,Cameroon,8,Burkina Faso,8,Mali,8,Japan,8
Grenada,9,Micronesia,9,Tonga,9,Syria,9,Mauritania,9,Italy,9,Mongolia,9
Seychelles,10,Dominica,10,Pakistan,10,Albania,10,Senegal,10,Senegal,10,Philippines,10
U.S. Virgin Islands,11,Sint Maarten,11,Iran,11,Algeria,11,Guinea,11,Libya,11,Cambodia,11
Gibraltar,12,Jamaica,12,Nepal,12,Sierra Leone (Northern Province),12,French Guiana,12,Monaco,12,Mauritius,12
Afghanistan,13,Haiti,13,Afghanistan,13,Kosovo,13,Gabon,13,Guinea,13,Afghanistan,13
Guyana,14,Antigua and Barbuda,14,United Arab Emirates (Abu Dhabi),14,Madagascar,14,Algeria,14,Malta,14,Zambia,14
Malawi,15,Turks and Caicos Islands,15,Congo,15,Tunisia,15,Guernsey,15,South Sudan,15,Senegal,15
Guernsey,16,Cayman Islands,16,The Gambia (Senegal),16,Curaçao,16,France,16,Maldives,16,Brunei Darussalam (Sarawak),16
Jamaica,17,Grenada,17,Benin,17,Somalia,17,Mauritius,17,Côte d'Ivoire,17,Bangladesh,17
Saint Helena,18,Cuba,18,Burundi,18,Gabon,18,Martinique,18,Togo,18,Ethiopia (Oromia),18
Zimbabwe,19,Djibouti,19,Togo,19,Tajikistan (Gorno-Badakhshan Autonomous Province),19,Madagascar,19,Djibouti,19,Democratic Republic of the Congo,19
Liechtenstein,20,Afghanistan,20,Somalia,20,Lebanon,20,Democratic Republic of the Congo,20,Cuba,20,Macau,20
Isle of Man,21,Saint Lucia,21,Anguilla,21,Papua New Guinea,21,Tunisia,21,Afghanistan,21,Bahrain,21
Mauritius,22,The Bahamas,22,Qatar (Al Rayyan),22,Saint Helena,22,Congo,22,Congo,22,Ghana,22
Barbados,23,Liberia,23,Bangladesh,23,Malta,23,Guadeloupe,23,Liberia,23,Cameroon,23
Uganda,24,Dominican Republic,24,Haiti,24,Benin,24,Reunion,24,Ethiopia (Oromia),24,Hong Kong,24
The Gambia (Senegal),25,Northern Mariana Islands,25,Nigeria,25,Greece,25,Afghanistan,25,Guyana,25,Zimbabwe,25
Pakistan,26,Comoros,26,Seychelles,26,Mauritania,26,French Polynesia,26,Sudan,26,Montenegro,26
Ghana,27,Guam,27,Saint Vincent and the Grenadines,27,Senegal,27,Mali,27,Madagascar,27,Australia,27
Timor-Leste,28,Sierra Leone (Northern Province),28,Mauritius,28,Fiji,28,Morocco,28,Gabon,28,Sri Lanka,28
Fiji,29,Togo,29,Saint Lucia,29,United Arab Emirates (Abu Dhabi),29,Benin,29,Ghana,29,Iran,29
Nepal,30,Anguilla,30,Côte d'Ivoire,30,Qatar (Al Rayyan),30,New Caledonia,30,Tunisia,30,New Zealand,30
United Arab Emirates (Abu Dhabi),31,Caribbean Netherlands,31,Antigua and Barbuda,31,Morocco,31,Fiji,31,Luxembourg,31,Canada,31
Trinidad and Tobago,32,Fiji,32,Sint Maarten,32,Guadeloupe,32,Barbados,32,Mauritius,32,Oman,32
Nigeria,33,Honduras,33,Barbados,33,Namibia,33,Iran,33,Turkmenistan,33,Côte d'Ivoire,33
Qatar (Al Rayyan),34,Cameroon,34,Saint Helena,34,Mali,34,Malta,34,Benin,34,Kyrgyzstan,34
Togo,35,Aruba,35,The Bahamas,35,Luxembourg,35,Rwanda,35,Mauritania,35,United Arab Emirates (Abu Dhabi),35
Djibouti,36,The Gambia (Senegal),36,Democratic Republic of the Congo,36,Switzerland,36,Iceland,36,Albania,36,Uganda,36
Aruba,37,Benin,37,Fiji,37,Côte d'Ivoire,37,The Bahamas,37,Qatar (Al Rayyan),37,Lebanon,37
Cuba,38,Saint Barthélemy,38,Trinidad and Tobago,38,Pakistan,38,Luxembourg,38,Switzerland,38,Indonesia,38
New Zealand,39,El Salvador,39,Grenada,39,Ethiopia (Oromia),39,Lebanon,39,Australia,39,Pakistan,39
Botswana,40,Belize,40,Rwanda,40,Uganda,40,Kyrgyzstan,40,Rwanda,40,Malaysia,40
Belize,41,Ethiopia (Oromia),41,Lebanon,41,Sweden,41,Kosovo,41,Malawi,41,Albania,41
Brunei Darussalam (Sarawak),42,Curaçao,42,Algeria,42,Bahrain,42,Canada,42,Argentina,42,Latvia,42
Laos,43,Barbados,43,Zimbabwe,43,Honduras,43,United Kingdom,43,Pakistan,43,Sweden,43
Libya,44,Bermuda,44,Oman,44,Ghana,44,Italy,44,Iceland,44,Thailand,44
Sri Lanka,45,British Virgin Islands,45,Chad,45,Armenia,45,Switzerland,45,Czech Republic,45,Switzerland,45
South Africa,46,Faroe Islands,46,Ghana,46,Ukraine,46,Ireland,46,Namibia,46,Ireland,46
Ireland,47,United States,47,Saint Kitts and Nevis,47,Moldova,47,United Arab Emirates (Abu Dhabi),47,United Kingdom,47,Kuwait (Al Jahra),47
Cyprus,48,Trinidad and Tobago,48,Guernsey,48,Bangladesh,48,Belgium (Walloon Region),48,Iran,48,Macedonia (FYROM),48
Malta,49,Congo,49,Bermuda,49,El Salvador,49,Macau,49,France,49,United States,49
Albania,50,Saint Vincent and the Grenadines,50,Isle of Man,50,Oman,50,Puerto Rico,50,Nigeria,50,Brazil,50
Norway,51,Bhutan,51,Kuwait (Al Jahra),51,Bosnia and Herzegovina (BA-SRP),51,Cyprus,51,Ireland,51,Morocco,51
Sierra Leone (Northern Province),52,Bangladesh,52,Gabon,52,South Africa,52,El Salvador,52,Belgium (Walloon Region),52,Sudan,52
Australia,53,Isle of Man,53,Bahrain,53,Kuwait (Al Jahra),53,Nicaragua,53,Bangladesh,53,Kenya,53
Oman,54,Ghana,54,Philippines,54,Kenya,54,New Zealand,54,Canada,54,Czech Republic,54
Somalia,55,Swaziland,55,Senegal,55,Paraguay,55,Singapore,55,Mongolia,55,Finland,55
Bangladesh,56,Guatemala,56,Timor-Leste,56,Macedonia (FYROM),56,Saint Helena,56,Macedonia (FYROM),56,South Korea,56
Hong Kong,57,Papua New Guinea,57,Guinea,57,Jamaica,57,Albania,57,United States,57,Vietnam,57
Kenya,58,Iran,58,Kosovo,58,Jordan,58,Bangladesh,58,Greece,58,Qatar (Al Rayyan),58
Denmark,59,Lebanon,59,Sri Lanka,59,Uzbekistan,59,Mongolia,59,Morocco,59,Norway,59
Singapore,60,Puerto Rico,60,Belize,60,Austria,60,Angola,60,New Zealand,60,Panama,60
Kuwait (Al Jahra),61,Chad,61,Botswana,61,Saudi Arabia,61,China,61,Estonia,61,United Kingdom,61
