"How does America search for controlling guns or purchasing them? This map shows searches by state over 2015 and in the 24 hours after the Charleston, Virginia and Oregon shootings",,,,,
,,,,,
state,state code,2015 average,Charleston,Virginia,Oregon
Alaska,AK,Gun Control,Gun Control,Gun Control,Gun Control
Alabama,AL,Gun Shop,Gun Shop,Gun Control,Gun Control
Arkansas,AR,Gun Shop,Gun Shop,Gun Control,Gun Control
Arizona,AZ,Gun Shop,Gun Shop,Gun Control,Gun Control
California,CA,Gun Control,Gun Shop,Gun Control,Gun Control
Colorado,CO,Gun Control,Gun Control,Gun Control,Gun Control
Connecticut,CT,Gun Control,Gun Shop,Gun Control,Gun Control
District of Columbia,DC,Gun Shop,Gun Shop,Gun Control,Gun Control
Delaware,DE,Gun Shop,Gun Shop,Gun Control,Gun Control
Florida,FL,Gun Shop,Gun Shop,Gun Control,Gun Control
Georgia,GA,Gun Shop,Gun Shop,Gun Control,Gun Control
Hawaii,HI,Gun Shop,Gun Control,Gun Control,Gun Control
Iowa,IA,Gun Control,Gun Control,Gun Control,Gun Control
Idaho,ID,Gun Shop,Gun Shop,Gun Control,Gun Control
Illinois,IL,Gun Shop,Gun Shop,Gun Control,Gun Control
Indiana,IN,Gun Shop,Gun Shop,Gun Control,Gun Control
Kansas,KS,Gun Shop,Gun Shop,Gun Control,Gun Control
Kentucky,KY,Gun Shop,Gun Shop,Gun Shop,Gun Shop
Louisiana,LA,Gun Shop,Gun Shop,Gun Control,Gun Control
Massachusetts,MA,Gun Shop,Gun Shop,Gun Control,Gun Control
Maryland,MD,Gun Shop,Gun Shop,Gun Control,Gun Control
Maine,ME,Gun Shop,Gun Shop,Gun Control,Gun Control
Michigan,MI,Gun Shop,Gun Shop,Gun Control,Gun Control
Minnesota,MN,Gun Shop,Gun Shop,Gun Control,Gun Control
Missouri,MO,Gun Shop,Gun Shop,Gun Control,Gun Control
Mississippi,MS,Gun Shop,Gun Shop,Gun Shop,Gun Control
Montana,MT,Gun Control,Gun Control,Gun Control,Gun Control
North Carolina,NC,Gun Shop,Gun Shop,Gun Shop,Gun Control
North Dakota,ND,Gun Shop,Gun Control,Gun Control,Gun Control
Nebraska,NE,Gun Control,Gun Shop,Gun Control,Gun Control
New Hampshire,NH,Gun Shop,Gun Shop,Gun Shop,Gun Control
New Jersey,NJ,Gun Control,Gun Shop,Gun Control,Gun Control
New Mexico,NM,Gun Shop,Gun Shop,Gun Shop,Gun Control
Nevada,NV,Gun Shop,Gun Shop,Gun Control,Gun Control
New York,NY,Gun Shop,Gun Shop,Gun Control,Gun Control
Ohio,OH,Gun Shop,Gun Shop,Gun Control,Gun Control
Oklahoma,OK,Gun Shop,Gun Shop,Gun Control,Gun Control
Oregon,OR,Gun Shop,Gun Shop,Gun Control,Gun Control
Pennsylvania,PA,Gun Shop,Gun Shop,Gun Shop,Gun Control
Rhode Island,RI,Gun Control,Gun Shop,Gun Control,Gun Control
South Carolina,SC,Gun Shop,Gun Shop,Gun Shop,Gun Control
South Dakota,SD,Gun Shop,Gun Shop,Gun Shop,Gun Control
Tennessee,TN,Gun Shop,Gun Shop,Gun Shop,Gun Control
Texas,TX,Gun Shop,Gun Shop,Gun Control,Gun Control
Utah,UT,Gun Control,Gun Control,Gun Control,Gun Control
Virginia,VA,Gun Shop,Gun Shop,Gun Control,Gun Control
Vermont,VT,Gun Shop,Gun Shop,Gun Shop,Gun Control
Washington,WA,Gun Control,Gun Shop,Gun Control,Gun Control
Wisconsin,WI,Gun Shop,Gun Shop,Gun Control,Gun Control
West Virginia,WV,Gun Shop,Gun Shop,Gun Control,Gun Control
Wyoming,WY,Gun Control,Gun Control,Gun Control,Gun Control
