"Search interest in ""Black Lives Matter"" during the Democratic Debate",
Time,"Indexed search interest, where max value is 100"
10/14/15 1:00,0.806451589
10/14/15 1:01,2.419354768
10/14/15 1:02,1.612903179
10/14/15 1:03,0.806451589
10/14/15 1:04,2.419354768
10/14/15 1:05,0.806451589
10/14/15 1:06,0.806451589
10/14/15 1:07,4.032257947
10/14/15 1:08,1.612903179
10/14/15 1:09,2.419354768
10/14/15 1:10,3.225806358
10/14/15 1:11,4.032257947
10/14/15 1:12,0.806451589
10/14/15 1:13,2.419354768
10/14/15 1:14,3.225806358
10/14/15 1:15,3.225806358
10/14/15 1:16,4.032257947
10/14/15 1:17,3.225806358
10/14/15 1:18,4.838709537
10/14/15 1:19,3.225806358
10/14/15 1:20,4.032257947
10/14/15 1:21,2.419354768
10/14/15 1:22,5.645161126
10/14/15 1:23,0.806451589
10/14/15 1:24,4.032257947
10/14/15 1:25,7.258064305
10/14/15 1:26,6.451612716
10/14/15 1:27,2.419354768
10/14/15 1:28,3.225806358
10/14/15 1:29,3.225806358
10/14/15 1:30,8.064515895
10/14/15 1:31,5.645161126
10/14/15 1:32,5.645161126
10/14/15 1:33,6.451612716
10/14/15 1:34,4.838709537
10/14/15 1:35,7.258064305
10/14/15 1:36,4.032257947
10/14/15 1:37,11.29032225
10/14/15 1:38,10.48387066
10/14/15 1:39,14.51612934
10/14/15 1:40,8.870967484
10/14/15 1:41,9.677419074
10/14/15 1:42,8.064515895
10/14/15 1:43,16.12903252
10/14/15 1:44,12.90322543
10/14/15 1:45,10.48387066
10/14/15 1:46,12.90322543
10/14/15 1:47,7.258064305
10/14/15 1:48,13.70967775
10/14/15 1:49,12.09677384
10/14/15 1:50,7.258064305
10/14/15 1:51,12.09677384
10/14/15 1:52,63.70967702
10/14/15 1:53,100
10/14/15 1:54,59.67741907
10/14/15 1:55,42.74193569
10/14/15 1:56,28.22580636
10/14/15 1:57,14.51612934
