"1st and 2nd Most Searched Democratic Presidential Candidates from June 1, 2015 - Oct 11, 2015",,,,
FIPS,1st,2nd,State,CountyName
1001,Bernie Sanders,Hillary Clinton,Alabama,Autauga
1003,Hillary Clinton,Bernie Sanders,Alabama,Baldwin
1005,Hillary Clinton,Bernie Sanders,Alabama,Barbour
1007,Hillary Clinton,Bernie Sanders,Alabama,Bibb
1009,Bernie Sanders,Hillary Clinton,Alabama,Blount
1011,Hillary Clinton,Bernie Sanders,Alabama,Bullock
1013,Hillary Clinton,Bernie Sanders,Alabama,Butler
1015,Hillary Clinton,Bernie Sanders,Alabama,Calhoun
1017,Hillary Clinton,Bernie Sanders,Alabama,Chambers
1019,Hillary Clinton,Bernie Sanders,Alabama,Cherokee
1021,Hillary Clinton,Bernie Sanders,Alabama,Chilton
1023,Bernie Sanders,Hillary Clinton,Alabama,Choctaw
1025,Hillary Clinton,Bernie Sanders,Alabama,Clarke
1027,Bernie Sanders,Hillary Clinton,Alabama,Clay
1029,Hillary Clinton,Bernie Sanders,Alabama,Cleburne
1031,Hillary Clinton,Bernie Sanders,Alabama,Coffee
1033,Bernie Sanders,Hillary Clinton,Alabama,Colbert
1035,Bernie Sanders,Hillary Clinton,Alabama,Conecuh
1037,Hillary Clinton,Bernie Sanders,Alabama,Coosa
1039,Hillary Clinton,Bernie Sanders,Alabama,Covington
1041,Hillary Clinton,Bernie Sanders,Alabama,Crenshaw
1043,Hillary Clinton,Bernie Sanders,Alabama,Cullman
1045,Hillary Clinton,Bernie Sanders,Alabama,Dale
1047,Bernie Sanders,Hillary Clinton,Alabama,Dallas
1049,Bernie Sanders,Hillary Clinton,Alabama,De Kalb
1051,Hillary Clinton,Bernie Sanders,Alabama,Elmore
1053,Bernie Sanders,Hillary Clinton,Alabama,Escambia
1055,Hillary Clinton,Bernie Sanders,Alabama,Etowah
1057,Hillary Clinton,Bernie Sanders,Alabama,Fayette
1059,Hillary Clinton,Bernie Sanders,Alabama,Franklin
1061,Hillary Clinton,Bernie Sanders,Alabama,Geneva
1063,Hillary Clinton,No Data,Alabama,Greene
1065,Hillary Clinton,Lincoln Chafee,Alabama,Hale
1067,Hillary Clinton,Bernie Sanders,Alabama,Henry
1069,Hillary Clinton,Bernie Sanders,Alabama,Houston
1071,Hillary Clinton,Bernie Sanders,Alabama,Jackson
1073,Hillary Clinton,Bernie Sanders,Alabama,Jefferson
1075,Hillary Clinton,No Data,Alabama,Lamar
1077,Bernie Sanders,Hillary Clinton,Alabama,Lauderdale
1079,Hillary Clinton,Martin O'Malley,Alabama,Lawrence
1081,Bernie Sanders,Hillary Clinton,Alabama,Lee
1083,Bernie Sanders,Hillary Clinton,Alabama,Limestone
1085,Bernie Sanders,Hillary Clinton,Alabama,Lowndes
1087,Hillary Clinton,Bernie Sanders,Alabama,Macon
1089,Hillary Clinton,Bernie Sanders,Alabama,Madison
1091,Hillary Clinton,Bernie Sanders,Alabama,Marengo
1093,Hillary Clinton,Bernie Sanders,Alabama,Marion
1095,Hillary Clinton,Bernie Sanders,Alabama,Marshall
1097,Hillary Clinton,Bernie Sanders,Alabama,Mobile
1099,Bernie Sanders,Hillary Clinton,Alabama,Monroe
1101,Hillary Clinton,Bernie Sanders,Alabama,Montgomery
1103,Hillary Clinton,Bernie Sanders,Alabama,Morgan
1105,Bernie Sanders,Hillary Clinton,Alabama,Perry
1107,Hillary Clinton,Bernie Sanders,Alabama,Pickens
1109,Bernie Sanders,Hillary Clinton,Alabama,Pike
1111,Hillary Clinton,Bernie Sanders,Alabama,Randolph
1113,Bernie Sanders,Hillary Clinton,Alabama,Russell
1115,Hillary Clinton,Bernie Sanders,Alabama,St Clair
1117,Bernie Sanders,Hillary Clinton,Alabama,Shelby
1119,Hillary Clinton,Bernie Sanders,Alabama,Sumter
1121,Bernie Sanders,Hillary Clinton,Alabama,Talladega
1123,Bernie Sanders,Hillary Clinton,Alabama,Tallapoosa
1125,Hillary Clinton,Bernie Sanders,Alabama,Tuscaloosa
1127,Bernie Sanders,Hillary Clinton,Alabama,Walker
1129,Hillary Clinton,Bernie Sanders,Alabama,Washington
1131,Hillary Clinton,No Data,Alabama,Wilcox
1133,Hillary Clinton,Bernie Sanders,Alabama,Winston
2016,Bernie Sanders,Hillary Clinton,Alaska,Aleutians West
2020,Bernie Sanders,Hillary Clinton,Alaska,Anchorage
2050,Bernie Sanders,Hillary Clinton,Alaska,Bethel
2060,Hillary Clinton,Bernie Sanders,Alaska,Bristol Bay
2068,Bernie Sanders,Hillary Clinton,Alaska,Denali
2070,Hillary Clinton,Bernie Sanders,Alaska,Dillingham
2090,Bernie Sanders,Hillary Clinton,Alaska,Fairbanks North Star
2100,Bernie Sanders,Hillary Clinton,Alaska,Haines
2110,Bernie Sanders,Hillary Clinton,Alaska,Juneau
2122,Hillary Clinton,Bernie Sanders,Alaska,Kenai Peninsula
2130,Bernie Sanders,Hillary Clinton,Alaska,Ketchikan Gateway
2150,Bernie Sanders,Hillary Clinton,Alaska,Kodiak Island
2170,Bernie Sanders,Hillary Clinton,Alaska,Matanuska Susitna
2180,Hillary Clinton,Bernie Sanders,Alaska,Nome
2185,Hillary Clinton,Bernie Sanders,Alaska,North Slope
2188,Bernie Sanders,Hillary Clinton,Alaska,Northwest Arctic
2201,Bernie Sanders,Hillary Clinton,Alaska,Prince Wales Ketchikan
2220,Bernie Sanders,Hillary Clinton,Alaska,Sitka
2232,Hillary Clinton,Bernie Sanders,Alaska,Skagway Hoonah Angoon
2240,Hillary Clinton,No Data,Alaska,Southeast Fairbanks
2261,Hillary Clinton,Bernie Sanders,Alaska,Valdez Cordova
2280,Bernie Sanders,Hillary Clinton,Alaska,Wrangell Petersburg
2290,Hillary Clinton,No Data,Alaska,Yukon Koyukuk
4001,Hillary Clinton,Bernie Sanders,Arizona,Apache
4003,Hillary Clinton,Bernie Sanders,Arizona,Cochise
4005,Hillary Clinton,Bernie Sanders,Arizona,Coconino
4007,Hillary Clinton,Bernie Sanders,Arizona,Gila
4009,Bernie Sanders,Hillary Clinton,Arizona,Graham
4011,Hillary Clinton,Bernie Sanders,Arizona,Greenlee
4012,Hillary Clinton,Bernie Sanders,Arizona,La Paz
4013,Hillary Clinton,Bernie Sanders,Arizona,Maricopa
4015,Hillary Clinton,Bernie Sanders,Arizona,Mohave
4017,Bernie Sanders,Hillary Clinton,Arizona,Navajo
4019,Bernie Sanders,Hillary Clinton,Arizona,Pima
4021,Hillary Clinton,Bernie Sanders,Arizona,Pinal
4023,Hillary Clinton,Bernie Sanders,Arizona,Santa Cruz
4025,Bernie Sanders,Hillary Clinton,Arizona,Yavapai
4027,Bernie Sanders,Hillary Clinton,Arizona,Yuma
5001,Hillary Clinton,Bernie Sanders,Arkansas,Arkansas
5003,Bernie Sanders,Hillary Clinton,Arkansas,Ashley
5005,Hillary Clinton,Bernie Sanders,Arkansas,Baxter
5007,Hillary Clinton,Bernie Sanders,Arkansas,Benton
5009,Hillary Clinton,No Data,Arkansas,Boone
5011,Hillary Clinton,Bernie Sanders,Arkansas,Bradley
5013,Hillary Clinton,Bernie Sanders,Arkansas,Calhoun
5015,Bernie Sanders,Hillary Clinton,Arkansas,Carroll
5017,Hillary Clinton,Bernie Sanders,Arkansas,Chicot
5019,Bernie Sanders,Hillary Clinton,Arkansas,Clark
5021,Bernie Sanders,Hillary Clinton,Arkansas,Clay
5023,Hillary Clinton,Bernie Sanders,Arkansas,Cleburne
5025,Bernie Sanders,Hillary Clinton,Arkansas,Cleveland
5027,Hillary Clinton,Bernie Sanders,Arkansas,Columbia
5029,Bernie Sanders,Hillary Clinton,Arkansas,Conway
5031,Hillary Clinton,Bernie Sanders,Arkansas,Craighead
5033,Hillary Clinton,Bernie Sanders,Arkansas,Crawford
5035,Hillary Clinton,Bernie Sanders,Arkansas,Crittenden
5037,Bernie Sanders,Hillary Clinton,Arkansas,Cross
5039,Hillary Clinton,Jim Webb,Arkansas,Dallas
5041,Hillary Clinton,Bernie Sanders,Arkansas,Desha
5045,Bernie Sanders,Hillary Clinton,Arkansas,Faulkner
5047,Bernie Sanders,Hillary Clinton,Arkansas,Franklin
5049,Bernie Sanders,Hillary Clinton,Arkansas,Fulton
5051,Hillary Clinton,Bernie Sanders,Arkansas,Garland
5053,Bernie Sanders,Hillary Clinton,Arkansas,Grant
5055,Hillary Clinton,Bernie Sanders,Arkansas,Greene
5057,Hillary Clinton,Bernie Sanders,Arkansas,Hempstead
5059,Bernie Sanders,Hillary Clinton,Arkansas,Hot Spring
5061,Bernie Sanders,Hillary Clinton,Arkansas,Howard
5063,Bernie Sanders,Hillary Clinton,Arkansas,Independence
5065,Hillary Clinton,Bernie Sanders,Arkansas,Izard
5067,Hillary Clinton,Bernie Sanders,Arkansas,Jackson
5069,Bernie Sanders,Hillary Clinton,Arkansas,Jefferson
5071,Hillary Clinton,Bernie Sanders,Arkansas,Johnson
5073,Bernie Sanders,Hillary Clinton,Arkansas,Lafayette
5075,Hillary Clinton,Bernie Sanders,Arkansas,Lawrence
5077,Hillary Clinton,Bernie Sanders,Arkansas,Lee
