"Rankings for search interest in Democratic debate candidates by minute, based on US searches on 10/13/2015",,,,,
time,Lincoln Chafee,Hillary Clinton,Martin O'Malley,Bernie Sanders,Jim Webb
8:40 PM ET,5,2,4,1,3
8:48 PM ET,3,5,4,2,1
8:56 PM ET,5,2,4,1,3
9:04 PM ET,4,2,3,1,5
9:12 PM ET,5,2,4,1,3
9:20 PM ET,4,2,5,1,3
9:28 PM ET,5,3,4,1,2
9:36 PM ET,5,3,4,1,2
9:44 PM ET,5,1,4,2,3
9:52 PM ET,5,2,4,1,3
10:00 PM ET,5,2,4,1,3
10:08 PM ET,3,2,5,1,4
10:16 PM ET,4,3,5,1,2
10:24 PM ET,4,2,5,1,3
10:32 PM ET,5,2,4,1,3
10:40 PM ET,5,2,3,1,4
10:48 PM ET,2,3,5,1,4
10:56 PM ET,5,2,3,1,4
11:04 PM ET,5,2,3,1,4
