"Rankings for search interest in major debate issues by minute, based on US searches on 10/13",,,,,,,,,,,,,,
time,Immigration,Economy,Same-Sex Marriage,Health Care,Abortion,Gun Control,Black Lives Matter,Clinton's Emails,War in Iraq,Wall Street,Patriot Act,Campaign Finance,Climate Change,Marijuana Legalization
8:40 PM ET,2,3,6,1,4,5,10,8,10,9,13,12,7,14
8:48 PM ET,2,3,7,1,4,5,11,9,8,10,12,13,6,13
8:56 PM ET,2,3,7,1,5,6,13,8,11,10,14,12,4,9
9:04 PM ET,2,3,6,1,4,5,11,8,10,9,14,13,7,11
9:12 PM ET,2,5,6,3,4,1,11,7,7,9,13,14,10,12
9:20 PM ET,3,5,8,2,6,1,11,7,4,10,13,14,9,12
9:28 PM ET,2,3,9,1,4,7,10,5,6,11,13,14,8,12
9:36 PM ET,3,4,9,1,5,7,8,2,10,11,12,14,6,13
9:44 PM ET,3,4,10,2,5,6,8,1,11,9,12,14,7,13
9:52 PM ET,5,2,10,4,6,8,1,3,12,7,11,14,9,13
10:00 PM ET,3,4,11,2,5,7,6,9,12,1,10,14,8,13
10:08 PM ET,2,5,11,1,6,7,9,8,12,3,4,14,10,12
10:16 PM ET,2,4,11,3,5,7,8,6,12,10,1,14,9,13
10:24 PM ET,2,5,11,3,4,6,8,7,13,10,1,14,9,12
10:32 PM ET,2,5,11,3,4,7,9,6,13,10,8,14,1,12
10:40 PM ET,2,5,11,3,4,6,9,10,14,12,8,13,1,7
10:48 PM ET,1,4,11,2,3,6,8,7,13,10,8,14,5,12
10:56 PM ET,3,4,10,1,2,6,8,5,12,9,11,14,7,12
11:04 PM ET,3,7,8,4,4,2,6,1,13,10,10,14,9,12
