"Search interest in each political party by day, based on searches in Canada
All values indexed to 100, where 100 is the max search interest",,,,,
day,Conservative Party of Canada,New Democratic Party of Canada,Liberal Party of Canada,Green Party of Canada,Bloc Québécois
8/1/2015,1,6,1,1,1
8/2/2015,3,11,3,1,2
8/3/2015,3,12,4,1,2
8/4/2015,3,13,3,1,1
8/5/2015,3,10,3,1,1
8/6/2015,3,11,4,1,1
8/7/2015,2,15,4,3,1
8/8/2015,2,9,3,1,1
8/9/2015,1,8,2,1,1
8/10/2015,2,10,2,1,1
8/11/2015,2,10,3,1,2
8/12/2015,2,10,3,1,1
8/13/2015,2,9,2,1,1
8/14/2015,2,9,2,1,1
8/15/2015,2,8,2,1,1
8/16/2015,2,9,2,1,1
8/17/2015,2,9,2,1,1
8/18/2015,2,8,2,1,1
8/19/2015,2,9,2,1,1
8/20/2015,2,9,2,1,1
8/21/2015,2,9,2,1,1
8/22/2015,1,9,1,1,1
8/23/2015,1,8,2,1,1
8/24/2015,1,8,2,1,1
8/25/2015,2,9,2,1,1
8/26/2015,2,10,2,1,1
8/27/2015,2,11,2,1,1
8/28/2015,1,9,2,1,1
8/29/2015,2,9,2,1,1
8/30/2015,1,9,2,1,1
8/31/2015,1,9,2,1,1
9/1/2015,2,9,2,1,1
9/2/2015,2,9,2,1,1
9/3/2015,2,10,2,1,1
9/4/2015,2,9,2,1,1
9/5/2015,1,9,2,1,1
9/6/2015,1,7,1,1,1
9/7/2015,2,9,2,1,1
9/8/2015,3,11,3,1,1
9/9/2015,3,12,3,1,1
9/10/2015,3,14,3,2,1
9/11/2015,3,16,3,1,1
9/12/2015,2,13,2,1,1
9/13/2015,2,11,3,1,1
9/14/2015,3,13,4,1,2
9/15/2015,4,14,4,1,2
9/16/2015,5,17,5,2,2
9/17/2015,4,16,4,2,2
9/18/2015,4,17,4,2,2
9/19/2015,2,11,2,1,2
9/20/2015,3,13,3,1,1
9/21/2015,4,15,4,2,3
9/22/2015,4,14,4,2,2
9/23/2015,4,15,4,2,2
9/24/2015,4,19,4,2,3
9/25/2015,3,18,5,2,3
9/26/2015,2,11,3,1,1
9/27/2015,2,12,4,1,2
9/28/2015,4,18,5,2,2
9/29/2015,5,19,6,2,3
9/30/2015,4,19,6,2,2
10/1/2015,5,19,5,2,3
10/2/2015,5,17,5,2,3
10/3/2015,3,14,3,1,2
10/4/2015,3,14,5,1,2
10/5/2015,6,22,7,2,3
10/6/2015,6,26,8,3,3
10/7/2015,8,26,9,3,4
10/8/2015,6,27,8,3,3
10/9/2015,6,30,9,3,3
10/10/2015,5,27,9,2,2
10/11/2015,4,25,9,2,3
10/12/2015,5,29,11,2,4
10/13/2015,7,32,15,3,4
10/14/2015,7,30,15,2,4
10/15/2015,6,28,14,3,3
10/16/2015,5,24,12,2,3
10/17/2015,4,23,11,1,3
10/18/2015,6,33,17,2,4
10/19/2015,16,100,50,6,11
