"Search interest in Democrats by day in the last month, based on US searches",,,,,,,
"All values indexed to 100, where 100 is the max search interest",,,,,,,
day,Joe Biden,Lincoln Chafee,Hillary Clinton,Martin O'Malley,Lawrence Lessig,Bernie Sanders,Jim Webb
9/20/2015,10,0,26,0,1,56,0
9/21/2015,10,0,28,0,0,46,1
9/22/2015,10,0,32,0,1,40,1
9/23/2015,10,0,32,0,1,35,1
9/24/2015,13,0,25,0,1,29,0
9/25/2015,10,0,25,0,0,27,0
9/26/2015,8,0,22,0,0,25,0
9/27/2015,8,0,25,0,0,27,0
9/28/2015,8,1,24,0,1,24,1
9/29/2015,8,1,24,0,1,24,0
9/30/2015,6,0,24,0,1,24,1
10/1/2015,7,1,27,0,1,33,1
10/2/2015,6,0,23,0,1,26,0
10/3/2015,5,0,23,0,1,29,0
10/4/2015,7,0,54,0,1,29,0
10/5/2015,8,0,46,0,1,27,1
10/6/2015,10,1,35,0,1,25,1
10/7/2015,15,1,33,0,1,27,1
10/8/2015,9,1,32,0,1,26,1
10/9/2015,9,1,26,0,1,25,1
10/10/2015,8,0,23,0,1,29,1
10/11/2015,9,1,25,0,1,28,1
10/12/2015,11,2,26,1,1,31,2
10/13/2015,19,4,37,1,2,47,6
10/14/2015,8,8,37,11,1,57,12
10/14/2015,7,7,34,10,1,52,11
10/15/2015,12,9,62,11,1,94,14
10/16/2015,16,5,47,5,1,66,8
10/17/2015,14,3,39,3,2,55,5
10/18/2015,15,6,38,3,1,100,8
10/19/2015,40,5,38,3,1,78,7
10/20/2015,51,3,52,5,1,51,18
10/21/2015,84,3,50,4,1,42,11
