Most searched and second most searched Republican candidates leading up to 3rd GOP Debate,,,
"All results based on US search interest, 9/17-10/23/15",,,
1st_LastDebate is the most searched candidate leading up to the 9/16 debate,,,
FIPS Code,1st,2nd,1st_LastDebate
1001,Donald Trump,Ben Carson,Lindsey Graham
1003,Donald Trump,Ben Carson,Donald Trump
1005,Donald Trump,Ben Carson,Donald Trump
1007,Donald Trump,Jeb Bush,Donald Trump
1009,Donald Trump,Ben Carson,Donald Trump
1011,Donald Trump,Ben Carson,Donald Trump
1013,Donald Trump,Ben Carson,Donald Trump
1015,Donald Trump,Ben Carson,Donald Trump
1017,Donald Trump,Carly Fiorina,Ben Carson
1019,Donald Trump,Ben Carson,Donald Trump
1021,Donald Trump,Ben Carson,Donald Trump
1023,Ben Carson,Donald Trump,Ben Carson
1025,Donald Trump,Ben Carson,Donald Trump
1027,Donald Trump,Ben Carson,Donald Trump
1029,Carly Fiorina,Ted Cruz,Donald Trump
1031,Donald Trump,Ben Carson,Ben Carson
1033,Donald Trump,Ben Carson,John Kasich
1035,Donald Trump,Marco Rubio,Donald Trump
1037,Donald Trump,Carly Fiorina,Donald Trump
1039,Donald Trump,Ben Carson,Donald Trump
1041,Donald Trump,Carly Fiorina,Ted Cruz
1043,Donald Trump,Carly Fiorina,Donald Trump
1045,Donald Trump,Ben Carson,Donald Trump
1047,Ben Carson,Donald Trump,Ben Carson
1049,Donald Trump,Ben Carson,Donald Trump
1051,Donald Trump,Ben Carson,Donald Trump
1053,Mike Huckabee,Donald Trump,Donald Trump
1055,Donald Trump,Ben Carson,Donald Trump
1057,Ted Cruz,Donald Trump,Ben Carson
1059,Donald Trump,Ben Carson,Donald Trump
1061,Ben Carson,Donald Trump,Donald Trump
1063,Donald Trump,Ben Carson,Ben Carson
1065,Donald Trump,Ben Carson,Donald Trump
1067,Carly Fiorina,No data,No data
1069,Donald Trump,Carly Fiorina,Donald Trump
1071,Donald Trump,Ben Carson,Donald Trump
1073,Donald Trump,Ben Carson,Donald Trump
1075,Donald Trump,Carly Fiorina,Donald Trump
1077,Ben Carson,Ted Cruz,Donald Trump
1079,Ben Carson,Donald Trump,Donald Trump
1081,Donald Trump,Ben Carson,Donald Trump
1083,Donald Trump,Ben Carson,Donald Trump
1085,Ben Carson,Donald Trump,Donald Trump
1087,Donald Trump,Ben Carson,Donald Trump
1089,Donald Trump,Carly Fiorina,Donald Trump
1091,Carly Fiorina,Donald Trump,Carly Fiorina
1093,Donald Trump,Ben Carson,Donald Trump
1095,Donald Trump,Ben Carson,Donald Trump
1097,Donald Trump,Ben Carson,Donald Trump
1099,Donald Trump,Ben Carson,Donald Trump
1101,Donald Trump,Chris Christie,Donald Trump
1103,Donald Trump,Ben Carson,Donald Trump
1105,Donald Trump,Ben Carson,Ted Cruz
1107,Ted Cruz,Donald Trump,Donald Trump
1109,Donald Trump,Ben Carson,Donald Trump
1111,Ben Carson,Donald Trump,Donald Trump
1113,Donald Trump,Jeb Bush,Donald Trump
1115,Donald Trump,Ben Carson,Donald Trump
1117,Ben Carson,Donald Trump,Donald Trump
1119,Donald Trump,Ben Carson,Donald Trump
1121,Donald Trump,Ben Carson,Donald Trump
1123,John Kasich,Rand Paul,Donald Trump
1125,Donald Trump,Ben Carson,Donald Trump
1127,Donald Trump,Ben Carson,Donald Trump
1129,Carly Fiorina,Donald Trump,Donald Trump
1131,Jeb Bush,Donald Trump,Donald Trump
1133,Donald Trump,Chris Christie,Donald Trump
