"Rankings of most searched issues by minute during the GOP Debate, 11/10",,,,,,,,,
Time (in GMT),Immigration,Economy,ObamaCare,Taxes,Foreign Policy,Minimum Wage,Trans-Pacific Partnership (TPP),Income Inequality,Big Banks
11/11/15 0:00,3,4,5,1,7,2,6,8,9
11/11/15 0:08,3,4,5,1,7,2,6,8,9
11/11/15 0:16,2,5,4,1,8,3,6,7,9
11/11/15 0:24,2,5,4,1,7,3,6,8,9
11/11/15 0:32,4,5,2,1,7,3,6,8,9
11/11/15 0:40,2,4,5,1,7,3,6,8,9
11/11/15 0:48,2,5,4,1,7,3,6,8,9
11/11/15 0:56,2,5,4,1,7,3,6,8,9
11/11/15 1:04,3,4,5,1,7,2,6,8,9
11/11/15 1:12,2,5,4,1,7,3,6,8,9
11/11/15 1:20,2,4,5,1,7,3,6,8,9
11/11/15 1:28,2,4,5,1,8,3,6,7,9
11/11/15 1:36,2,4,5,1,7,3,6,8,9
11/11/15 1:44,2,5,4,1,7,3,6,8,9
11/11/15 1:52,3,4,5,1,7,2,6,8,9
11/11/15 2:00,3,5,4,1,8,2,7,6,9
11/11/15 2:08,3,4,5,2,7,1,8,6,9
11/11/15 2:16,3,4,5,1,8,2,7,6,9
11/11/15 2:24,2,5,5,1,8,4,7,3,9
11/11/15 2:32,1,5,3,2,8,4,6,7,9
11/11/15 2:40,3,5,1,2,8,4,6,7,9
11/11/15 2:48,3,5,2,1,8,4,6,7,9
11/11/15 2:56,2,6,5,1,8,3,4,7,9
11/11/15 3:04,5,6,4,1,8,3,2,7,9
11/11/15 3:12,3,6,5,2,8,4,1,7,9
11/11/15 3:20,2,5,6,1,8,4,3,7,9
11/11/15 3:28,3,5,6,1,7,4,2,8,9
11/11/15 3:36,3,5,6,1,8,4,2,7,9
11/11/15 3:44,3,2,5,1,8,4,6,9,7
11/11/15 3:52,2,5,4,1,8,3,6,7,9
11/11/15 4:00,2,5,4,1,8,3,6,7,9
11/11/15 4:08,3,5,4,1,7,2,6,8,9
11/11/15 4:16,3,5,4,1,8,2,6,7,9
11/11/15 4:24,5,2,4,1,8,3,6,7,9
