"Rankings in search interest for each Democratic Debate issue by minute, based on US searches on 11/14/15",,,,,,,,,,,,,,
time,Immigration,Health Care,Gun Control,War in Iraq,Wall Street,Campaign Finance,Paris,Terrorism,ISIS,Refugees,Minimum Wage,Glass-Steagall Act,Black Lives Matter,Student Debt
9:00 PM ET,8,9,7,4,11,11,2,3,1,6,5,11,9,11
9:08 PM ET,9,10,6,4,10,13,2,3,1,5,6,8,10,13
9:16 PM ET,7,11,8,5,12,13,2,3,1,6,4,9,9,14
9:24 PM ET,7,11,8,8,11,13,2,3,1,5,4,6,10,14
9:32 PM ET,6,10,8,11,9,14,1,3,2,7,4,5,11,13
9:40 PM ET,6,9,10,11,8,14,1,5,3,7,2,4,12,13
9:48 PM ET,5,9,8,12,7,11,3,6,4,9,1,2,14,13
9:56 PM ET,7,9,8,10,5,12,2,6,4,10,2,1,12,12
10:04 PM ET,10,11,6,13,2,9,3,5,4,8,7,1,12,14
10:12 PM ET,7,11,5,12,2,12,3,6,4,9,8,1,10,14
10:20 PM ET,7,13,7,11,4,12,1,5,2,9,6,2,10,14
10:28 PM ET,10,8,7,12,5,13,1,3,2,10,9,5,4,14
10:36 PM ET,8,4,5,12,5,12,1,3,2,9,10,5,11,14
10:44 PM ET,5,7,9,12,6,13,1,3,2,9,7,4,11,14
10:52 PM ET,4,8,6,11,5,12,1,3,2,10,8,7,13,14
11:00 PM ET,7,10,12,8,4,13,1,3,2,9,6,5,10,13
