"Global search interest in Beirut and Paris by hour
All values indexed to 100, where 100 is the max search interest",,
Time (in GMT),Searches for Beirut,Searches for Paris
11/10/2015 19:00:00,0,1
11/10/2015 20:00:00,0,1
11/10/2015 21:00:00,0,1
11/10/2015 22:00:00,0,1
11/10/2015 23:00:00,0,1
11/11/2015 0:00:00,0,1
11/11/2015 1:00:00,0,1
11/11/2015 2:00:00,0,1
11/11/2015 3:00:00,0,1
11/11/2015 4:00:00,0,1
11/11/2015 5:00:00,0,1
11/11/2015 6:00:00,0,1
11/11/2015 7:00:00,0,1
11/11/2015 8:00:00,0,2
11/11/2015 9:00:00,0,2
11/11/2015 10:00:00,0,2
11/11/2015 11:00:00,0,2
11/11/2015 12:00:00,0,2
11/11/2015 13:00:00,0,1
11/11/2015 14:00:00,0,1
11/11/2015 15:00:00,0,1
11/11/2015 16:00:00,0,1
11/11/2015 17:00:00,0,1
11/11/2015 18:00:00,0,2
11/11/2015 19:00:00,0,2
11/11/2015 20:00:00,0,2
11/11/2015 21:00:00,0,2
11/11/2015 22:00:00,0,1
11/11/2015 23:00:00,0,1
11/12/2015 0:00:00,0,1
11/12/2015 1:00:00,0,1
11/12/2015 2:00:00,0,1
11/12/2015 3:00:00,0,1
11/12/2015 4:00:00,0,1
11/12/2015 5:00:00,0,1
11/12/2015 6:00:00,0,1
11/12/2015 7:00:00,0,1
11/12/2015 8:00:00,0,2
11/12/2015 9:00:00,0,2
11/12/2015 10:00:00,0,2
11/12/2015 11:00:00,0,2
11/12/2015 12:00:00,0,2
11/12/2015 13:00:00,0,2
11/12/2015 14:00:00,0,2
11/12/2015 15:00:00,0,1
11/12/2015 16:00:00,0,1
11/12/2015 17:00:00,0,1
11/12/2015 18:00:00,0,1
11/12/2015 19:00:00,0,1
11/12/2015 20:00:00,0,1
11/12/2015 21:00:00,0,1
11/12/2015 22:00:00,0,1
11/12/2015 23:00:00,0,1
11/13/2015 0:00:00,0,1
11/13/2015 1:00:00,0,1
11/13/2015 2:00:00,0,1
11/13/2015 3:00:00,0,1
11/13/2015 4:00:00,0,1
11/13/2015 5:00:00,0,1
11/13/2015 6:00:00,0,1
11/13/2015 7:00:00,0,1
11/13/2015 8:00:00,0,2
11/13/2015 9:00:00,0,2
11/13/2015 10:00:00,0,2
11/13/2015 11:00:00,0,2
11/13/2015 12:00:00,0,2
11/13/2015 13:00:00,0,2
11/13/2015 14:00:00,0,2
11/13/2015 15:00:00,0,1
11/13/2015 16:00:00,0,1
11/13/2015 17:00:00,0,1
11/13/2015 18:00:00,0,1
11/13/2015 19:00:00,0,1
11/13/2015 20:00:00,0,2
11/13/2015 21:00:00,0,33
11/13/2015 22:00:00,0,75
11/13/2015 23:00:00,0,98
11/14/2015 0:00:00,0,100
11/14/2015 1:00:00,0,82
11/14/2015 2:00:00,0,67
11/14/2015 3:00:00,0,64
11/14/2015 4:00:00,0,57
11/14/2015 5:00:00,0,54
11/14/2015 6:00:00,0,60
11/14/2015 7:00:00,0,64
11/14/2015 8:00:00,0,63
11/14/2015 9:00:00,0,54
11/14/2015 10:00:00,0,46
11/14/2015 11:00:00,0,41
11/14/2015 12:00:00,0,38
11/14/2015 13:00:00,0,35
11/14/2015 14:00:00,0,32
11/14/2015 15:00:00,0,30
11/14/2015 16:00:00,1,29
11/14/2015 17:00:00,1,28
11/14/2015 18:00:00,1,27
11/14/2015 19:00:00,1,26
11/14/2015 20:00:00,1,25
11/14/2015 21:00:00,1,26
11/14/2015 22:00:00,1,24
