"Searches for ""gun control"" vs. ""gun shop"" by state before the San Bernardino shootings on 12/2/2015",
state,value
Colorado,Gun Control
New Hampshire,Gun Control
Oklahoma,Gun Control
District of Columbia,Gun Control
Washington,Gun Control
California,Gun Control
Rhode Island,Gun Control
West Virginia,Gun Control
Wyoming,Gun Control
Vermont,Gun Control
Iowa,Gun Control
Connecticut,Gun Control
Montana,Gun Control
Maine,Gun Control
New York,Gun Control
Idaho,Gun Control
Massachusetts,Gun Control
Minnesota,Gun Control
Nebraska,Gun Control
Kentucky,Gun Shop
Maryland,Gun Control
Pennsylvania,Gun Control
New Mexico,Gun Control
Indiana,Gun Control
Ohio,Gun Control
Utah,Gun Control
Illinois,Gun Control
Arkansas,Gun Control
North Dakota,Gun Control
Virginia,Gun Control
Arizona,Gun Control
Nevada,Gun Control
Missouri,Gun Control
Delaware,Gun Control
Michigan,Gun Control
South Carolina,Gun Control
New Jersey,Gun Control
North Carolina,Gun Control
Hawaii,Gun Control
Kansas,Gun Control
Oregon,Gun Control
Wisconsin,Gun Control
Texas,Gun Control
Florida,Gun Control
Tennessee,Gun Shop
Georgia,Gun Control
Alaska,Gun Control
Alabama,Gun Control
South Dakota,Gun Control
Louisiana,Gun Control
Mississippi,Gun Control
