"Searches for ""gun control"" vs. ""gun shop"" by state before the San Bernardino shootings on 12/2/2015",
state,value
Idaho,Gun Control
Wyoming,Gun Shop
Vermont,Gun Shop
Iowa,Gun Control
South Dakota,Gun Control
Connecticut,Gun Control
New Hampshire,Gun Shop
West Virginia,Gun Shop
Alaska,Gun Control
Montana,Gun Control
North Dakota,Gun Shop
Washington,Gun Control
Indiana,Gun Shop
Kansas,Gun Shop
Maine,Gun Shop
Utah,Gun Control
Arizona,Gun Shop
Mississippi,Gun Shop
Arkansas,Gun Shop
Nebraska,Gun Control
Colorado,Gun Control
Wisconsin,Gun Control
Maryland,Gun Control
Missouri,Gun Shop
Ohio,Gun Shop
New Mexico,Gun Shop
Alabama,Gun Shop
Michigan,Gun Shop
Rhode Island,Gun Control
Delaware,Gun Shop
Kentucky,Gun Shop
Tennessee,Gun Shop
Nevada,Gun Shop
Minnesota,Gun Shop
North Carolina,Gun Shop
Pennsylvania,Gun Shop
District of Columbia,Gun Shop
South Carolina,Gun Shop
California,Gun Control
Louisiana,Gun Shop
Oklahoma,Gun Shop
Massachusetts,Gun Control
Illinois,Gun Shop
Texas,Gun Shop
New York,Gun Control
New Jersey,Gun Control
Florida,Gun Shop
Georgia,Gun Shop
Hawaii,Gun Shop
Oregon,Gun Control
Virginia,Gun Shop
