week,time,Internet,Immigration,Foreign Policy,Refugees,Syria,ISIS,Russia,Kurds,Donald Trump,China
1,6:20 PM ET,1,5,9,7,6,3,4,10,8,2
2,,1,5,9,7,6,2,4,10,8,3
3,6:36 PM ET,2,5,9,8,6,1,4,10,7,3
4,,2,5,9,8,6,1,4,10,7,3
5,6:52 PM ET,1,5,9,8,6,2,4,10,7,3
6,,2,5,9,8,6,1,4,10,7,3
7,7:08 PM ET,2,6,10,8,5,1,4,9,7,3
8,,2,5,9,8,6,1,4,10,7,3
9,7:24 PM ET,2,5,9,8,6,1,4,10,7,3
10,,2,5,10,8,6,1,4,9,7,3
11,7:40 PM ET,1,5,9,8,6,2,4,10,7,3
12,,1,5,9,8,6,2,4,10,7,3
13,7:56 PM ET,1,5,9,7,6,2,4,10,8,3
14,,2,5,9,8,6,1,4,10,7,3
15,8:12 PM ET,2,5,9,7,6,1,4,10,8,3
16,,1,5,9,8,6,2,4,10,7,3
17,8:28 PM ET,1,5,9,7,6,2,4,10,8,3
18,,1,5,9,7,6,2,4,10,8,3
19,8:44 PM ET,1,5,10,7,6,2,4,9,8,3
20,,2,5,10,7,6,1,4,8,9,3
21,9:00 PM ET,3,6,10,8,7,1,5,2,9,4
22,,2,5,10,7,6,1,4,9,8,3
23,9:16 PM ET,2,5,10,7,6,1,4,9,8,3
24,,1,5,10,9,6,2,4,7,8,3
25,9:32 PM ET,2,6,10,7,5,1,4,9,8,3
26,,2,6,10,8,5,1,4,9,7,3
27,9:48 PM ET,2,6,10,9,5,1,4,8,7,3
28,,2,6,10,8,5,1,4,9,7,3
29,10:04 PM ET,2,6,10,8,5,1,4,9,7,3
30,,2,6,10,7,5,1,3,9,8,4
31,10:20 PM ET,1,5,10,7,6,2,4,9,8,3
32,,1,5,10,7,6,2,4,8,9,3
33,10:36 PM ET,2,7,10,6,5,1,4,9,8,3
34,,1,5,9,8,6,2,4,10,7,3
35,10:52 PM ET,2,5,10,7,6,1,4,9,8,3
36,,1,5,10,8,6,2,4,9,7,3
37,11:08 PM ET,1,5,10,8,6,2,4,9,7,3
