Search interest in issues during democratic debate on 12/19/2015,,,,,,,,,,,
week,time,Foreign Policy,Refugees,Syria,ISIS,Gun control,Middle class,Wall Street,Student debt,Criminal justice,Drug Overdose
1,8:28 PM ET,9,4,2,1,5,8,6,10,7,3
2,8:36 PM ET,9,4,2,1,5,8,6,10,7,3
3,8:44 PM ET,9,3,2,1,3,7,6,10,8,5
4,8:52 PM ET,9,5,3,1,2,8,6,10,7,4
5,9:00 PM ET,9,3,2,1,5,8,6,10,7,4
6,9:08 PM ET,9,3,2,1,5,8,6,10,7,4
7,9:16 PM ET,8,4,2,1,5,8,6,10,7,3
8,9:24 PM ET,8,4,2,1,5,7,6,10,9,3
9,9:32 PM ET,9,5,2,1,6,7,3,10,8,4
10,9:40 PM ET,9,6,2,1,7,5,3,10,8,4
11,9:48 PM ET,9,5,3,1,6,8,2,10,7,4
12,9:56 PM ET,10,6,2,1,5,6,3,9,8,4
13,10:04 PM ET,9,6,2,1,7,3,5,10,8,4
14,10:12 PM ET,9,5,2,1,5,7,4,10,8,3
15,10:20 PM ET,9,5,3,1,4,8,6,10,7,2
16,10:28 PM ET,9,4,2,1,5,8,6,10,7,3
17,10:36 PM ET,8,5,2,1,4,9,6,10,7,3
18,10:44 PM ET,9,5,2,1,4,8,6,10,7,3
