"Top searched candidate by county, 11/14/15 to 11/18/15",,,
FIPS,County,State,Top Democrat
45001,Abbeville,South Carolina,Bernie Sanders
22001,Acadia,Louisiana,Hillary Clinton
51001,Accomack,Virginia,Bernie Sanders
16001,Ada,Idaho,Bernie Sanders
19001,Adair,Iowa,Hillary Clinton
21001,Adair,Kentucky,Hillary Clinton
29001,Adair,Missouri,Bernie Sanders
40001,Adair,Oklahoma,Bernie Sanders
8001,Adams,Colorado,Bernie Sanders
16003,Adams,Idaho,Bernie Sanders
17001,Adams,Illinois,Bernie Sanders
18001,Adams,Indiana,Bernie Sanders
19003,Adams,Iowa,Bernie Sanders
28001,Adams,Mississippi,Hillary Clinton
31001,Adams,Nebraska,Bernie Sanders
39001,Adams,Ohio,Hillary Clinton
42001,Adams,Pennsylvania,Hillary Clinton
53001,Adams,Washington,Bernie Sanders
55001,Adams,Wisconsin,Bernie Sanders
50001,Addison,Vermont,Bernie Sanders
45003,Aiken,South Carolina,Hillary Clinton
27001,Aitkin,Minnesota,Martin O'Maley
12001,Alachua,Florida,Bernie Sanders
37001,Alamance,North Carolina,Bernie Sanders
6001,Alameda,California,Bernie Sanders
8003,Alamosa,Colorado,Hillary Clinton
36001,Albany,New York,Bernie Sanders
51003,Albemarle,Virginia,Bernie Sanders
26001,Alcona,Michigan,Bernie Sanders
28003,Alcorn,Mississippi,Bernie Sanders
2016,Aleutians West,Alaska,Hillary Clinton
17003,Alexander,Illinois,Bernie Sanders
37003,Alexander,North Carolina,Bernie Sanders
51510,Alexandria City,Virginia,Hillary Clinton
26003,Alger,Michigan,Bernie Sanders
19005,Allamakee,Iowa,Bernie Sanders
26005,Allegan,Michigan,Bernie Sanders
24001,Allegany,Maryland,Hillary Clinton
36003,Allegany,New York,Bernie Sanders
37005,Alleghany,North Carolina,Hillary Clinton
51005,Alleghany,Virginia,Bernie Sanders
42003,Allegheny,Pennsylvania,Bernie Sanders
18003,Allen,Indiana,Bernie Sanders
20001,Allen,Kansas,Bernie Sanders
21003,Allen,Kentucky,Bernie Sanders
22003,Allen,Louisiana,Bernie Sanders
39003,Allen,Ohio,Hillary Clinton
26007,Alpena,Michigan,Hillary Clinton
6003,Alpine,California,Hillary Clinton
6005,Amador,California,Hillary Clinton
51007,Amelia,Virginia,Hillary Clinton
51009,Amherst,Virginia,Bernie Sanders
2020,Anchorage,Alaska,Bernie Sanders
20003,Anderson,Kansas,Bernie Sanders
21005,Anderson,Kentucky,Bernie Sanders
45007,Anderson,South Carolina,Bernie Sanders
47001,Anderson,Tennessee,Hillary Clinton
48001,Anderson,Texas,Hillary Clinton
29003,Andrew,Missouri,Hillary Clinton
48003,Andrews,Texas,Bernie Sanders
23001,Androscoggin,Maine,Bernie Sanders
48005,Angelina,Texas,Bernie Sanders
24003,Anne Arundel,Maryland,Bernie Sanders
