"Most Searched Democratic Presidential Candidate by US County, based on US searches since 12/19/2015",,,
FIPS,State,CountyName,MostSearched
1001,Alabama,Autauga,Hillary Clinton
1003,Alabama,Baldwin,Hillary Clinton
1005,Alabama,Barbour,Bernie Sanders
1007,Alabama,Bibb,Hillary Clinton
1009,Alabama,Blount,Hillary Clinton
1011,Alabama,Bullock,Bernie Sanders
1013,Alabama,Butler,Hillary Clinton
1015,Alabama,Calhoun,Hillary Clinton
1017,Alabama,Chambers,Hillary Clinton
1019,Alabama,Cherokee,Hillary Clinton
1021,Alabama,Chilton,Hillary Clinton
1023,Alabama,Choctaw,Bernie Sanders
1025,Alabama,Clarke,Hillary Clinton
1027,Alabama,Clay,Hillary Clinton
1031,Alabama,Coffee,Hillary Clinton
1033,Alabama,Colbert,Hillary Clinton
1035,Alabama,Conecuh,Bernie Sanders
1039,Alabama,Covington,Bernie Sanders
1041,Alabama,Crenshaw,Hillary Clinton
1043,Alabama,Cullman,Hillary Clinton
1045,Alabama,Dale,Bernie Sanders
1047,Alabama,Dallas,Hillary Clinton
1049,Alabama,De Kalb,Hillary Clinton
1051,Alabama,Elmore,Hillary Clinton
1053,Alabama,Escambia,Hillary Clinton
1055,Alabama,Etowah,Hillary Clinton
1057,Alabama,Fayette,Hillary Clinton
1059,Alabama,Franklin,Hillary Clinton
1061,Alabama,Geneva,Hillary Clinton
1063,Alabama,Greene,Hillary Clinton
1065,Alabama,Hale,Hillary Clinton
1069,Alabama,Houston,Hillary Clinton
1071,Alabama,Jackson,Bernie Sanders
1073,Alabama,Jefferson,Hillary Clinton
1075,Alabama,Lamar,Hillary Clinton
1077,Alabama,Lauderdale,Hillary Clinton
1079,Alabama,Lawrence,Bernie Sanders
1081,Alabama,Lee,Hillary Clinton
1083,Alabama,Limestone,Hillary Clinton
1085,Alabama,Lowndes,Hillary Clinton
1087,Alabama,Macon,Bernie Sanders
1089,Alabama,Madison,Hillary Clinton
1091,Alabama,Marengo,Hillary Clinton
1093,Alabama,Marion,Hillary Clinton
1095,Alabama,Marshall,Hillary Clinton
1097,Alabama,Mobile,Hillary Clinton
1099,Alabama,Monroe,Bernie Sanders
1101,Alabama,Montgomery,Hillary Clinton
1103,Alabama,Morgan,Bernie Sanders
1105,Alabama,Perry,Hillary Clinton
1107,Alabama,Pickens,Hillary Clinton
1109,Alabama,Pike,Hillary Clinton
1111,Alabama,Randolph,Hillary Clinton
1113,Alabama,Russell,Hillary Clinton
1115,Alabama,St Clair,Hillary Clinton
1117,Alabama,Shelby,Hillary Clinton
1119,Alabama,Sumter,Bernie Sanders
1121,Alabama,Talladega,Hillary Clinton
1123,Alabama,Tallapoosa,Hillary Clinton
1125,Alabama,Tuscaloosa,Hillary Clinton
1127,Alabama,Walker,Hillary Clinton
1129,Alabama,Washington,Bernie Sanders
1131,Alabama,Wilcox,Hillary Clinton
1133,Alabama,Winston,Hillary Clinton
2016,Alaska,Aleutians West,Bernie Sanders
2020,Alaska,Anchorage,Hillary Clinton
2050,Alaska,Bethel,Hillary Clinton
2070,Alaska,Dillingham,Hillary Clinton
2090,Alaska,Fairbanks North Star,Bernie Sanders
2100,Alaska,Haines,Hillary Clinton
2110,Alaska,Juneau,Hillary Clinton
2122,Alaska,Kenai Peninsula,Hillary Clinton
2130,Alaska,Ketchikan Gateway,Hillary Clinton
2150,Alaska,Kodiak Island,Bernie Sanders
2170,Alaska,Matanuska Susitna,Bernie Sanders
2180,Alaska,Nome,Hillary Clinton
2185,Alaska,North Slope,Hillary Clinton
2188,Alaska,Northwest Arctic,Hillary Clinton
2201,Alaska,Prince Wales Ketchikan,Hillary Clinton
2220,Alaska,Sitka,Hillary Clinton
2232,Alaska,Skagway Hoonah Angoon,Bernie Sanders
2240,Alaska,Southeast Fairbanks,Hillary Clinton
2261,Alaska,Valdez Cordova,Bernie Sanders
2280,Alaska,Wrangell Petersburg,Bernie Sanders
4001,Arizona,Apache,Hillary Clinton
4003,Arizona,Cochise,Bernie Sanders
4005,Arizona,Coconino,Hillary Clinton
4007,Arizona,Gila,Bernie Sanders
4009,Arizona,Graham,Hillary Clinton
4011,Arizona,Greenlee,Hillary Clinton
4012,Arizona,La Paz,Bernie Sanders
4013,Arizona,Maricopa,Hillary Clinton
4015,Arizona,Mohave,Bernie Sanders
4017,Arizona,Navajo,Hillary Clinton
4019,Arizona,Pima,Hillary Clinton
4021,Arizona,Pinal,Hillary Clinton
4023,Arizona,Santa Cruz,Hillary Clinton
4025,Arizona,Yavapai,Hillary Clinton
4027,Arizona,Yuma,Hillary Clinton
5001,Arkansas,Arkansas,Bernie Sanders
5003,Arkansas,Ashley,Hillary Clinton
5005,Arkansas,Baxter,Bernie Sanders
5007,Arkansas,Benton,Bernie Sanders
5009,Arkansas,Boone,Hillary Clinton
5011,Arkansas,Bradley,Hillary Clinton
5013,Arkansas,Calhoun,Hillary Clinton
5015,Arkansas,Carroll,Hillary Clinton
5017,Arkansas,Chicot,Hillary Clinton
5019,Arkansas,Clark,Hillary Clinton
5021,Arkansas,Clay,Bernie Sanders
5023,Arkansas,Cleburne,Hillary Clinton
5025,Arkansas,Cleveland,Bernie Sanders
5027,Arkansas,Columbia,Hillary Clinton
5029,Arkansas,Conway,Bernie Sanders
5031,Arkansas,Craighead,Hillary Clinton
5033,Arkansas,Crawford,Hillary Clinton
5035,Arkansas,Crittenden,Hillary Clinton
5037,Arkansas,Cross,Hillary Clinton
5039,Arkansas,Dallas,Bernie Sanders
5041,Arkansas,Desha,Hillary Clinton
5045,Arkansas,Faulkner,Hillary Clinton
5047,Arkansas,Franklin,Hillary Clinton
5049,Arkansas,Fulton,Hillary Clinton
5051,Arkansas,Garland,Hillary Clinton
5053,Arkansas,Grant,Hillary Clinton
5055,Arkansas,Greene,Hillary Clinton
5057,Arkansas,Hempstead,Bernie Sanders
5059,Arkansas,Hot Spring,Hillary Clinton
5061,Arkansas,Howard,Hillary Clinton
5063,Arkansas,Independence,Hillary Clinton
5065,Arkansas,Izard,Hillary Clinton
5067,Arkansas,Jackson,Hillary Clinton
5069,Arkansas,Jefferson,Hillary Clinton
5071,Arkansas,Johnson,Hillary Clinton
5073,Arkansas,Lafayette,Hillary Clinton
5075,Arkansas,Lawrence,Hillary Clinton
5077,Arkansas,Lee,Hillary Clinton
5079,Arkansas,Lincoln,Hillary Clinton
5081,Arkansas,Little River,Hillary Clinton
5083,Arkansas,Logan,Bernie Sanders
5085,Arkansas,Lonoke,Hillary Clinton
5087,Arkansas,Madison,Hillary Clinton
5089,Arkansas,Marion,Bernie Sanders
5091,Arkansas,Miller,Hillary Clinton
5093,Arkansas,Mississippi,Hillary Clinton
5097,NA,NA,Hillary Clinton
5099,Arkansas,Nevada,Bernie Sanders
5103,Arkansas,Ouachita,Hillary Clinton
5105,Arkansas,Perry,Bernie Sanders
5107,Arkansas,Phillips,Bernie Sanders
5109,Arkansas,Pike,Bernie Sanders
5111,Arkansas,Poinsett,Hillary Clinton
5113,Arkansas,Polk,Hillary Clinton
5115,Arkansas,Pope,Hillary Clinton
5117,Arkansas,Prairie,Hillary Clinton
5119,Arkansas,Pulaski,Bernie Sanders
5121,Arkansas,Randolph,Bernie Sanders
5123,Arkansas,St Francis,Bernie Sanders
5125,Arkansas,Saline,Hillary Clinton
5127,Arkansas,Scott,Hillary Clinton
5129,Arkansas,Searcy,Hillary Clinton
5131,Arkansas,Sebastian,Hillary Clinton
5133,Arkansas,Sevier,Hillary Clinton
5135,Arkansas,Sharp,Hillary Clinton
5137,Arkansas,Stone,Bernie Sanders
5139,Arkansas,Union,Bernie Sanders
5141,Arkansas,Van Buren,Hillary Clinton
5143,Arkansas,Washington,Bernie Sanders
5145,Arkansas,White,Bernie Sanders
5149,Arkansas,Yell,Bernie Sanders
6001,California,Alameda,Bernie Sanders
6003,California,Alpine,Bernie Sanders
6005,California,Amador,Hillary Clinton
6007,California,Butte,Hillary Clinton
6009,California,Calaveras,Hillary Clinton
6011,California,Colusa,Hillary Clinton
6013,California,Contra Costa,Hillary Clinton
6015,California,Del Norte,Bernie Sanders
6017,California,El Dorado,Hillary Clinton
6019,California,Fresno,Hillary Clinton
6021,California,Glenn,Hillary Clinton
6023,California,Humboldt,Bernie Sanders
6025,California,Imperial,Bernie Sanders
6027,California,Inyo,Bernie Sanders
6029,California,Kern,Hillary Clinton
6031,California,Kings,Hillary Clinton
6033,California,Lake,Hillary Clinton
6035,California,Lassen,Hillary Clinton
6037,California,Los Angeles,Hillary Clinton
6039,California,Madera,Bernie Sanders
6041,California,Marin,Hillary Clinton
6043,California,Mariposa,Bernie Sanders
6045,California,Mendocino,Hillary Clinton
6047,California,Merced,Hillary Clinton
6049,California,Modoc,Hillary Clinton
6051,California,Mono,Bernie Sanders
6053,California,Monterey,Hillary Clinton
6055,California,Napa,Hillary Clinton
6057,California,Nevada,Bernie Sanders
6059,California,Orange,Hillary Clinton
6061,California,Placer,Hillary Clinton
6063,California,Plumas,Bernie Sanders
6065,California,Riverside,Hillary Clinton
6067,California,Sacramento,Hillary Clinton
6069,California,San Benito,Bernie Sanders
6071,California,San Bernardino,Hillary Clinton
6073,California,San Diego,Hillary Clinton
6075,California,San Francisco,Hillary Clinton
6077,California,San Joaquin,Hillary Clinton
6079,California,San Luis Obispo,Bernie Sanders
6081,California,San Mateo,Hillary Clinton
6083,California,Santa Barbara,Hillary Clinton
6085,California,Santa Clara,Bernie Sanders
6087,California,Santa Cruz,Hillary Clinton
6089,California,Shasta,Hillary Clinton
6093,California,Siskiyou,Hillary Clinton
6095,California,Solano,Hillary Clinton
6097,California,Sonoma,Bernie Sanders
6099,California,Stanislaus,Hillary Clinton
6101,California,Sutter,Bernie Sanders
6103,California,Tehama,Bernie Sanders
6105,California,Trinity,Bernie Sanders
6107,California,Tulare,Hillary Clinton
6109,California,Tuolumne,Hillary Clinton
6111,California,Ventura,Hillary Clinton
6113,California,Yolo,Hillary Clinton
6115,California,Yuba,Hillary Clinton
8001,Colorado,Adams,Hillary Clinton
8003,Colorado,Alamosa,Bernie Sanders
8005,Colorado,Arapahoe,Hillary Clinton
8007,Colorado,Archuleta,Hillary Clinton
8011,Colorado,Bent,Hillary Clinton
8013,Colorado,Boulder,Bernie Sanders
8014,Colorado,Broomfield,Hillary Clinton
8015,Colorado,Chaffee,Hillary Clinton
8017,Colorado,Cheyenne,Hillary Clinton
8019,Colorado,Clear Creek,Hillary Clinton
8021,Colorado,Conejos,Bernie Sanders
8023,Colorado,Costilla,Hillary Clinton
8025,Colorado,Crowley,Hillary Clinton
8027,Colorado,Custer,Bernie Sanders
8029,Colorado,Delta,Hillary Clinton
8031,Colorado,Denver,Bernie Sanders
8035,Colorado,Douglas,Hillary Clinton
8037,Colorado,Eagle,Hillary Clinton
8039,Colorado,Elbert,Hillary Clinton
8041,Colorado,El Paso,Hillary Clinton
8043,Colorado,Fremont,Bernie Sanders
8045,Colorado,Garfield,Hillary Clinton
8047,Colorado,Gilpin,Bernie Sanders
8049,Colorado,Grand,Bernie Sanders
8051,Colorado,Gunnison,Bernie Sanders
8055,Colorado,Huerfano,Hillary Clinton
8059,Colorado,Jefferson,Bernie Sanders
8063,Colorado,Kit Carson,Hillary Clinton
8065,Colorado,Lake,Hillary Clinton
8067,Colorado,La Plata,Bernie Sanders
8069,Colorado,Larimer,Hillary Clinton
8071,Colorado,Las Animas,Bernie Sanders
8075,Colorado,Logan,Hillary Clinton
8077,Colorado,Mesa,Hillary Clinton
8079,Colorado,Mineral,Hillary Clinton
8081,Colorado,Moffat,Hillary Clinton
8083,Colorado,Montezuma,Bernie Sanders
8085,Colorado,Montrose,Hillary Clinton
8087,Colorado,Morgan,Hillary Clinton
8089,Colorado,Otero,Bernie Sanders
8091,Colorado,Ouray,Bernie Sanders
8093,Colorado,Park,Hillary Clinton
8095,Colorado,Phillips,Hillary Clinton
8097,Colorado,Pitkin,Hillary Clinton
8099,Colorado,Prowers,Hillary Clinton
8101,Colorado,Pueblo,Hillary Clinton
8105,Colorado,Rio Grande,Hillary Clinton
8107,Colorado,Routt,Bernie Sanders
8109,Colorado,Saguache,Bernie Sanders
8113,Colorado,San Miguel,Hillary Clinton
8115,Colorado,Sedgwick,Bernie Sanders
8117,Colorado,Summit,Hillary Clinton
8119,Colorado,Teller,Hillary Clinton
8121,Colorado,Washington,Bernie Sanders
8123,Colorado,Weld,Hillary Clinton
9001,Connecticut,Fairfield,Hillary Clinton
9003,Connecticut,Hartford,Hillary Clinton
9005,Connecticut,Litchfield,Hillary Clinton
9007,Connecticut,Middlesex,Hillary Clinton
9009,Connecticut,New Haven,Hillary Clinton
9011,Connecticut,New London,Hillary Clinton
9013,Connecticut,Tolland,Hillary Clinton
9015,Connecticut,Windham,Hillary Clinton
10001,Delaware,Kent,Hillary Clinton
10003,Delaware,New Castle,Hillary Clinton
10005,Delaware,Sussex,Bernie Sanders
11001,District of Columbia,District of Columbia,Hillary Clinton
12001,Florida,Alachua,Hillary Clinton
12003,Florida,Baker,Bernie Sanders
12005,Florida,Bay,Hillary Clinton
12007,Florida,Bradford,Hillary Clinton
12009,Florida,Brevard,Hillary Clinton
12011,Florida,Broward,Hillary Clinton
12013,Florida,Calhoun,Hillary Clinton
12015,Florida,Charlotte,Hillary Clinton
12017,Florida,Citrus,Hillary Clinton
12019,Florida,Clay,Bernie Sanders
12021,Florida,Collier,Hillary Clinton
12023,Florida,Columbia,Hillary Clinton
12027,Florida,De Soto,Hillary Clinton
12029,Florida,Dixie,Bernie Sanders
12031,Florida,Duval,Hillary Clinton
12033,Florida,Escambia,Hillary Clinton
12035,Florida,Flagler,Hillary Clinton
12037,Florida,Franklin,Bernie Sanders
12039,Florida,Gadsden,Hillary Clinton
12041,Florida,Gilchrist,Bernie Sanders
12043,Florida,Glades,Hillary Clinton
12045,Florida,Gulf,Bernie Sanders
12047,Florida,Hamilton,Bernie Sanders
12049,Florida,Hardee,Bernie Sanders
12051,Florida,Hendry,Hillary Clinton
12053,Florida,Hernando,Bernie Sanders
12055,Florida,Highlands,Hillary Clinton
12057,Florida,Hillsborough,Hillary Clinton
12059,Florida,Holmes,Hillary Clinton
12061,Florida,Indian River,Hillary Clinton
12063,Florida,Jackson,Hillary Clinton
12065,Florida,Jefferson,Hillary Clinton
12069,Florida,Lake,Hillary Clinton
12071,Florida,Lee,Bernie Sanders
12073,Florida,Leon,Bernie Sanders
12075,Florida,Levy,Hillary Clinton
12077,Florida,Liberty,Bernie Sanders
12079,Florida,Madison,Bernie Sanders
12081,Florida,Manatee,Bernie Sanders
12083,Florida,Marion,Hillary Clinton
12085,Florida,Martin,Hillary Clinton
12086,Florida,Miami-Dade,Hillary Clinton
12087,Florida,Monroe,Bernie Sanders
12089,Florida,Nassau,Hillary Clinton
12091,Florida,Okaloosa,Hillary Clinton
12093,Florida,Okeechobee,Hillary Clinton
12095,Florida,Orange,Hillary Clinton
12097,Florida,Osceola,Hillary Clinton
12099,Florida,Palm Beach,Hillary Clinton
12101,Florida,Pasco,Hillary Clinton
12103,Florida,Pinellas,Martin O'Malley
12105,Florida,Polk,Hillary Clinton
12107,Florida,Putnam,Hillary Clinton
12109,Florida,St Johns,Hillary Clinton
12111,Florida,St Lucie,Hillary Clinton
12113,Florida,Santa Rosa,Hillary Clinton
12115,Florida,Sarasota,Hillary Clinton
12117,Florida,Seminole,Hillary Clinton
12119,Florida,Sumter,Bernie Sanders
12121,Florida,Suwannee,Hillary Clinton
12123,Florida,Taylor,Hillary Clinton
12125,Florida,Union,Hillary Clinton
12127,Florida,Volusia,Hillary Clinton
12129,Florida,Wakulla,Hillary Clinton
12131,Florida,Walton,Hillary Clinton
12133,Florida,Washington,Hillary Clinton
13001,Georgia,Appling,Hillary Clinton
13003,Georgia,Atkinson,Hillary Clinton
13005,Georgia,Bacon,Hillary Clinton
13007,Georgia,Baker,Bernie Sanders
13009,Georgia,Baldwin,Hillary Clinton
13011,Georgia,Banks,Hillary Clinton
13013,Georgia,Barrow,Hillary Clinton
13015,Georgia,Bartow,Hillary Clinton
13019,Georgia,Berrien,Hillary Clinton
13021,Georgia,Bibb,Hillary Clinton
13023,Georgia,Bleckley,Hillary Clinton
13025,Georgia,Brantley,Hillary Clinton
13027,Georgia,Brooks,Hillary Clinton
13029,Georgia,Bryan,Hillary Clinton
13031,Georgia,Bulloch,Hillary Clinton
13033,Georgia,Burke,Hillary Clinton
13035,Georgia,Butts,Hillary Clinton
13037,Georgia,Calhoun,Hillary Clinton
13039,Georgia,Camden,Bernie Sanders
13043,Georgia,Candler,Hillary Clinton
13045,Georgia,Carroll,Hillary Clinton
13047,Georgia,Catoosa,Hillary Clinton
13049,Georgia,Charlton,Bernie Sanders
13051,Georgia,Chatham,Bernie Sanders
13053,Georgia,Chattahoochee,Bernie Sanders
13055,Georgia,Chattooga,Hillary Clinton
13057,Georgia,Cherokee,Hillary Clinton
13059,Georgia,Clarke,Bernie Sanders
13063,Georgia,Clayton,Bernie Sanders
13065,Georgia,Clinch,Bernie Sanders
13067,Georgia,Cobb,Hillary Clinton
13069,Georgia,Coffee,Hillary Clinton
13071,Georgia,Colquitt,Hillary Clinton
13073,Georgia,Columbia,Hillary Clinton
13075,Georgia,Cook,Bernie Sanders
13077,Georgia,Coweta,Hillary Clinton
13079,Georgia,Crawford,Hillary Clinton
13081,Georgia,Crisp,Hillary Clinton
13083,Georgia,Dade,Hillary Clinton
13085,Georgia,Dawson,Hillary Clinton
13087,Georgia,Decatur,Hillary Clinton
13089,Georgia,De Kalb,Hillary Clinton
13091,Georgia,Dodge,Bernie Sanders
13093,Georgia,Dooly,Hillary Clinton
13095,Georgia,Dougherty,Hillary Clinton
13097,Georgia,Douglas,Hillary Clinton
13103,Georgia,Effingham,Hillary Clinton
13105,Georgia,Elbert,Hillary Clinton
13107,Georgia,Emanuel,Hillary Clinton
13109,Georgia,Evans,Bernie Sanders
13111,Georgia,Fannin,Hillary Clinton
13113,Georgia,Fayette,Hillary Clinton
13115,Georgia,Floyd,Hillary Clinton
13117,Georgia,Forsyth,Hillary Clinton
13119,Georgia,Franklin,Hillary Clinton
13121,Georgia,Fulton,Hillary Clinton
13123,Georgia,Gilmer,Hillary Clinton
13127,Georgia,Glynn,Hillary Clinton
13129,Georgia,Gordon,Hillary Clinton
13131,Georgia,Grady,Hillary Clinton
13133,Georgia,Greene,Hillary Clinton
13135,Georgia,Gwinnett,Hillary Clinton
13137,Georgia,Habersham,Hillary Clinton
13139,Georgia,Hall,Hillary Clinton
13143,Georgia,Haralson,Hillary Clinton
13145,Georgia,Harris,Hillary Clinton
13147,Georgia,Hart,Hillary Clinton
13149,Georgia,Heard,Bernie Sanders
13151,Georgia,Henry,Hillary Clinton
13153,Georgia,Houston,Hillary Clinton
13155,Georgia,Irwin,Bernie Sanders
13157,Georgia,Jackson,Hillary Clinton
13159,Georgia,Jasper,Hillary Clinton
13161,Georgia,Jeff Davis,Hillary Clinton
13163,Georgia,Jefferson,Bernie Sanders
13165,Georgia,Jenkins,Hillary Clinton
13167,Georgia,Johnson,Bernie Sanders
13171,Georgia,Lamar,Hillary Clinton
13173,Georgia,Lanier,Hillary Clinton
13175,Georgia,Laurens,Hillary Clinton
13179,Georgia,Liberty,Hillary Clinton
13181,Georgia,Lincoln,Hillary Clinton
13183,Georgia,Long,Bernie Sanders
13185,Georgia,Lowndes,Bernie Sanders
13187,Georgia,Lumpkin,Hillary Clinton
13189,Georgia,McDuffie,Bernie Sanders
13191,Georgia,McIntosh,Hillary Clinton
