"Most Searched Candidate during the GOP Debate, 2/6/16",
State,Candidate
California ,Donald Trump
Texas ,Donald Trump
New York ,Donald Trump
Florida ,Donald Trump
Illinois ,Donald Trump
Pennsylvania ,Donald Trump
Michigan ,Donald Trump
New Jersey ,Donald Trump
Georgia ,Donald Trump
Washington ,Donald Trump
Massachusetts ,Donald Trump
North Carolina ,Donald Trump
Ohio ,Donald Trump
Iowa ,Donald Trump
Colorado ,Donald Trump
Tennessee ,Donald Trump
Arizona ,Donald Trump
Indiana ,Donald Trump
Virginia ,Donald Trump
Missouri ,Donald Trump
Alabama ,Donald Trump
New Hampshire ,Marco Rubio
Nevada ,Donald Trump
Oregon ,Donald Trump
District of Columbia ,Donald Trump
Minnesota ,Donald Trump
Louisiana ,Donald Trump
South Carolina ,Donald Trump
Wisconsin ,Donald Trump
Connecticut ,Donald Trump
Kentucky ,Donald Trump
Utah ,Donald Trump
Arkansas ,Donald Trump
Delaware ,Donald Trump
Kansas ,Donald Trump
Maryland ,Donald Trump
Maine ,Donald Trump
Mississippi ,Donald Trump
Montana ,Donald Trump
Nebraska ,Donald Trump
Oklahoma ,Donald Trump
Idaho ,Donald Trump
Hawaii ,Donald Trump
New Mexico ,Donald Trump
Alaska ,Donald Trump
North Dakota ,Marco Rubio
Vermont ,Donald Trump
West Virginia ,Donald Trump
Rhode Island ,Donald Trump
South Dakota ,Donald Trump
Wyoming ,Donald Trump
