"Search interest in Chernobyl in the past week. All values indexed to 100, where 100 is the max search interest.",,
Country,Search Value,Rank
Christmas Island,100,1
Moldova,65,2
Ukraine,65,3
Aland Islands,63,4
Estonia,62,5
Belarus,56,6
Slovakia,53,7
Czech Republic,52,8
Finland,52,9
Slovenia,50,10
Latvia,45,11
Bulgaria,45,12
Austria,44,13
Italy,41,14
Hungary,38,15
Falkland Islands (Islas Malvinas),36,16
Luxembourg,35,17
Sweden,31,18
Germany,30,19
San Marino,29,20
Switzerland,26,21
Faroe Islands,25,22
France,24,23
Norway,23,24
Spain,23,25
Belgium,22,26
Ireland,21,27
Netherlands,21,28
Liechtenstein,21,29
Lithuania,21,30
Puerto Rico,21,31
China,21,32
Russia,20,33
Andorra,20,34
Iceland,20,35
Cuba,19,36
Malta,19,37
Argentina,18,38
Uruguay,18,39
Croatia,17,40
Bosnia and Herzegovina,17,41
Svalbard and Jan Mayen,17,42
Paraguay,17,43
Macau,17,44
Costa Rica,16,45
Romania,16,46
Hong Kong,16,47
Greenland,16,48
Brazil,16,49
Denmark,16,50
Jersey,15,51
New Caledonia,14,52
Colombia,14,53
Guernsey,14,54
Saint Martin,14,55
Monaco,13,56
Mexico,13,57
United Kingdom,13,58
Bolivia,13,59
Isle of Man,12,60
Poland,12,61
Macedonia (FYROM),12,62
El Salvador,12,63
Kazakhstan,12,64
Northern Mariana Islands,12,65
Guadeloupe,11,66
Kyrgyzstan,11,67
United States,11,68
Cyprus,11,69
American Samoa,11,70
Gibraltar,10,71
Solomon Islands,10,72
Greece,10,73
Montenegro,10,74
Portugal,10,75
Turkmenistan,10,76
Canada,10,77
French Polynesia,10,78
New Zealand,10,79
Serbia,10,80
Mayotte,9,81
Panama,9,82
French Guiana,9,83
Martinique,9,84
Belize,9,85
Cayman Islands,9,86
Chile,8,87
Honduras,8,88
Bermuda,8,89
Reunion,8,90
Azerbaijan,8,91
Equatorial Guinea,8,92
Tajikistan,8,93
Saint Helena,8,94
Uzbekistan,7,95
Australia,7,96
Turkey,7,97
Guinea-Bissau,7,98
Japan,7,99
Singapore,7,100
Trinidad and Tobago,7,101
Angola,7,102
Georgia,7,103
South Africa,7,104
Taiwan,7,105
Ecuador,7,106
Peru,7,107
Guam,6,108
Caribbean Netherlands,6,109
Barbados,6,110
Guatemala,6,111
Nicaragua,6,112
Saint Vincent and the Grenadines,6,113
Mauritius,6,114
Venezuela,6,115
Saint Pierre and Miquelon,6,116
Lebanon,6,117
Mongolia,6,118
Seychelles,6,119
Brunei Darussalam,6,120
Democratic Republic of the Congo,5,121
Djibouti,5,122
Madagascar,5,123
Sint Maarten,5,124
Samoa,5,125
South Sudan,5,126
Curaçao,5,127
Turks and Caicos Islands,5,128
U.S. Virgin Islands,5,129
United Arab Emirates,5,130
Israel,5,131
Saint Barthélemy,5,132
São Tomé and Príncipe,5,133
Aruba,5,134
Western Sahara,4,135
Qatar,4,136
Antigua and Barbuda,4,137
Saint Lucia,4,138
South Korea,4,139
Kosovo,4,140
Albania,4,141
Namibia,4,142
Gabon,4,143
Dominican Republic,4,144
Philippines,4,145
Cameroon,4,146
Maldives,4,147
Comoros,4,148
Chad,4,149
Mozambique,3,150
Anguilla,3,151
Afghanistan,3,152
Grenada,3,153
Botswana,3,154
Rwanda,3,155
Kenya,3,156
Uganda,3,157
Bahrain,3,158
Zimbabwe,3,159
Haiti,3,160
Somalia,3,161
Malaysia,3,162
Zambia,3,163
Nepal,3,164
Guyana,3,165
Armenia,3,166
Suriname,3,167
The Bahamas,3,168
Cambodia,3,169
Burkina Faso,2,170
Côte d'Ivoire,2,171
Vanuatu,2,172
Senegal,2,173
Benin,2,174
Laos,2,175
Tunisia,2,176
Oman,2,177
Congo,2,178
Niger,2,179
Burundi,2,180
Jamaica,2,181
Ghana,2,182
Kuwait,2,183
Sri Lanka,2,184
Cape Verde,2,185
Iran,2,186
Bhutan,2,187
Togo,2,188
Myanmar (Burma),2,189
Fiji,2,190
Mali,2,191
Indonesia,2,192
Lesotho,2,193
Morocco,2,194
Liberia,1,195
Nigeria,1,196
Algeria,1,197
Palestine,1,198
Papua New Guinea,1,199
Dominica,1,200
Guinea,1,201
Malawi,1,202
Bangladesh,1,203
Thailand,1,204
Tanzania,1,205
Jordan,1,206
India,1,207
Ethiopia,1,208
Pakistan,1,209
Saudi Arabia,1,210
Sierra Leone,1,211
Vietnam,1,212
Libya,1,213
Syria,1,214
Swaziland,1,215
Mauritania,1,216
Timor-Leste,1,217
The Gambia,1,218
Egypt,1,219
Iraq,1,220
Sudan,0,221
Yemen,0,222
