Country,Interest,Rank
Brazil,100,1
Japan,95,2
Hungary,85,3
Isle of Man,84,4
Cape Verde,80,5
Latvia,79,6
Iran,79,7
Cuba,78,8
Barbados,72,9
The Bahamas,70,10
Australia,58,11
Lithuania,57,12
Hong Kong,56,13
Bolivia,55,14
Trinidad and Tobago,54,15
Sweden,53,16
Fiji,52,17
Colombia,49,18
United Kingdom,49,19
Argentina,49,20
Denmark,49,21
Jamaica,47,22
China,47,23
Macau,47,24
New Zealand,44,25
Uruguay,44,26
Ireland,44,27
Puerto Rico,43,28
Mauritius,42,29
United States,40,30
Spain,40,31
Canada,40,32
Netherlands,40,33
Czech Republic,40,34
Malta,38,35
Panama,38,36
Finland,37,37
Italy,37,38
Greece,36,39
Afghanistan,35,40
Iraq,35,41
Montenegro,34,42
Belgium,34,43
South Korea,33,44
Slovenia,32,45
Peru,32,46
Iceland,32,47
Cyprus,31,48
Angola,31,49
Switzerland,31,50
Qatar,31,51
Estonia,31,52
Haiti,29,53
Luxembourg,29,54
Germany,29,55
Saint Helena,29,56
Bahrain,28,57
Portugal,28,58
Mongolia,28,59
Dominican Republic,28,60
Libya,28,61
Congo,27,62
France,27,63
Singapore,27,64
Taiwan,26,65
Croatia,26,66
Mexico,25,67
Zimbabwe,25,68
Guatemala,24,69
Honduras,24,70
Moldova,24,71
United Arab Emirates,24,72
Nigeria,24,73
Lebanon,24,74
Israel,23,75
Venezuela,23,76
Norway,23,77
Paraguay,23,78
Syria,23,79
Jordan,23,80
Uzbekistan,22,81
Austria,21,82
South Africa,21,83
Costa Rica,21,84
Reunion,21,85
Chile,20,86
Nicaragua,20,87
Morocco,20,88
Sudan,19,89
Albania,19,90
Tunisia,19,91
Côte d'Ivoire,18,92
Philippines,18,93
Slovakia,18,94
Poland,18,95
Cameroon,18,96
Malaysia,18,97
India,17,98
Bosnia and Herzegovina,17,99
Kuwait,17,100
Indonesia,17,101
Turkey,17,102
Algeria,17,103
Serbia,16,104
Kenya,16,105
Oman,16,106
Russia,16,107
Ghana,16,108
Sri Lanka,15,109
Senegal,15,110
Mozambique,15,111
Yemen,14,112
Kyrgyzstan,14,113
Georgia,14,114
El Salvador,14,115
Cambodia,14,116
Ecuador,14,117
Ethiopia,13,118
Macedonia (FYROM),13,119
Romania,12,120
Thailand,12,121
Uganda,11,122
Nepal,11,123
Armenia,11,124
Saudi Arabia,11,125
Belarus,11,126
Ukraine,11,127
Egypt,10,128
Bulgaria,10,129
Kazakhstan,10,130
Azerbaijan,8,131
Pakistan,8,132
Bangladesh,7,133
Vietnam,4,134
