,Alabama [us-al],Alaska [us-ak],Arizona [us-az],Arkansas [us-ar],California [us-ca],Colorado [us-co],Connecticut [us-ct],Delaware [us-de],District of Columbia [us-dc],Florida [us-fl],Georgia [us-ga],Hawaii [us-hi],Idaho [us-id],Illinois [us-il],Indiana [us-in],Iowa [us-ia],Kansas [us-ks],Kentucky [us-ky],Louisiana [us-la],Maine [us-me],Maryland [us-md],Massachusetts [us-ma],Michigan [us-mi],Minnesota [us-mn],Mississippi [us-ms],Missouri [us-mo],Montana [us-mt],Nebraska [us-ne],Nevada [us-nv],New Hampshire [us-nh],New Jersey [us-nj],New Mexico [us-nm],New York [us-ny],North Carolina [us-nc],North Dakota [us-nd],Ohio [us-oh],Oklahoma [us-ok],Oregon [us-or],Pennsylvania [us-pa],Rhode Island [us-ri],South Carolina [us-sc],South Dakota [us-sd],Tennessee [us-tn],Texas [us-tx],Utah [us-ut],Vermont [us-vt],Virginia [us-va],Washington [us-wa],West Virginia [us-wv],Wisconsin [us-wi],Wyoming [us-wy]
"Values show search interest per month in yoga and have been indexed to 100, where 100 is the maximum value. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01,20,23,21,24,32,33,27,47,32,21,21,36,21,25,24,14,20,17,20,29,26,41,19,26,16,19,44,15,20,45,27,33,35,23,52,19,22,34,19,44,24,25,21,24,26,42,22,30,23,18,0
2004-02,8,26,25,16,27,30,26,28,36,17,20,24,22,23,14,16,12,19,15,29,23,33,18,22,20,18,26,21,25,20,22,25,28,22,45,16,19,30,18,26,19,22,18,16,20,39,16,29,17,17,37
2004-03,10,26,22,26,28,29,30,51,29,17,20,36,21,25,17,18,13,18,17,26,22,32,17,21,18,15,41,16,24,22,23,26,29,20,45,15,12,28,20,27,18,21,16,17,10,41,19,27,27,20,35
2004-04,15,34,24,18,25,27,22,27,29,19,15,30,18,17,14,19,19,12,20,21,17,31,15,17,18,12,25,16,17,26,20,18,26,18,45,13,11,22,19,31,14,21,21,16,20,37,17,25,26,17,37
2004-05,15,14,24,11,25,24,25,20,24,20,16,39,14,17,9,14,15,15,14,25,21,27,15,22,13,15,24,14,25,23,22,21,28,16,45,16,17,25,16,26,11,28,15,17,19,31,18,25,21,18,35
2004-06,12,21,23,14,27,27,26,22,26,18,18,44,17,20,18,17,18,17,16,22,23,29,17,18,18,20,21,15,23,27,21,32,28,22,45,16,17,27,20,33,19,28,16,17,16,34,22,27,28,19,35
2004-07,13,17,25,15,28,30,22,34,28,18,20,29,19,20,19,15,19,15,13,32,29,36,16,18,12,16,21,17,15,20,23,25,31,22,28,14,15,30,19,34,19,29,19,19,21,32,21,28,23,18,34
2004-08,11,17,20,15,28,27,27,26,31,17,19,31,26,21,17,14,17,20,16,30,21,36,17,18,12,21,22,19,24,28,22,31,31,20,31,14,11,24,18,23,18,29,13,17,18,35,23,27,32,17,26
2004-09,10,23,20,10,26,25,24,18,25,16,17,32,21,19,18,13,15,15,14,25,21,32,18,17,13,15,22,13,20,21,23,19,30,21,33,13,13,27,18,37,14,28,13,15,25,28,20,26,41,15,23
2004-10,13,23,22,18,25,30,19,35,20,16,18,36,15,16,13,19,15,12,12,26,24,29,16,15,15,15,35,15,14,22,20,14,26,17,20,13,11,28,16,32,16,28,18,15,20,49,15,25,14,20,23
2004-11,15,19,26,16,25,26,24,25,23,15,16,37,26,18,14,15,13,18,12,22,22,26,16,18,11,17,27,16,23,28,21,26,28,17,21,17,9,25,18,32,16,28,17,13,20,39,16,25,14,15,32
2004-12,9,24,19,21,25,29,25,23,23,16,17,34,24,18,16,18,15,12,14,26,21,32,15,21,16,15,23,12,22,28,20,23,27,18,19,15,13,24,17,30,13,28,18,13,21,34,16,24,14,16,25
2005-01,12,19,29,25,30,32,32,37,28,19,23,43,23,20,17,20,19,15,19,36,27,36,22,20,21,19,29,16,26,35,22,36,32,24,17,18,15,24,20,39,20,21,21,17,20,49,23,27,21,24,35
2005-02,12,12,20,19,27,28,23,19,26,16,17,28,18,20,20,18,15,15,16,29,16,31,19,20,16,15,21,12,26,34,23,26,28,20,21,17,18,28,18,32,17,16,16,16,21,35,20,26,22,15,29
2005-03,13,20,21,16,26,29,31,17,28,16,17,27,12,19,17,17,16,15,16,31,21,29,15,17,12,15,16,13,14,37,22,34,30,15,16,16,12,27,19,30,17,14,17,16,19,44,20,25,21,19,32
2005-04,13,21,18,10,25,30,20,29,23,15,14,39,21,17,18,14,11,18,16,23,20,25,16,19,15,16,13,12,16,36,17,25,26,16,28,13,9,23,17,36,15,14,14,14,19,25,18,26,25,19,25
2005-05,20,20,22,17,24,23,23,27,23,16,14,37,16,16,17,13,11,17,13,19,20,26,15,18,9,15,41,12,21,24,20,20,26,20,16,13,13,24,17,21,16,14,15,15,16,30,18,23,11,17,20
2005-06,9,24,23,19,27,30,21,19,24,16,17,38,26,19,15,20,18,10,18,25,19,29,16,18,17,16,19,12,22,29,21,24,26,21,19,14,14,21,18,20,14,19,14,18,19,31,18,24,14,19,19
2005-07,19,35,25,15,26,30,26,33,27,17,20,50,24,20,17,20,18,21,21,28,24,33,17,21,14,20,22,11,31,34,23,22,29,21,20,16,19,36,17,38,15,18,18,17,22,27,19,27,20,21,29
2005-08,9,20,27,14,26,33,30,30,31,17,19,54,29,20,18,16,24,16,22,31,30,37,20,21,14,21,31,19,22,32,24,33,32,24,20,15,13,29,21,43,19,16,21,17,24,29,20,26,15,21,35
2005-09,12,23,22,11,25,30,28,26,31,17,15,39,25,17,22,23,13,18,10,29,21,32,18,19,18,18,32,11,25,39,21,21,28,22,20,15,16,27,19,36,20,16,17,14,20,38,18,27,16,18,25
2005-10,9,28,21,11,25,26,26,27,21,15,16,27,17,17,17,12,12,12,16,24,20,29,13,19,15,14,25,12,17,27,21,20,25,17,33,13,12,26,16,27,16,16,13,15,20,39,17,22,13,16,21
2005-11,12,26,20,16,24,33,25,22,24,17,17,29,24,20,14,20,16,15,14,30,19,32,16,18,13,15,29,23,26,26,19,36,25,18,15,16,12,29,17,44,17,27,19,15,19,46,19,26,19,19,28
2005-12,13,28,22,12,24,29,27,30,28,16,15,32,25,19,19,21,18,15,21,35,22,29,15,22,11,17,26,19,24,36,20,18,24,17,19,14,20,29,17,29,17,15,14,16,24,43,19,29,11,19,28
2006-01,21,26,27,19,30,41,31,31,32,18,22,44,24,22,21,18,25,22,23,37,26,38,22,22,20,21,38,19,27,33,25,36,33,25,25,20,20,33,23,44,19,17,25,19,26,61,24,31,18,25,32
2006-02,19,23,22,21,24,31,30,28,28,16,18,36,23,19,16,17,17,11,20,32,25,34,17,19,18,17,23,23,21,34,22,38,27,19,13,15,14,26,18,41,15,20,16,16,25,51,21,26,17,19,24
2006-03,14,19,21,11,25,32,29,25,27,17,17,34,28,18,15,20,16,11,17,29,21,29,18,20,18,18,25,16,24,32,18,29,26,20,13,14,13,27,18,30,16,14,15,17,22,44,21,27,12,20,26
2006-04,12,17,21,14,25,29,23,16,26,15,15,43,22,20,17,14,18,18,18,25,22,29,16,17,14,15,29,19,28,32,19,29,26,17,12,16,15,26,16,31,17,24,14,16,22,35,20,28,15,16,29
2006-05,17,22,20,9,24,29,29,25,24,16,16,33,21,19,15,11,15,11,16,27,22,27,18,18,14,15,17,15,23,32,19,34,25,20,15,14,14,24,17,28,16,13,15,15,21,37,17,25,13,20,19
2006-06,16,18,21,11,26,32,28,35,24,19,18,38,19,20,19,15,19,18,16,26,21,29,17,20,17,17,27,14,19,32,20,31,27,20,18,16,17,27,20,31,17,15,15,16,25,49,18,23,20,17,24
2006-07,16,21,24,17,26,31,30,28,29,18,16,36,21,20,15,22,23,18,18,27,22,30,19,19,11,19,26,14,22,32,22,32,28,21,20,18,19,25,18,34,21,11,14,18,19,44,18,24,14,19,23
2006-08,10,26,23,16,27,31,26,29,30,17,18,35,21,21,14,15,19,16,17,30,25,31,18,17,15,18,27,15,21,38,21,29,27,21,13,14,16,25,19,31,19,13,15,17,22,49,18,26,12,18,17
2006-09,14,27,20,17,24,30,24,29,28,17,17,36,15,19,12,13,17,15,17,35,19,31,17,18,13,12,27,14,21,29,21,28,27,16,17,14,15,26,18,27,14,13,13,15,20,43,19,26,20,17,21
2006-10,9,16,20,18,24,29,21,31,24,14,13,33,20,17,12,14,14,9,10,32,21,26,15,16,10,14,24,12,19,27,19,22,24,17,15,13,10,24,15,28,15,12,14,14,19,36,16,25,11,16,21
2006-11,10,21,19,10,23,28,20,18,22,13,13,28,20,17,11,10,16,12,12,24,19,28,16,18,14,16,24,11,15,22,18,26,24,16,29,13,10,22,15,25,15,11,14,13,16,45,18,25,16,13,21
2006-12,8,16,17,13,23,26,21,21,24,15,14,35,16,17,12,16,13,12,14,28,19,26,15,19,13,13,21,13,15,26,17,25,24,16,21,14,10,21,15,30,12,13,11,14,16,37,17,23,11,16,22
2007-01,16,27,21,13,29,35,29,19,27,18,17,38,23,22,16,19,17,15,14,29,24,36,20,20,15,16,32,18,19,29,22,35,30,21,14,16,16,28,20,34,14,12,18,17,22,45,21,27,15,23,27
2007-02,10,20,18,18,25,28,23,23,25,17,15,26,21,18,12,14,16,13,11,23,21,28,17,17,17,14,17,12,18,26,19,26,25,16,14,13,12,24,17,27,14,9,14,15,21,46,17,24,12,17,22
2007-03,6,19,15,14,23,27,20,20,23,15,14,32,16,17,11,12,16,11,11,27,21,29,15,17,14,15,29,14,17,26,18,25,25,17,16,14,10,23,17,26,14,10,14,15,19,42,17,25,15,17,26
2007-04,9,19,21,10,25,26,22,15,22,15,13,31,23,17,12,12,15,11,11,25,19,27,15,15,17,14,19,13,15,25,19,24,24,16,11,13,13,22,17,24,15,10,12,14,20,29,17,22,15,16,21
2007-05,9,17,21,14,23,26,20,14,25,15,13,32,14,17,11,13,16,13,12,21,18,27,16,18,10,13,19,10,15,26,19,27,25,16,15,12,13,21,16,24,14,10,12,14,16,43,17,23,14,17,22
2007-06,13,21,22,9,25,26,23,18,27,17,16,36,15,18,13,14,14,12,15,26,22,28,16,17,16,13,22,12,17,31,20,29,26,17,15,14,12,24,16,26,18,11,15,16,23,33,19,25,15,17,19
2007-07,12,24,21,12,25,27,25,29,24,17,15,33,22,19,15,16,17,15,18,24,22,32,16,17,17,14,34,15,20,29,21,30,26,17,8,14,13,23,19,32,17,6,14,16,19,54,19,27,14,17,21
2007-08,13,22,23,15,24,33,28,38,27,17,15,45,18,19,14,13,18,14,17,47,24,31,17,20,21,15,46,17,26,32,22,27,27,20,17,14,21,27,19,32,18,12,15,16,23,51,20,26,15,18,21
2007-09,13,30,21,17,23,30,29,36,26,17,15,42,22,20,15,13,18,15,20,37,22,31,19,22,17,15,32,20,18,41,22,29,27,19,13,13,12,28,18,44,17,15,17,16,25,68,21,27,19,17,26
2007-10,15,31,23,15,22,31,25,25,25,16,13,41,26,18,16,18,16,13,19,37,23,29,17,23,17,16,34,13,23,39,20,29,25,16,14,13,11,27,17,40,16,16,14,15,23,55,18,24,20,19,27
2007-11,10,24,19,12,22,28,26,24,23,15,13,30,20,18,14,13,13,13,12,29,18,28,17,20,13,13,30,16,18,25,21,25,25,16,16,13,14,24,17,31,15,12,16,16,19,38,19,26,12,18,13
2007-12,10,26,20,14,21,30,24,26,22,16,14,30,18,18,13,12,14,11,13,27,20,30,15,17,16,15,27,15,15,26,19,15,24,18,9,13,13,24,17,24,17,13,13,15,20,38,18,25,8,15,21
2008-01,12,23,26,13,26,34,32,35,27,19,17,37,22,21,18,17,18,16,16,38,25,38,20,23,19,20,32,18,20,37,24,32,31,22,13,17,18,28,21,39,20,16,17,19,22,53,22,30,23,20,33
2008-02,12,26,24,11,23,28,24,22,25,18,15,36,16,19,17,16,13,14,14,30,18,32,18,19,13,18,25,13,22,31,22,20,27,19,12,15,10,25,19,37,16,11,16,17,21,49,20,26,15,17,25
2008-03,11,28,22,13,22,29,23,24,25,17,15,34,14,19,14,14,16,13,12,28,19,29,17,20,15,15,27,11,20,30,21,24,27,16,13,15,11,26,18,29,15,14,15,16,21,52,18,26,15,16,30
2008-04,10,23,21,12,23,27,21,28,25,17,16,33,24,18,14,14,13,14,13,20,22,29,16,18,12,14,32,14,22,32,20,28,25,17,13,15,11,25,17,29,15,10,14,16,21,35,17,27,9,15,21
2008-05,9,17,21,13,22,27,23,16,24,17,13,35,18,17,13,12,13,13,12,25,21,30,16,18,13,15,23,14,20,24,21,20,25,16,12,13,13,21,16,26,12,10,13,16,19,38,17,24,12,15,24
2008-06,12,20,24,12,23,26,23,28,23,17,14,35,20,18,15,14,14,11,14,25,19,28,16,19,19,16,32,13,20,26,22,27,27,17,15,15,15,23,17,31,14,15,14,18,24,42,18,26,14,17,23
2008-07,10,21,25,14,23,28,25,27,24,17,15,32,19,19,15,15,15,14,15,26,20,31,16,19,15,16,23,17,21,28,21,29,27,18,12,15,15,25,18,32,16,18,14,17,18,36,18,25,20,16,21
2008-08,10,23,21,12,23,27,25,23,24,16,16,31,17,20,12,10,13,12,14,30,21,31,17,19,13,15,20,10,17,29,20,24,26,18,15,13,12,24,18,29,14,7,14,17,19,35,17,24,15,17,23
2008-09,10,27,21,10,21,27,26,21,22,16,13,33,20,18,15,11,13,12,10,30,20,31,16,19,16,16,34,14,18,30,19,20,25,17,19,14,11,23,17,26,15,11,15,16,20,46,16,25,14,18,17
2008-10,9,22,19,12,20,26,20,16,20,15,13,33,22,17,12,11,13,11,11,26,18,26,15,17,14,13,28,14,17,25,17,16,23,14,18,13,11,25,16,27,13,15,14,15,20,35,15,23,14,17,30
2008-11,10,23,19,9,20,25,25,19,22,15,13,27,15,18,13,12,11,12,12,21,18,27,14,17,11,14,24,16,15,26,19,20,22,16,9,13,12,23,16,28,11,9,11,14,18,41,16,23,19,18,28
2008-12,12,20,20,8,20,28,24,18,22,16,14,29,20,17,14,12,11,13,12,27,20,27,17,17,10,14,27,15,19,24,21,31,24,17,12,14,12,22,17,27,14,11,14,15,21,44,16,22,16,16,27
2009-01,13,19,26,14,25,30,29,23,27,18,17,30,22,22,17,18,17,19,15,40,24,36,20,22,14,20,31,15,21,33,25,29,31,21,19,16,19,31,22,35,18,16,18,20,24,49,19,30,15,19,30
2009-02,10,25,22,15,22,28,27,30,23,18,16,34,19,20,16,16,14,14,13,26,21,34,18,21,16,14,29,19,22,31,22,26,27,18,12,15,14,28,18,32,16,10,16,18,22,41,17,28,16,20,18
2009-03,11,21,22,10,22,27,26,20,23,17,15,41,17,22,15,14,14,13,15,27,20,30,18,19,13,16,28,14,21,28,22,23,27,19,14,14,12,27,18,30,15,13,14,17,20,50,16,26,10,18,31
2009-04,9,22,22,13,21,26,22,21,26,16,15,34,19,19,13,14,13,15,12,26,22,28,17,20,15,15,25,14,18,27,20,25,26,17,13,15,10,23,17,24,15,10,15,17,20,36,16,23,10,17,28
2009-05,10,17,21,15,21,25,24,23,25,16,13,29,14,19,13,13,11,13,14,25,20,29,15,18,13,15,24,12,18,28,21,29,26,16,15,13,10,25,17,23,16,11,14,17,18,34,15,23,13,16,26
2009-06,12,20,25,13,22,26,25,20,23,18,15,41,17,20,16,14,14,14,13,28,23,32,17,18,14,16,29,14,20,27,21,26,27,18,13,16,15,24,19,26,18,13,14,18,20,41,15,23,18,17,18
2009-07,12,25,25,14,22,27,27,30,23,18,15,35,17,20,16,15,14,13,15,28,23,32,17,19,14,17,25,19,19,30,22,24,27,19,10,15,14,27,19,29,14,10,16,18,21,44,16,24,18,18,23
2009-08,10,26,22,11,22,29,24,24,25,16,14,33,19,21,18,15,13,14,13,29,21,32,17,17,14,14,25,17,20,32,23,25,28,18,17,16,13,26,19,29,14,12,13,16,22,40,18,26,11,18,24
2009-09,11,27,23,10,21,27,26,15,23,16,15,33,20,20,16,12,13,14,11,28,22,31,16,20,15,14,20,16,23,35,23,21,26,19,16,15,13,27,18,29,14,11,15,18,20,39,16,26,10,17,25
2009-10,13,29,21,13,19,27,26,29,23,15,14,39,27,18,15,16,17,16,14,32,20,29,17,21,20,16,35,14,21,32,19,34,24,17,18,13,14,28,16,32,16,12,14,15,21,53,15,24,16,18,28
2009-11,12,40,21,16,20,27,27,26,22,15,14,41,19,18,14,17,15,14,15,30,21,29,17,21,19,16,35,16,20,41,19,34,23,15,19,15,15,27,17,42,17,20,15,16,25,29,18,25,21,20,28
2009-12,11,35,21,15,20,29,28,40,23,13,14,40,27,18,18,20,16,15,13,33,22,26,17,19,17,15,38,14,22,42,20,33,23,16,20,15,14,27,17,35,16,16,12,15,23,23,18,25,23,20,28
2010-01,16,38,28,23,24,36,36,43,29,20,19,45,31,27,21,24,21,22,19,45,29,38,22,27,21,22,48,21,28,57,28,39,31,23,24,19,20,32,23,52,22,19,19,22,32,33,20,33,31,25,47
2010-02,13,39,26,14,21,33,35,33,26,18,17,44,27,22,20,20,19,19,17,38,23,32,21,22,23,17,45,25,24,43,23,33,28,19,19,18,17,30,20,50,21,18,16,19,28,27,16,27,27,23,26
