,Alabama [us-al],Alaska [us-ak],Arizona [us-az],Arkansas [us-ar],California [us-ca],Colorado [us-co],Connecticut [us-ct],Delaware [us-de],District of Columbia [us-dc],Florida [us-fl],Georgia [us-ga],Hawaii [us-hi],Idaho [us-id],Illinois [us-il],Indiana [us-in],Iowa [us-ia],Kansas [us-ks],Kentucky [us-ky],Louisiana [us-la],Maine [us-me],Maryland [us-md],Massachusetts [us-ma],Michigan [us-mi],Minnesota [us-mn],Mississippi [us-ms],Missouri [us-mo],Montana [us-mt],Nebraska [us-ne],Nevada [us-nv],New Hampshire [us-nh],New Jersey [us-nj],New Mexico [us-nm],New York [us-ny],North Carolina [us-nc],North Dakota [us-nd],Ohio [us-oh],Oklahoma [us-ok],Oregon [us-or],Pennsylvania [us-pa],Rhode Island [us-ri],South Carolina [us-sc],South Dakota [us-sd],Tennessee [us-tn],Texas [us-tx],Utah [us-ut],Vermont [us-vt],Virginia [us-va],Washington [us-wa],West Virginia [us-wv],Wisconsin [us-wi],Wyoming [us-wy]
"Values show search interest per year in yoga and have been indexed to 100, where 100 is the maximum value. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,14,30,27,19,37,37,32,41,34,24,23,42,30,26,20,21,18,20,19,38,30,41,22,26,18,21,35,19,28,35,30,33,39,26,19,20,18,35,25,41,21,18,21,23,24,56,25,35,21,22,31
2005,16,33,28,18,36,38,32,32,33,23,22,44,29,25,21,21,19,17,20,36,27,39,22,24,16,20,33,18,27,36,28,34,38,25,17,19,18,34,24,39,21,16,20,22,25,46,26,33,19,23,34
2006,16,29,28,17,35,40,32,31,34,23,21,43,25,26,18,19,22,17,19,37,28,40,23,24,18,21,34,18,24,36,27,33,36,25,14,20,17,33,24,38,21,18,19,22,27,51,25,35,20,24,34
2007,15,27,27,17,34,39,31,27,33,23,21,43,25,25,18,17,19,17,18,36,29,41,23,25,19,21,34,18,22,35,28,33,36,24,17,19,17,34,24,36,20,14,19,22,27,56,26,34,17,23,33
2008,14,29,30,15,32,39,34,29,33,24,21,42,23,26,20,18,18,18,18,36,28,42,23,26,18,22,32,18,26,36,29,32,37,25,18,21,17,34,25,39,20,16,20,23,27,54,24,36,20,24,34
2009,14,29,31,17,31,38,34,31,32,23,21,44,24,28,21,20,19,19,19,36,30,42,24,27,18,22,32,19,26,39,30,33,37,25,18,21,18,36,25,37,21,16,20,24,28,46,24,36,17,25,31
2010,16,36,32,19,28,39,36,33,34,22,21,45,27,29,22,22,20,21,20,38,30,41,25,28,20,22,37,21,27,45,30,39,37,25,22,23,19,37,27,42,23,17,21,23,30,31,21,35,23,27,33
2011,16,36,29,17,35,39,35,27,36,24,19,42,28,27,22,21,20,20,19,42,28,44,25,27,14,21,38,21,26,41,31,36,35,25,20,23,18,37,27,44,22,21,21,20,31,62,27,35,19,27,35
2012,18,38,32,20,38,42,36,30,34,26,20,46,30,28,23,25,22,21,20,44,29,45,25,30,15,22,38,23,28,44,32,38,36,27,23,26,21,39,30,45,24,23,23,21,31,62,29,35,20,28,37
2013,20,41,32,24,39,46,38,32,42,29,22,50,34,30,26,27,23,24,23,47,32,46,29,33,16,25,41,28,31,46,35,39,41,29,28,29,24,30,32,48,28,28,25,24,34,64,31,38,25,31,44
2014,23,45,34,26,41,46,42,38,43,33,24,50,37,33,30,31,25,26,25,50,35,49,33,37,21,29,44,30,34,50,39,42,42,33,33,33,28,26,35,51,29,34,28,27,39,67,28,40,27,33,44
2015,25,48,35,26,41,49,44,39,41,33,27,52,38,33,30,33,28,29,29,51,38,49,33,39,23,29,47,32,33,50,40,42,42,34,35,34,32,29,38,50,27,34,29,28,40,71,31,42,29,34,45
2016,26,58,39,27,42,53,48,45,41,34,30,64,41,37,33,36,22,31,31,59,41,53,37,42,23,33,53,35,36,59,43,46,44,34,46,37,33,33,40,59,31,42,30,28,45,100,38,45,33,38,60
