Search interest in Republican candidates by week,,,,,,,,,,,,,,,
All values based on search interest in the US,,,,,,,,,,,,,,,
"Search interest is indexed, where 100 is the maximum search interest",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Week,Jeb Bush,Ben Carson,Chris Christie,Ted Cruz,Carly Fiorina,Jim Gilmore,Lindsey Graham,Mike Huckabee,Bobby Jindal,John Kasich,George Pataki,Rand Paul,Marco Rubio,Rick Santorum,Donald Trump
12/28/14,2.22,0.87,0.36,0.37,0,0,0,0,0,0,0,0.28,0.44,0,1
1/4/15,1.26,0.86,4.35,0.39,0.24,0,0.13,1.13,0.11,0.11,0,0.4,0.4,0.21,1.92
1/11/15,1.1,0.98,1.77,1.36,0.28,0,0.12,0.8,0.19,0.16,0,0.6,1.01,0.12,1.33
1/18/15,1.05,1.05,0.55,1.02,0.18,0,0.27,1.34,1.28,0.15,0,0.75,1.19,0.17,1.78
1/25/15,1.54,1.35,1.2,0.93,0.29,0,0.27,0.75,0.56,0.22,0,0.7,0.86,0.18,2.37
2/1/15,1.42,1.33,1.53,0.53,0.27,0,0.22,0.81,0.83,0.17,0.18,2.18,0.53,0.11,1.31
2/8/15,1.33,1.77,0.67,0.57,0.13,0,0.15,0.35,0.68,0.12,0,0.75,0.5,0.42,1.18
2/15/15,1.89,1.24,0.54,0.45,0.31,0,0.11,0.31,0.24,0.13,0,0.71,0.52,0.15,1.92
2/22/15,2.37,1.64,0.89,0.78,0.71,0,0.23,0.31,0.42,0.17,0,0.76,0.74,0.16,1.56
3/1/15,1.34,3.83,0.67,0.6,0.34,0,0.25,0.34,0.2,0.11,0,1.08,0.65,0.11,1.17
3/8/15,1.16,1.51,0.6,0.69,0.29,0,0.72,0.32,0.21,0.13,0,0.8,0.73,0.11,0.95
3/15/15,1.04,1,0.47,1.39,0.25,0,0.2,0.28,0.21,0.15,0,0.74,0.6,0.22,1.3
3/22/15,1.34,1.25,0.53,29.86,0.21,0,0.19,0.3,0.29,0.26,0,1.22,0.83,0.18,1.1
3/29/15,0.92,0.79,0.53,3.73,1.28,0,0.14,0.35,0.16,0.14,0,0.71,0.93,0.13,0.96
4/5/15,1.78,1,0.54,2.82,0.55,0,0.23,0.25,0.27,0.14,0,11.87,1.07,0.21,0.93
4/12/15,2.62,1.6,1.54,3.8,0.95,0,0.21,0.43,0.29,0.2,0,5.27,13.19,0.19,1.05
4/19/15,1.53,1.04,1.09,2.16,0.98,0,0.51,0.37,0.58,0.34,0,2.27,2.73,0.15,0.95
4/26/15,1.23,1.12,0.93,1.77,0.4,0,0.15,0.28,0.25,0.19,0,1.52,1.26,0.14,1.39
5/3/15,1.25,8.74,0.81,1.31,6.04,0,0.23,2.34,0.18,0.17,0,1.12,1.13,0.28,1.09
5/10/15,3.05,2.46,1,1.41,1.21,0,0.12,0.55,0.18,0.12,0.11,1.18,1.65,0.16,1.04
5/17/15,1.71,1.57,0.7,1.29,0.51,0,0.75,0.95,0.64,0.19,0.12,2.85,1.33,0.17,0.86
5/24/15,1.11,1.58,0.64,1.49,1.05,0,0.35,0.94,0.38,0.25,1.32,2.29,1.05,1.94,1
5/31/15,1.3,1.29,1.76,2.09,0.75,0,2.84,1.1,0.41,0.22,0.26,2.79,1.44,0.83,1.11
6/7/15,1.83,1.25,1.7,1.1,0.89,0,1.66,0.35,0.24,0.2,0.16,1.19,2.42,0.47,0.94
6/14/15,13.48,1.83,1.15,0.92,0.91,0,1.15,0.37,0.38,0.28,0.16,1.78,1.67,0.45,33.24
6/21/15,2.87,1.76,1.02,1.64,0.96,0,0.71,0.9,4.82,0.25,0.12,1.49,1.19,0.4,17.33
6/28/15,2.7,0,4.83,3.03,0.6,0,0.59,0.79,2.53,0.51,0.19,1.57,1.27,0.26,34.4
7/5/15,4.35,1.39,1.25,1.85,0.55,0.11,0.43,0.38,1.07,0.33,0.22,1.14,1.2,0.31,20.96
7/12/15,2.48,1.4,0.77,1.48,0.69,0.19,0.52,0.28,0.58,0.33,0.12,1.09,1.02,0.26,31.82
7/19/15,2.05,1.46,0.83,2.18,0.84,0.26,3.56,0.3,1.1,3.32,0.13,1.23,1.36,0.55,34.57
7/26/15,2.07,1.53,0.98,2.08,0.77,0.34,0.55,2.12,0.7,0.94,0.14,1.15,0.99,0.22,21.18
8/2/15,6.24,11.19,4.36,6.44,11.13,0.4,1.52,2.52,1.37,5.04,0.48,4.73,6.48,0.67,37.07
8/9/15,3.31,6.65,1.37,3.24,7.31,0.11,0.41,0.76,0.59,1.65,0.13,2.44,3.06,0.3,33.01
8/16/15,3.08,4.96,0.87,2.73,2.96,0.11,0.34,0.86,0.59,1.19,0.12,1.32,2.04,0.25,33.82
8/23/15,3.8,4.35,1.08,2.47,1.71,0.12,0.4,0.42,0.85,0.76,0.11,1.3,1.34,0.25,42.29
8/30/15,3.36,8.78,1.39,1.93,2.02,0.12,0.3,0.72,0.48,0.63,0.12,1.13,1.14,0.29,28.12
9/6/15,3.58,8,0.86,2.26,5.51,0.12,0.32,2.78,1.02,0.59,0.12,1.16,0.95,0.2,23.2
9/13/15,9.34,14.29,2.92,4.77,24.82,0.21,1.56,1.98,1.7,2.62,0.79,4.03,6.96,0.7,38.1
9/20/15,3.28,10.74,1.31,3.9,11.3,0.11,0.42,0.96,0.59,0.84,0.2,1.58,4.09,0.29,25.24
9/27/15,2.99,7.16,1.15,2.42,4.22,0.12,0.25,0.6,0.45,0.53,0.12,1.24,2.59,0.31,21.69
10/4/15,1.97,11.72,0.7,1.66,2.15,0.13,0.43,0.45,0.49,0.69,0.11,0.95,2.38,0.21,17.12
10/11/15,2.18,9.01,0.66,1.54,1.76,0.11,0.23,1.31,0.45,0.56,0.11,1.3,2.01,0.2,20.06
