"Data collected 18-25 July, 2016. Clinton and Trump columns ranked 0-100",,,,
Country,Hillary Clinton,Hillary rank,Donald Trump,Trump rank
United States,100,1,100,1
Saint Kitts and Nevis,71.5,2,43.5,20
U.S. Virgin Islands,70.6,3,86.5,3
Cayman Islands,63.7,4,81.1,4
Turks and Caicos Islands,59.7,5,66.7,6
Aruba,55.6,6,52.8,11
Sint Maarten,54.9,7,49.6,13
Montserrat,51,8,91.2,2
Bermuda,50.2,9,63.6,7
Grenada,47.2,10,63.3,8
Canada,43.5,11,68.2,5
Guam,42,12,44.2,19
Anguilla,38.9,13,44.9,17
Cook Islands,38,14,43.4,21
American Samoa,36,15,36.4,26
Marshall Islands,35.4,16,46.4,16
Palau,35.2,17,62.9,9
The Bahamas,34.9,18,48.5,15
Barbados,34.8,19,49.5,14
Dominica,34.5,20,51.7,12
Sierra Leone,34.3,21,25.2,47
Antigua and Barbuda,34.1,22,44.4,18
Samoa,33.2,23,24.1,50
British Virgin Islands,32.9,24,58,10
Malawi,32.2,25,28.4,40
Federated States of Micronesia,31.3,26,38.9,24
Northern Mariana Islands,31,27,40.1,23
Liberia,28,28,33.8,29
Nauru,27.5,29,9.8,130
Kenya,26.2,30,24.4,49
Bhutan,26,31,18.9,71
Uganda,25.8,32,31.3,31
Botswana,23.6,33,27.9,41
Guyana,22.5,34,23.5,51
Belize,21.8,35,28.7,39
Ireland,21.2,36,31.1,33
Nigeria,20.3,37,16.8,80
Curaçao,20,38,32,30
Jamaica,20,38,28.9,37
Seychelles,19.8,40,28.8,38
The Gambia,19.6,41,14.8,89
Saint Vincent and the Grenadines,19.4,42,29.1,36
Saint Lucia,19,43,29.7,34
Caribbean Netherlands,18.8,44,21.7,58
New Zealand,18.8,44,31.3,31
Zimbabwe,18.3,46,19.9,69
Iceland,17.6,47,27.8,42
Burundi,17.4,48,17.9,75
Solomon Islands,17.2,49,36.1,28
Papua New Guinea,16.9,50,16.9,78
Trinidad and Tobago,16.4,51,29.4,35
Puerto Rico,16.4,51,25.4,46
Singapore,15.9,53,22.9,56
Zambia,15.8,54,16.5,83
Ghana,15.6,55,16.7,82
South Sudan,15.4,56,20.1,68
Cuba,15,57,25.5,45
Haiti,14.4,58,20.8,63
Faroe Islands,14.2,59,36.3,27
Kiribati,14.1,60,40.5,22
Cameroon,14,61,14.5,91
Australia,13.9,62,27.5,43
Namibia,13.8,63,22,57
Rwanda,13.7,64,18.6,73
Guernsey,13.6,65,20.4,66
Svalbard and Jan Mayen,13.4,66,26.3,44
Collectivity of Saint Martin,13.3,67,20.8,63
Vanuatu,12.7,68,21.6,59
Fiji,12.3,69,18.7,72
Eritrea,12.2,70,23.3,53
Malta,12.1,71,18.1,74
Swaziland,12,72,17.4,77
Christmas Island,12,72,12.8,99
Gibraltar,11.8,74,20.2,67
Saint Pierre and Miquelon,11.7,75,23,55
China,11.6,76,11.7,110
Togo,11.5,77,14.9,88
Equatorial Guinea,11.5,77,12.1,106
Afghanistan,11.4,79,13.3,96
Jersey,11.1,80,20.9,61
South Africa,10.8,81,16.8,80
Guinea,10.8,81,10.1,127
Isle of Man,10.7,83,20.7,65
Åland Islands,10.5,84,24.5,48
Ethiopia,10.5,84,12.8,99
Somalia,10.5,84,13.3,96
Democratic Republic of the Congo,10.4,87,13.8,93
United Kingdom,10.2,88,19.1,70
Djibouti,9.9,89,17.8,76
Chad,9.7,90,13.4,95
Panama,9.6,91,14.6,90
Maldives,9.5,92,13.5,94
Norway,9.4,93,21.3,60
Hong Kong,9.3,94,14,92
Nicaragua,9,95,12.8,99
Republic of the Congo,9,95,10.6,120
Tonga,9,95,8.7,142
Sweden,8.9,98,23.1,54
Tanzania,8.6,99,12,107
Liechtenstein,8.5,100,15.9,85
Senegal,8.2,101,9.1,136
Denmark,8.1,102,20.9,61
Dominican Republic,8,103,10.5,124
Costa Rica,7.9,104,12.4,104
Monaco,7.7,105,16.9,78
Honduras,7.6,106,11.9,108
Switzerland,7.5,107,15.6,87
Qatar,7.5,107,12.6,103
Luxembourg,7.5,107,16,84
French Polynesia,7.3,110,11.6,112
Greenland,7.1,111,23.5,51
Lesotho,7.1,111,10.6,120
Netherlands,7,113,15.9,85
Benin,6.8,114,8.2,149
Lebanon,6.7,115,11,116
United Arab Emirates,6.7,115,11.7,110
Macedonia (FYROM),6.6,117,9.4,131
Brunei,6.5,118,13.2,98
Angola,6.5,118,11.9,108
Israel,6.5,118,11.5,113
Bahrain,6.3,121,10.4,126
Kuwait,6.3,121,9.4,131
Finland,6,123,12.4,104
Cyprus,5.7,124,9.3,133
Guinea-Bissau,5.7,124,12.7,102
Central African Republic,5.7,124,10.6,120
Belgium,5.5,127,11.2,115
Burkina Faso,5.4,128,10.1,127
Mali,5.4,128,7.4,156
Madagascar,5.4,128,7.1,159
Nepal,5.3,131,6.8,162
Myanmar (Burma),5.3,131,6.1,175
C™te d'Ivoire,5.3,131,8.6,146
San Marino,5.3,131,8.8,139
Saint Helena Ascension and Tristan da Cunha,5.2,135,9.9,129
Suriname,5.1,136,10.9,117
Estonia,5.1,136,9.2,134
El Salvador,5,138,8.8,139
Niger,4.9,139,7.5,154
Macau,4.9,139,8.7,142
Mexico,4.9,139,10.7,119
Philippines,4.8,142,5.6,179
Malaysia,4.8,142,6.5,169
S‹o Tom_ and Pr’ncipe,4.6,144,4.4,195
South Korea,4.6,144,6.2,172
Kosovo,4.5,146,7.1,159
Cambodia,4.4,147,6,176
Mauritius,4.2,148,8.6,146
Mozambique,4.2,148,7.3,157
Austria,4.2,148,10.6,120
Germany,4.2,148,11.5,113
Gabon,4.2,148,8.8,139
Portugal,4.2,148,10.9,117
Slovenia,4.1,154,37.3,25
Montenegro,4.1,154,6.8,162
Timor-Leste,4,156,6.7,166
Latvia,4,156,7.6,152
France,4,156,8.7,142
Uruguay,4,156,9.2,134
Albania,3.9,160,6.5,169
Sri Lanka,3.5,161,5.5,182
New Caledonia,3.5,161,6.8,162
Croatia,3.5,161,7.7,151
Oman,3.4,164,6.6,168
Paraguay,3.4,164,7.1,159
Italy,3.4,164,9.1,136
French Guiana,3.3,167,6,176
Guatemala,3.3,167,6.5,169
Bangladesh,3.3,167,4,196
Jordan,3.2,170,6.2,172
Bulgaria,3.1,171,7.6,152
Mongolia,3.1,171,7.5,154
Greece,3,173,5,188
Venezuela,2.9,174,5.4,183
Martinique,2.9,174,8.7,142
Lithuania,2.8,176,8.5,148
Serbia,2.8,176,3.7,198
Hungary,2.8,176,4.7,191
Czech Republic,2.7,179,6.2,172
Taiwan,2.7,179,2,228
Palestine,2.7,179,5.6,179
Spain,2.6,182,7.8,150
Iran,2.5,183,6,176
Guadeloupe,2.5,183,7.3,157
Saudi Arabia,2.5,183,5.1,187
Bosnia and Herzegovina,2.5,183,5.3,185
Cape Verde,2.4,187,6.7,166
India,2.4,187,3.6,200
Romania,2.4,187,4.6,192
Ecuador,2.4,187,4.8,190
Colombia,2.3,191,5.4,183
Mauritania,2.3,191,3.4,203
Uzbekistan,2.3,191,3.1,210
Morocco,2.2,194,3.5,202
Pakistan,2.2,194,3.1,210
Chile,2.1,196,6.8,162
Bolivia,2.1,196,5.2,186
Saint-Barth_lemy,2.1,196,9,138
Libya,2,199,3.3,206
Armenia,2,199,2.8,216
Poland,2,199,5.6,179
Sudan,2,199,3.1,210
Georgia,2,199,4.5,193
Slovakia,2,199,3.6,200
Laos,1.9,205,2.8,216
Moldova,1.8,206,2.7,218
Indonesia,1.8,206,3.1,210
Yemen,1.7,208,1.6,232
Kyrgyzstan,1.7,208,2.7,218
Turkmenistan,1.7,208,2.3,222
Reunion,1.7,208,5,188
Argentina,1.6,212,4.5,193
Tunisia,1.6,212,3.4,203
Brazil,1.6,212,3.3,206
Peru,1.5,215,3.4,203
Thailand,1.4,216,2.1,227
Kazakhstan,1.4,216,2.2,225
Russia,1.4,216,2.4,221
Japan,1.4,216,2.9,214
Vietnam,1.4,216,2,228
Egypt,1.4,216,2.3,222
Comoros,1.3,222,3.2,209
Andorra,1.3,222,10.5,124
Tajikistan,1.3,222,3.3,206
Belarus,1.3,222,2.2,225
Ukraine,1.2,226,2.3,222
Mayotte,1.2,226,3.9,197
Algeria,1.2,226,1.9,230
Iraq,1.2,226,2.5,220
Azerbaijan,1.2,226,1.9,230
Syria,1.2,226,2.9,214
Western Sahara,0.9,232,3.7,198
Turkey,0.6,233,0.8,233
