country,MAX
Egypt,Archery
Ghana,Archery
Honduras,Archery
Sri Lanka,Archery
Andorra,Athletics
United Arab Emirates,Athletics
Bulgaria,Athletics
Bosnia and Herzegovina,Athletics
Costa Rica,Athletics
Dominican Republic,Athletics
Estonia,Athletics
Finland,Athletics
Iran,Athletics
Kazakhstan,Athletics
Mozambique,Athletics
Mauritius,Athletics
Pakistan,Athletics
Turkey,Athletics
Vietnam,Athletics
Hong Kong,Badminton
Malaysia,Badminton
Oman,Badminton
El Salvador,Badminton
Belgium,Boccia
Ecuador,Boccia
Ireland,Boccia
Slovakia,Boccia
Tunisia,Boccia
Zimbabwe,Boccia
Austria,Cycling
Latvia,Equestrian
New Zealand,Equestrian
Barbados,Football
Guatemala,Football
Morocco,Football
Nigeria,Football
Netherlands,Football
Panama,Football
Russia,Football
Turkmenistan,Football
Ukraine,Football
Venezuela,Football
Brazil,Goalball
Czech Republic,Goalball
Puerto Rico,IPC Powerlifting
Armenia,Judo
Azerbaijan,Judo
Algeria,Judo
Georgia,Judo
Guadeloupe,Judo
Romania,Judo
Uzbekistan,Judo
Kenya,Sitting volleyball
Lithuania,Sitting volleyball
Argentina,Swimming
Australia,Swimming
Bolivia,Swimming
Canada,Swimming
Switzerland,Swimming
Chile,Swimming
Colombia,Swimming
Cuba,Swimming
Cyprus,Swimming
Germany,Swimming
Denmark,Swimming
Spain,Swimming
France,Swimming
United Kingdom,Swimming
Greece,Swimming
Croatia,Swimming
Hungary,Swimming
India,Swimming
Italy,Swimming
Japan,Swimming
Mexico,Swimming
Norway,Swimming
Peru,Swimming
Papua New Guinea,Swimming
Portugal,Swimming
Paraguay,Swimming
Reunion,Swimming
Serbia,Swimming
Slovenia,Swimming
Sweden,Swimming
Thailand,Swimming
Uruguay,Swimming
United States,Swimming
South Africa,Swimming
Belarus,Table tennis
Indonesia,Table tennis
Israel,Table tennis
South Korea,Table tennis
Singapore,Table tennis
Taiwan,Table tennis
Philippines,Taekwondo
Kyrgyzstan,Triathlon
Jordan,Wheelchair basketball
Poland,Wheelchair tennis
