County,County_GEO,Country,MAX,2ND,3RD
Alba County,Alba,Romania,PSD,USR,PNL
Argeș County,Arges,Romania,PSD,USR,PNL
Arad County,Arad,Romania,PNL,PSD,USR
Bucharest,Bucharest,Romania,USR,PSD,PNL
Bacău County,Bacau,Romania,PSD,PNL,USR
Bihor County,Bihor,Romania,PNL,USR,PSD
Bistrița-Năsăud County,Bistrita-Nasaud,Romania,PSD,USR,PNL
Brăila County,Braila,Romania,PSD,USR,PNL
Botoșani County,Botosani,Romania,PNL,PSD,USR
Brașov County,Brasov,Romania,USR,PSD,PNL
Buzău County,Buzau,Romania,PSD,PNL,USR
Cluj County,Cluj,Romania,USR,PSD,PNL
Călărași County,Calarasi,Romania,PSD,PNL,USR
Caraș-Severin County,Caras-Severin,Romania,PSD,USR,PNL
Constanța County,Constanta,Romania,PSD,PNL,USR
Covasna County,Covasna,Romania,UDMR,USR,PSD
Dâmbovița County,Dambovita,Romania,PSD,PNL,USR
Dolj County,Dolj,Romania,PSD,USR,PNL
Gorj County,Gorj,Romania,PSD,USR,PNL
Galați,Galati,Romania,PSD,USR,PNL
Giurgiu County,Giurgiu,Romania,PSD,PSD,PNL
Hunedoara County,Hunedoara,Romania,PNL,PSD,USR
Harghita County,Harghita,Romania,UDMR,USR,PSD
Ilfov County,Ilfov,Romania,USR,PSD,PNL
Ialomița County,Ialomita,Romania,PSD,PNL,USR
Iași County,Iasi,Romania,PSD,USR,PNL
Mehedinți County,Mehedinti,Romania,PSD,PNL,USR
Maramureș County,Maramures,Romania,USR,PNL,PSD
Mureș County,Mures,Romania,USR,PSD,UDMR
Neamț County,Neamț,Romania,PSD,PNL,USR
Olt County,Olt,Romania,PSD,PNL,USR
Prahova,Prahova,Romania,PSD,USR,PNL
Sibiu,Sibiu,Romania,USR,PSD,PNL
Sălaj,Salaj,Romania,USR,UDMR,PSD
Satu Mare County,Satu Mare,Romania,USR,PSD,PNL
Suceava County,Suceava,Romania,PSD,USR,PNL
Tulcea County,Tulcea,Romania,PNL,PSD,USR
Timiș County,Timis,Romania,USR,PSD,PNL
Teleorman County,Teleorman,Romania,PSD,PNL,USR
Vâlcea County,Valcea,Romania,PNL,PSD,USR
Vrancea County,Vrancea,Romania,PSD,USR,PNL
Vaslui County,Vaslui,Romania,PNL,PSD,USR
