"Top-searched Thanksgiving recipe by state, based on searches made the week of Thanksgiving in 2015, 2014, 2013, 2012 and 2011.",
TOPIC,STATE
Alabama [us-al],Pecan pie
Alaska [us-ak],Apple pie
Arizona [us-az],Pumpkin pie
Arkansas [us-ar],Pecan pie
California [us-ca],Pumpkin pie
Colorado [us-co],Pumpkin pie
Connecticut [us-ct],Apple pie
Delaware [us-de],Stuffing
District of Columbia [us-dc],Pumpkin pie
Florida [us-fl],Pumpkin pie
Georgia [us-ga],Pecan pie
Hawaii [us-hi],Pumpkin Crunch
Idaho [us-id],Pumpkin pie
Illinois [us-il],Sweet potatoes
Indiana [us-in],Pumpkin pie
Iowa [us-ia],Pumpkin pie
Kansas [us-ks],Pumpkin pie
Kentucky [us-ky],Pecan pie
Louisiana [us-la],Pecan pie
Maine [us-me],Apple pie
Maryland [us-md],Apple pie
Massachusetts [us-ma],Apple pie
Michigan [us-mi],Pumpkin pie
Minnesota [us-mn],Pumpkin pie
Mississippi [us-ms],Pecan pie
Missouri [us-mo],Pecan pie
Montana [us-mt],Pumpkin pie
Nebraska [us-ne],Pumpkin pie
Nevada [us-nv],Pumpkin pie
New Hampshire [us-nh],Apple pie
New Jersey [us-nj],Apple pie
New Mexico [us-nm],Pumpkin pie
New York [us-ny],Pumpkin pie
North Carolina [us-nc],Pecan pie
North Dakota [us-nd],Pumpkin pie
Ohio [us-oh],Pumpkin pie
Oklahoma [us-ok],Pecan pie
Oregon [us-or],Pumpkin pie
Pennsylvania [us-pa],Apple pie
Rhode Island [us-ri],Apple pie
South Carolina [us-sc],Pecan pie
South Dakota [us-sd],Pumpkin pie
Tennessee [us-tn],Pecan pie
Texas [us-tx],Pecan pie
Utah [us-ut],Pumpkin pie
Vermont [us-vt],Pumpkin pie
Virginia [us-va],Pumpkin pie
Washington [us-wa],Pumpkin pie
West Virginia [us-wv],Pumpkin pie
Wisconsin [us-wi],Pumpkin pie
Wyoming [us-wy],Pumpkin pie
