"Search interest in Trump's transition (past week, US). Search interest indexed 1-100 where 100 is maximum search interest.",
Region,Search interest
District of Columbia (United States),100
Maryland (United States),31
Virginia (United States),28
Oklahoma (United States),20
Alaska (United States),17
New York (United States),15
Delaware (United States),14
Massachusetts (United States),13
New Jersey (United States),13
Connecticut (United States),12
Florida (United States),11
New Mexico (United States),11
Colorado (United States),10
Pennsylvania (United States),10
Wyoming (United States),10
Tennessee (United States),9
South Carolina (United States),9
Vermont (United States),9
Oregon (United States),9
California (United States),9
New Hampshire (United States),9
Georgia (United States),9
North Dakota (United States),9
Minnesota (United States),9
Illinois (United States),8
Arizona (United States),8
Alabama (United States),8
North Carolina (United States),8
Maine (United States),8
Missouri (United States),8
Rhode Island (United States),8
Indiana (United States),8
West Virginia (United States),8
Washington (United States),8
Wisconsin (United States),8
Hawaii (United States),7
Kansas (United States),7
Utah (United States),7
Arkansas (United States),7
Ohio (United States),7
Michigan (United States),7
Idaho (United States),7
Texas (United States),7
Louisiana (United States),7
Iowa (United States),6
Nebraska (United States),6
Kentucky (United States),6
Nevada (United States),6
Mississippi (United States),6
South Dakota (United States),5
Montana (United States),5
