President,Indexed Rank
Donald Trump,100
Barack Obama,98
George W. Bush,15
Abraham Lincoln,14
John F. Kennedy,13
Ronald Reagan,10
George Washington,10
Bill Clinton,10
Franklin D. Roosevelt,8
Thomas Jefferson,8
Theodore Roosevelt,5
Richard Nixon,4
Andrew Jackson,4
Dwight D. Eisenhower,3
Jimmy Carter,3
John Adams,3
Lyndon B. Johnson,3
George Bush,3
Harry S. Truman,3
James Madison,2
Woodrow Wilson,2
Ulysses S. Grant,2
Gerald Ford,1
Herbert Hoover,1
William McKinley,1
William Howard Taft,1
Warren G. Harding,1
John Quincy Adams,1
Andrew Johnson,1
Calvin Coolidge,1
Martin Van Buren,1
James Monroe,1
James K. Polk,1
Grover Cleveland,1
Grover Cleveland,1
William Henry Harrison,1
James A. Garfield,1
Zachary Taylor,1
John Tyler,0
Franklin Pierce,0
James Buchanan,0
Rutherford B. Hayes,0
Millard Fillmore,0
Chester Arthur,0
Benjamin Harrison,0
