County_SE,ISO,County_ENG,Country,MAX,2ND,3RD,4TH,5TH
Blekinge län,SE-K,Blekinge,Sweden,Jordgubbstårta,Gubbröra,Västerbottenpaj,Potatissallad,Flädersaft
Dalarnas län,SE-W,Dalarna,Sweden,Västerbottenpaj,Gubbröra,Rabarberpaj,Nubbesallad,Potatissallad
Gotlands län,SE-I,Gotland,Sweden,Gubbröra,Fransk potatissallad,Västerbottenpaj,Rabarberpaj,Flädersaft
Gävleborgs län,SE-X,Gävleborg,Sweden,Gubbröra,Västerbottenpaj,Rabarberpaj,Nubbesallad,Jordgubbstårta
Hallands län,SE-N,Halland,Sweden,Flädersaft,Gubbröra,Västerbottenpaj,Potatissallad,Jordgubbstårta
Jämtlands län,SE-Z,Jämtland,Sweden,Västerbottenpaj,Gubbröra,Rabarberpaj,Potatissallad,Matjesilltårta
Jönköpings län,SE-F,Jönköping,Sweden,Jordgubbstårta,Västerbottenpaj,Gubbröra,Potatissallad,Rabarberpaj
Kalmar län,SE-H,Kalmar,Sweden,Jordgubbstårta,Västerbottenpaj,Flädersaft,Rabarberpaj,Potatissallad
Kronobergs län,SE-G,Kronoberg,Sweden,Flädersaft,Jordgubbstårta,Gubbröra,Rabarberpaj,Västerbottenpaj
Norrbottens län,SE-BD,Norrbotten,Sweden,Gubbröra,Nubbesallad,Potatissallad,Rabarberpaj,Västerbottenpaj
Skåne län,SE-M,Skåne,Sweden,Västerbottenpaj,Flädersaft,Jordgubbstårta,Gubbröra,Silltårta
Stockholms län,SE-AB,Stockholm,Sweden,Västerbottenpaj,Gubbröra,Jordgubbstårta,Rabarberpaj,Potatissallad
Södermanlands län,SE-D,Södermanland,Sweden,Västerbottenpaj,Gubbröra,Jordgubbstårta,Potatissallad,Fransk potatissallad
Uppsala län,SE-C,Uppsala,Sweden,Gubbröra,Västerbottenpaj,Potatissallad,Rabarberpaj,Jordgubbstårta
Värmlands län,SE-S,Värmland,Sweden,Västerbottenpaj,Gubbröra,Potatissallad,Rabarberpaj,Nubbesallad
Västerbottens län,SE-AC,Västerbotten,Sweden,Gubbröra,Västerbottenpaj,Rabarberpaj,Potatissallad,Nubbesallad
Västernorrlands län,SE-Y,Västernorrland,Sweden,Gubbröra,Västerbottenpaj,Rabarberpaj,Potatissallad,Nubbesallad
Västmanlands län,SE-U,Västmanland,Sweden,Gubbröra,Västerbottenpaj,Rabarberpaj,Jordgubbstårta,Potatissallad
Västra Götalands län,SE-O,Västra Götaland,Sweden,Västerbottenpaj,Gubbröra,Flädersaft,Jordgubbstårta,Potatissallad
Örebro län,SE-T,Örebro,Sweden,Västerbottenpaj,Gubbröra,Rabarberpaj,Jordgubbstårta,Potatissallad
Östergötlands län,SE-E,Östergötland,Sweden,Västerbottenpaj,Jordgubbstårta,Potatissallad,Gubbröra,Rabarberpaj
