players name,rate of growth in %,search interest season 16/17,search interest season 15/16,Team
Oliver Burke,11705,0.4,0.0,RB Leipzig
Dayot Upamecano,4605,0.2,0.0,RB Leipzig
Douglas Santos,3966,0.3,0.0,Hamburger SV
Dominik Kohr,1069,0.9,0.1,FC Augsburg
Leon Bailey,852,0.4,0.0,Bayer Leverkusen
Thomas Delaney,729,0.4,0.0,Werder Bremen
Walace,670,0.3,0.0,Hamburger SV
Joel Pohjanpalo,648,0.5,0.1,Bayer Leverkusen
Timothée Kolodziejczak,628,0.2,0.0,Bor. Mönchengladbach
Naby Keïta,494,0.4,0.1,RB Leipzig
Nabil Bentaleb,439,1.1,0.2,FC Schalke 04
Guido Burgstaller,397,1.1,0.2,FC Schalke 04
Paul-Georges Ntep,395,0.3,0.1,VfL Wolfsburg
Thilo Kehrer,372,0.4,0.1,FC Schalke 04
Serge Gnabry,372,4.1,0.9,Werder Bremen
Emil Forsberg,369,0.5,0.1,RB Leipzig
Timo Werner,362,3.2,0.7,RB Leipzig
Sead Kolašinac,337,1.2,0.3,FC Schalke 04
Ousman Manneh,328,0.2,0.1,Werder Bremen
Shani Tarashaj,311,0.2,0.0,Eintracht Frankfurt
Marvin Compper,283,0.4,0.1,RB Leipzig
Diego Demme,270,0.2,0.0,RB Leipzig
Maximilian Philipp,269,0.3,0.1,SC Freiburg
Vallejo,260,0.2,0.0,Eintracht Frankfurt
Anthony Modeste,256,1.7,0.5,1. FC Köln
Benjamin Henrichs,254,0.3,0.1,Bayer Leverkusen
Kostas Stafylidis,246,0.3,0.1,FC Augsburg
Péter Gulácsi,231,0.1,0.0,RB Leipzig
Gōtoku Sakai,220,0.2,0.1,Hamburger SV
Terrence Boyd,211,0.2,0.1,SV Darmstadt 98
Ashkan Dejagah,206,0.4,0.1,VfL Wolfsburg
Bartra,201,3.1,1.0,Borussia Dortmund
Tom Starke,198,0.4,0.1,Bayern München
Yevhen Konoplyanka,194,1.0,0.3,FC Schalke 04
Kyriakos Papadopoulos,194,1.1,0.4,Hamburger SV
Marcel Risse,181,0.4,0.2,1. FC Köln
Yuya Osako,179,0.2,0.1,1. FC Köln
Marcel Sabitzer,173,0.6,0.2,RB Leipzig
