country,MAX,Juv_%,Real_%
Aruba,Real Madrid,25,75
Afghanistan,Real Madrid,12,88
Angola,Real Madrid,8,92
Anguilla,Real Madrid,38,62
Albania,Juventus,56,44
Andorra,Real Madrid,11,89
United Arab Emirates,Real Madrid,21,79
Argentina,Real Madrid,41,59
Armenia,Real Madrid,22,78
American Samoa,Real Madrid,11,89
Antigua and Barbuda,Real Madrid,26,74
Australia,Real Madrid,40,60
Austria,Real Madrid,41,59
Azerbaijan,Real Madrid,30,70
Burundi,Real Madrid,12,88
Belgium,Real Madrid,43,57
Benin,Real Madrid,7,93
Caribbean Netherlands,Real Madrid,24,76
Burkina Faso,Real Madrid,7,93
Bangladesh,Real Madrid,16,84
Bulgaria,Real Madrid,40,60
Bahrain,Real Madrid,19,81
The Bahamas,Real Madrid,16,84
Bosnia and Herzegovina,Real Madrid,41,59
Saint-Barthélemy,Real Madrid,10,90
Belarus,Real Madrid,46,54
Belize,Real Madrid,11,89
Bermuda,Real Madrid,38,62
Bolivia,Real Madrid,35,65
Brazil,Real Madrid,30,70
Barbados,Real Madrid,18,82
Brunei,Real Madrid,28,72
Bhutan,Real Madrid,15,85
Botswana,Real Madrid,15,85
Central African Republic,Real Madrid,11,89
Canada,Real Madrid,33,67
Switzerland,Juventus,57,43
Chile,Real Madrid,34,66
China,Real Madrid,37,63
Côte d'Ivoire,Real Madrid,11,89
Cameroon,Real Madrid,12,88
Democratic Republic of the Congo,Real Madrid,9,91
Republic of the Congo,Real Madrid,7,93
Colombia,Real Madrid,24,76
Comoros,Real Madrid,7,93
Cape Verde,Real Madrid,17,83
Costa Rica,Real Madrid,22,78
Cuba,Real Madrid,12,88
Curaçao,Real Madrid,16,84
Cayman Islands,Real Madrid,12,88
Cyprus,Real Madrid,42,58
Czech Republic,Real Madrid,38,62
Germany,Real Madrid,44,56
Djibouti,Real Madrid,12,88
Dominica,Real Madrid,29,71
Denmark,Real Madrid,35,65
Dominican Republic,Real Madrid,19,81
Algeria,Real Madrid,17,83
Ecuador,Real Madrid,28,72
Egypt,Real Madrid,14,86
Eritrea,Real Madrid,30,70
Western Sahara,Real Madrid,3,97
Spain,Real Madrid,17,83
Estonia,Real Madrid,45,55
Ethiopia,Real Madrid,23,77
Finland,Real Madrid,41,59
Fiji,Real Madrid,21,79
France,Real Madrid,32,68
Faroe Islands,Real Madrid,40,60
Gabon,Real Madrid,11,89
United Kingdom,Real Madrid,42,58
Georgia,Real Madrid,37,63
Guernsey,Real Madrid,38,62
Ghana,Real Madrid,14,86
Gibraltar,Real Madrid,25,75
Guinea,Real Madrid,8,92
Guadeloupe,Real Madrid,24,76
The Gambia,Real Madrid,7,93
Guinea-Bissau,Real Madrid,11,89
Equatorial Guinea,Real Madrid,7,93
Greece,Juventus,52,48
Grenada,Real Madrid,15,85
Greenland,Real Madrid,28,72
Guatemala,Real Madrid,16,84
French Guiana,Real Madrid,18,82
Guam,Juventus,50,50
Guyana,Real Madrid,23,77
Hong Kong,Real Madrid,35,65
Honduras,Real Madrid,16,84
Croatia,Real Madrid,46,54
Haiti,Real Madrid,10,90
Hungary,Real Madrid,44,56
Indonesia,Real Madrid,45,55
Isle of Man,Real Madrid,32,68
India,Real Madrid,16,84
Ireland,Real Madrid,41,59
Iran,Real Madrid,35,65
Iraq,Real Madrid,6,94
Iceland,Real Madrid,43,57
Israel,Real Madrid,15,85
Italy,Juventus,88,12
Jamaica,Real Madrid,19,81
Jersey,Real Madrid,38,62
Jordan,Real Madrid,12,88
Japan,Real Madrid,20,80
Kazakhstan,Real Madrid,29,71
Kenya,Juventus,55,45
Kyrgyzstan,Real Madrid,19,81
Cambodia,Real Madrid,18,82
Saint Kitts and Nevis,Real Madrid,16,84
South Korea,Real Madrid,43,57
Kuwait,Real Madrid,21,79
Laos,Real Madrid,23,77
Lebanon,Real Madrid,19,81
Liberia,Real Madrid,9,91
Libya,Real Madrid,23,77
Saint Lucia,Real Madrid,13,87
Liechtenstein,Juventus,63,37
Sri Lanka,Real Madrid,15,85
Lesotho,Real Madrid,42,58
Lithuania,Real Madrid,40,60
Luxembourg,Juventus,54,46
Latvia,Real Madrid,44,56
Macau,Real Madrid,36,64
Collectivity of Saint Martin,Real Madrid,19,81
Morocco,Real Madrid,12,88
Monaco,Juventus,69,31
Moldova,Real Madrid,31,69
Madagascar,Real Madrid,21,79
Maldives,Real Madrid,18,82
Mexico,Real Madrid,33,67
Macedonia (FYROM),Real Madrid,42,58
Mali,Real Madrid,7,93
Malta,Juventus,82,18
Myanmar (Burma),Real Madrid,27,73
Montenegro,Real Madrid,50,50
Mongolia,Real Madrid,25,75
Northern Mariana Islands,Real Madrid,30,70
Mozambique,Real Madrid,9,91
Mauritania,Real Madrid,5,95
Martinique,Real Madrid,23,77
Mauritius,Real Madrid,32,68
Malawi,Real Madrid,25,75
Malaysia,Real Madrid,30,70
Mayotte,Real Madrid,14,86
Namibia,Real Madrid,18,82
New Caledonia,Real Madrid,33,67
Niger,Real Madrid,6,94
Nigeria,Real Madrid,12,88
Nicaragua,Real Madrid,13,87
Netherlands,Real Madrid,38,62
Norway,Real Madrid,34,66
Nepal,Real Madrid,19,81
New Zealand,Real Madrid,34,66
Oman,Real Madrid,14,86
Pakistan,Real Madrid,14,86
Panama,Real Madrid,21,79
Peru,Real Madrid,27,73
Philippines,Real Madrid,26,74
Palau,Real Madrid,25,75
Papua New Guinea,Real Madrid,45,55
Poland,Real Madrid,26,74
Puerto Rico,Real Madrid,22,78
North Korea,Real Madrid,7,93
Portugal,Real Madrid,36,64
Paraguay,Real Madrid,36,64
Palestine,Real Madrid,7,93
French Polynesia,Real Madrid,23,77
Qatar,Real Madrid,22,78
Reunion,Real Madrid,23,77
Romania,Real Madrid,40,60
Russia,Real Madrid,43,57
Rwanda,Real Madrid,19,81
Saudi Arabia,Real Madrid,21,79
Sudan,Real Madrid,9,91
Senegal,Real Madrid,11,89
Singapore,Real Madrid,40,60
Saint Helena Ascension and Tristan da Cunha,Real Madrid,39,61
Solomon Islands,Real Madrid,25,75
Sierra Leone,Real Madrid,10,90
El Salvador,Real Madrid,15,85
San Marino,Juventus,84,16
Somalia,Real Madrid,17,83
Serbia,Juventus,50,50
South Sudan,Real Madrid,10,90
São Tomé and Príncipe,Real Madrid,4,96
Suriname,Real Madrid,12,88
Slovakia,Real Madrid,35,65
Slovenia,Real Madrid,44,56
Sweden,Real Madrid,34,66
Swaziland,Real Madrid,15,85
Sint Maarten,Real Madrid,26,74
Seychelles,Real Madrid,39,61
Syria,Real Madrid,11,89
Turks and Caicos Islands,Real Madrid,22,78
Chad,Real Madrid,4,96
Togo,Real Madrid,9,91
Thailand,Real Madrid,36,64
Tajikistan,Real Madrid,16,84
Turkmenistan,Real Madrid,23,77
Timor-Leste,Real Madrid,17,83
Trinidad and Tobago,Real Madrid,24,76
Tunisia,Real Madrid,23,77
Turkey,Real Madrid,39,61
Taiwan,Real Madrid,32,68
Tanzania,Real Madrid,28,72
Uganda,Real Madrid,30,70
Ukraine,Real Madrid,41,59
Uruguay,Real Madrid,35,65
United States,Real Madrid,25,75
Uzbekistan,Real Madrid,17,83
Saint Vincent and the Grenadines,Real Madrid,9,91
Venezuela,Real Madrid,21,79
British Virgin Islands,Real Madrid,40,60
U.S. Virgin Islands,Real Madrid,17,83
Vietnam,Real Madrid,26,74
Vanuatu,Real Madrid,22,78
Samoa,Real Madrid,33,67
Kosovo,Real Madrid,30,70
Yemen,Real Madrid,8,92
South Africa,Real Madrid,28,72
Zambia,Real Madrid,11,89
Zimbabwe,Real Madrid,21,79
