Mois,ventilateur,Climatiseur
2007-07,18,10
2007-08,17,5
2007-09,15,4
2007-10,14,4
2007-11,14,3
2007-12,15,3
2008-01,15,3
2008-02,14,3
2008-03,13,3
2008-04,13,4
2008-05,16,9
2008-06,18,15
2008-07,18,13
2008-08,17,7
2008-09,14,5
2008-10,13,4
2008-11,14,3
2008-12,13,3
2009-01,14,3
2009-02,13,3
2009-03,12,3
2009-04,12,4
2009-05,16,9
2009-06,19,15
2009-07,22,19
2009-08,19,12
2009-09,13,5
2009-10,13,4
2009-11,13,3
2009-12,13,2
2010-01,13,3
2010-02,13,3
2010-03,12,4
2010-04,12,5
2010-05,15,7
2010-06,21,17
2010-07,36,47
2010-08,15,6
2010-09,13,4
2010-10,11,4
2010-11,12,3
2010-12,12,3
2011-01,12,3
2011-02,11,3
2011-03,11,3
2011-04,13,6
2011-05,15,10
2011-06,20,16
2011-07,16,9
2011-08,18,10
2011-09,13,4
2011-10,13,4
2011-11,12,3
2011-12,12,3
2012-01,12,3
2012-02,12,3
2012-03,11,3
2012-04,11,3
2012-05,15,9
2012-06,19,14
2012-07,20,12
2012-08,26,19
2012-09,13,5
2012-10,13,4
2012-11,13,3
2012-12,13,2
2013-01,13,3
2013-02,12,3
2013-03,12,3
2013-04,12,5
2013-05,12,4
2013-06,18,12
2013-07,48,46
2013-08,23,13
2013-09,14,4
2013-10,13,4
2013-11,14,4
2013-12,14,3
2014-01,14,3
2014-02,13,3
2014-03,13,4
2014-04,12,4
2014-05,14,5
2014-06,33,27
2014-07,28,15
2014-08,17,5
2014-09,14,4
2014-10,13,3
2014-11,14,3
2014-12,15,3
2015-01,14,3
2015-02,14,3
2015-03,13,3
2015-04,14,4
2015-05,15,6
2015-06,41,35
2015-07,97,92
2015-08,27,14
2015-09,16,5
2015-10,14,5
2015-11,15,4
2015-12,15,4
2016-01,15,5
2016-02,14,5
2016-03,13,5
2016-04,13,7
2016-05,17,11
2016-06,29,22
2016-07,45,32
2016-08,32,19
2016-09,19,7
2016-10,14,4
2016-11,14,4
2016-12,15,3
2017-01,16,5
2017-02,14,4
2017-03,13,5
2017-04,14,6
2017-05,34,28
2017-06,100,97
2017-07,51,39
