County,value,FIPS
Autauga County (Alabama United States),18,1001
Baldwin County (Alabama United States),33,1003
Barbour County (Alabama United States),27,1005
Bibb County (Alabama United States),11,1007
Blount County (Alabama United States),12,1009
Bullock County (Alabama United States),14,1011
Butler County (Alabama United States),23,1013
Calhoun County (Alabama United States),14,1015
Chambers County (Alabama United States),20,1017
Cherokee County (Alabama United States),13,1019
Chilton County (Alabama United States),16,1021
Choctaw County (Alabama United States),21,1023
Clarke County (Alabama United States),18,1025
Clay County (Alabama United States),19,1027
Cleburne County (Alabama United States),15,1029
Coffee County (Alabama United States),31,1031
Colbert County (Alabama United States),12,1033
Conecuh County (Alabama United States),28,1035
Coosa County (Alabama United States),12,1037
Covington County (Alabama United States),30,1039
Crenshaw County (Alabama United States),21,1041
Cullman County (Alabama United States),13,1043
Dale County (Alabama United States),34,1045
Dallas County (Alabama United States),12,1047
DeKalb County (Alabama United States),13,1049
Elmore County (Alabama United States),18,1051
Escambia County (Alabama United States),33,1053
Etowah County (Alabama United States),12,1055
Fayette County (Alabama United States),13,1057
Franklin County (Alabama United States),13,1059
Geneva County (Alabama United States),32,1061
Greene County (Alabama United States),11,1063
Hale County (Alabama United States),11,1065
Henry County (Alabama United States),31,1067
Houston County (Alabama United States),31,1069
Jackson County (Alabama United States),13,1071
Jefferson County (Alabama United States),17,1073
Lamar County (Alabama United States),12,1075
Lauderdale County (Alabama United States),11,1077
Lawrence County (Alabama United States),12,1079
Lee County (Alabama United States),19,1081
Limestone County (Alabama United States),12,1083
Lowndes County (Alabama United States),16,1085
Macon County (Alabama United States),17,1087
Madison County (Alabama United States),13,1089
Marengo County (Alabama United States),14,1091
Marion County (Alabama United States),13,1093
Marshall County (Alabama United States),12,1095
Mobile County (Alabama United States),28,1097
Monroe County (Alabama United States),26,1099
Montgomery County (Alabama United States),16,1101
Morgan County (Alabama United States),13,1103
Perry County (Alabama United States),10,1105
Pickens County (Alabama United States),12,1107
Pike County (Alabama United States),23,1109
Randolph County (Alabama United States),16,1111
Russell County (Alabama United States),19,1113
St. Clair County (Alabama United States),14,1115
