GeoType,Geo,query,rank_queries,queries_index
Provincia,Zaragoza,recetas de navidad,1,100
Provincia,Zaragoza,aperitivos para navidad,2,66.63026862
Provincia,Zaragoza,solomillo wellington,3,63.13605591
Provincia,Zaragoza,tapas para navidad,4,60.10045862
Provincia,Zaragoza,langostinos al horno,5,58.09128631
Provincia,Zaragoza,sopa de pescado,6,57.58899323
Provincia,Zamora,sopa de pescado,1,100
Provincia,Zamora,recetas de navidad,2,64.0201005
Provincia,Zamora,langostinos al horno,3,57.38693467
Provincia,Zamora,canapes faciles,4,54.97487437
Provincia,Zamora,arroz con bogavante,5,52.26130653
Provincia,Zamora,sopa de marisco,6,48.24120603
Provincia,Vizcaya,sopa de pescado,1,100
Provincia,Vizcaya,langostinos al horno,2,35.06606021
Provincia,Vizcaya,bacalao a la vizcaina,3,29.45635694
Provincia,Vizcaya,crema pastelera,4,29.40220923
Provincia,Vizcaya,patatas a la riojana,5,28.52501624
Provincia,Vizcaya,recetas de navidad,6,28.40589127
Provincia,Valladolid,sopa de pescado,1,100
Provincia,Valladolid,recetas de navidad,2,86.27968338
Provincia,Valladolid,solomillo wellington,3,70.90086694
Provincia,Valladolid,arroz con bogavante,4,69.20467395
Provincia,Valladolid,langostinos al horno,5,68.30003769
Provincia,Valladolid,canapes faciles,6,61.36449303
Provincia,Valencia,recetas de navidad,1,100
Provincia,Valencia,solomillo wellington,2,93.79643388
Provincia,Valencia,arroz al horno,3,73.22932145
Provincia,Valencia,galletas de navidad,4,65.77513621
Provincia,Valencia,postres navideños,5,63.00148588
Provincia,Valencia,aperitivos para navidad,6,59.85636454
Provincia,Toledo,recetas de navidad,1,100
Provincia,Toledo,postres navideños,2,84.16230366
Provincia,Toledo,solomillo wellington,3,76.09075044
Provincia,Toledo,sopa de marisco,4,71.68411867
Provincia,Toledo,aperitivos para navidad,5,70.85514834
Provincia,Toledo,arroz con bogavante,6,64.7469459
Provincia,Teruel,recetas de navidad,1,100
Provincia,Teruel,entrantes navideños,2,69.42003515
Provincia,Teruel,postres navideños,3,64.85061511
Provincia,Teruel,aperitivos para navidad,4,57.99648506
Provincia,Teruel,arroz con bogavante,5,53.2513181
Provincia,Teruel,cebolla caramelizada,6,49.03339192
Provincia,Tarragona,recetas de navidad,1,100
Provincia,Tarragona,aperitivos para navidad,2,84.63700234
Provincia,Tarragona,galletas de navidad,3,77.33021077
Provincia,Tarragona,solomillo wellington,4,76.15925059
Provincia,Tarragona,aperitivos navidad,5,74.94145199
Provincia,Tarragona,postres navideños,6,73.06791569
Provincia,Soria,recetas de navidad,1,100
Provincia,Soria,entrantes navideños,2,56.2745098
Provincia,Soria,sopa de pescado,3,52.74509804
Provincia,Soria,cebolla caramelizada,4,52.35294118
Provincia,Soria,arroz con bogavante,5,50.78431373
Provincia,Soria,solomillo wellington,6,46.07843137
Provincia,Sevilla,recetas de navidad,1,100
Provincia,Sevilla,solomillo al whisky,2,87.66414644
Provincia,Sevilla,solomillo wellington,3,87.43865234
Provincia,Sevilla,sopa de marisco,4,74.85077596
Provincia,Sevilla,postres navideños,5,72.05199629
Provincia,Sevilla,cebolla caramelizada,6,50.97493036
Provincia,Segovia,recetas de navidad,1,100
Provincia,Segovia,sopa de pescado,2,89.33518006
Provincia,Segovia,cebolla caramelizada,3,85.04155125
Provincia,Segovia,solomillo wellington,4,79.08587258
