"Indexed search interest in all Cannes Film Festival Palme d'Or winners, all time",,,,
Search interest has been indexed to 100 where 100 is the maximum search interest across all values,,,,
Film,Year,Director,France: All Time,Global: All Time
Pulp Fiction,1994,Quentin Tarantino,100,100
Taxi Driver,1976,Martin Scorsese,29,44
La Vie d'Adèle,2013,Abdellatif Kechiche,37,39
Le Pianiste,2002,Roman Polanski,34,35
Apocalypse Now,1979,Francis Ford Coppola,36,29
The Tree of Life,2011,Terrence Malick,34,26
La dolce vita,1960,Federico Fellini,62,17
La Leçon de piano,1993,Jane Campion,27,15
Amour,2012,Michael Haneke,13,14
Mission,1986,Roland Joffé,11,13
Blow-Up,1967,Michelangelo Antonioni,16,10
Entre les murs,2008,Laurent Cantet,23,7
Sailor et Lula,1990,David Lynch,7,7
Fahrenheit 9/11,2004,Michael Moore,6,7
Dancer in the Dark,2000,Lars von Trier,6,7
Elephant,2003,Gus Van Sant,9,7
Le Ruban blanc,2009,Michael Haneke,10,6
"Paris, Texas",1984,Wim Wenders,9,5
Un homme et une femme,1966,Claude Lelouch,13,5
Que le spectacle commence,1980,Bob Fosse,3,4
"Moi, Daniel Blake",2016,Ken Loach,10,4
Winter Sleep,2014,Nuri Bilge Ceylan,9,4
Conversation Secrète,1974,Francis Ford Coppola,5,4
Underground,1995,Emir Kusturica,3,4
M*A*S*H,1970,Robert Altman,2,4
"Sexe, Mensonges et Vidéo",1989,Steven Soderbergh,3,4
Les Parapluies de Cherbourg,1964,Jacques Demy,10,4
Adieu ma concubine,1993,Chen Kaige,2,3
Le Guépard,1963,Luchino Visconti,17,3
Le vent se lève,2006,Ken Loach,4,3
Yol,1982,Yılmaz Güney et Şerif Gören,4,3
Le Tambour,1979,Volker Schlöndorff,5,3
Missing,1982,Costa-Gavras,10,3
Marty,1955,Delbert Mann,1,3
Barton Fink,1991,Joel Coen,4,3
Orfeu Negro,1959,Marcel Camus,6,2
Viridiana,1961,Luis Buñuel,2,2
"4 mois, 3 semaines, 2 jours",2007,Cristian Mungiu,2,2
Dheepan,2015,Jacques Audiard,11,2
Secrets et mensonges,1996,Mike Leigh,2,2
Kagemusha,1980,Akira Kurosawa,2,1
Quand passent les cigognes,1958,Mikhaïl Kalatozov,2,1
"Oncle Boonmee, celui qui se souvient de ses vies antérieures",2010,Apichatpong Weerasethakul,2,1
L'Épouvantail,1973,Jerry Schatzberg,1,1
La Ballade de Narayama,1983,Shōhei Imamura,1,1
Les Meilleures Intentions,1992,Bille August,0,1
La Parole donnée,1962,Anselmo Duarte,0,1
Le Goût de la cérise,1997,Abbas Kiarostami,1,1
L'Enfant,2005,Luc et Jean-Pierre Dardenne,2,1
If...,1969,Lindsay Anderson,1,1
La Chambre du fils,2001,Nanni Moretti,2,1
L'Homme de fer,1981,Andrzej Wajda,0,1
Pelle le Conquérant,1988,Bille August,1,1
L'Éternité et Un Jour,1998,Theo Angelopoulos,0,1
Padre Padrone,1977,Paolo et Vittorio Taviani,1,1
Le Messager,1971,Joseph Losey,1,1
La Loi du Seigneur,1957,William Wyler,1,1
Ces messieurs dames,1966,Pietro Germi,0,0
L'Arbre aux Sabots,1978,Ermanno Olmi,1,0
Papa est en voyage d'affaires,1985,Emir Kusturica,0,0
Le Monde du silence,1956,Jean-Yves Le Cousteau et Louis Malle,2,0
Rosetta,1999,Luc et Jean-Pierre Dardenne,1,0
La classe ouvrière va au paradis,1972,Elio Petri,0,0
Sous le soleil de Satan,1987,Maurice Pialat,3,0
L'Anguille,1997,Shōhei Imamura,0,0
Il caso Mattei,1972,Francesco Rosi,0,0
Le Knack... et comment l'avoir,1965,Richard Lester,0,0
The Square,2017,Ruben Östlund,33,0
Chronique des années de braise,1975,Mohammed Lakhdar-Hamina,0,0
Une aussi longue absence,1961,Henri Colpi,0,0
La Méprise,1973,Alan Bridges,0,0
