Country,Performer,Apr 10 2018,Apr 11 2018,Apr 12 2018,Apr 13 2018,Apr 14 2018,Apr 15 2018,Apr 16 2018,Apr 17 2018,Apr 18 2018,Apr 19 2018,Apr 20 2018,Apr 21 2018,Apr 22 2018,Apr 23 2018,Apr 24 2018,Apr 25 2018,Apr 26 2018,Apr 27 2018,Apr 28 2018,Apr 29 2018,Apr 30 2018,May 1 2018,May 2 2018,May 3 2018,May 4 2018,May 5 2018,May 6 2018,May 7 2018,May 8 2018
Albania,Eugent Bushpepa,0.658881,0.556066,0.520643,0.758707,0.728152,1.42772,1.065786,0.723227,0.850794,0.814135,0.577357,0.950275,1.202516,0.71563,0.661081,0.481761,0.571109,0.778329,0.971297,1.306086,1.364849,1.414591,1.242039,2.994053,3.071155,2.554103,2.751282,2.667476,2.362653
Armenia,Sevak Khanagyan,3.675094,3.195776,3.506179,3.675966,4.092015,4.181309,3.186728,2.944817,3.116411,3.114229,3.573513,4.413579,4.019617,3.186046,3.672967,3.080212,3.298486,3.841828,3.680092,4.0204,3.987333,3.810792,3.210172,3.502534,4.209349,4.667818,5.802156,5.786104,6.279803
Australia,Jessica Mauboy,3.616532,5.781755,5.543148,5.920613,7.387814,9.717968,5.768431,5.46274,5.187599,4.812091,5.369824,8.507149,7.902461,5.838594,4.490949,7.697624,9.041341,8.572602,8.884093,7.691145,6.202152,9.213276,10.205594,8.22956,8.586914,11.862225,20.890057,19.893873,19.698816
Austria,Cesar Sampson,1.87415,1.290074,1.377876,1.451441,1.319776,1.587342,1.446981,1.042069,1.449502,1.326366,1.580378,1.348486,1.405884,1.204384,5.384444,3.117972,3.585774,3.064711,3.350323,17.459967,4.967126,3.795327,3.435537,3.46301,4.20769,3.783448,5.582193,8.164261,11.984946
Azerbaijan,AISEL,1.37633,1.186276,1.072371,1.179297,2.038828,1.268101,1.260274,1.207505,1.838794,1.463801,1.325484,1.076979,1.193676,1.176468,1.208436,1.247425,1.155824,1.263279,1.598226,3.033229,2.056997,3.281982,2.373196,2.17704,2.011471,1.962164,2.33192,3.025532,3.002271
Belarus,ALEKSEEV,28.637652,26.042335,27.585634,30.271894,34.124912,30.643805,26.343552,26.375158,26.499575,28.699754,31.793273,39.308653,33.490425,24.880775,24.53282,24.419142,26.360964,28.278667,33.659592,34.909552,28.46937,30.339922,27.904101,28.751298,31.164014,35.716666,37.501886,40.327657,46.649419
Belgium,Sennek,3.012302,2.842259,2.35155,2.564761,4.704115,4.433852,2.307673,1.516443,1.622811,2.158425,2.761581,2.362111,2.449243,2.569484,3.253765,2.201555,4.427706,4.703602,9.696206,14.256972,10.09303,6.110659,6.140304,5.992616,5.347664,6.298242,7.738203,10.266393,17.278664
Bulgaria,Equinox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,Franka Batelić,1.595955,1.104718,1.157848,1.154555,1.019413,1.489795,1.680364,1.570879,0.929571,1.266433,0.837575,0.995526,1.237884,1.161597,0.799698,1.027289,1.286809,1.117408,2.292752,2.202566,5.748507,5.096206,3.20669,4.776395,7.290658,5.980018,5.872952,6.448876,7.2897
Cyprus,Eleni Foureira,4.591079,4.136285,4.11437,5.39718,7.915706,8.449069,5.779022,4.496,4.142022,5.076144,5.69994,6.312278,5.907248,4.431372,4.733876,3.690314,5.011029,5.08869,6.538231,6.619467,14.138206,19.950377,14.722675,30.568877,49.704612,36.382321,34.641888,32.282075,46.391165
