"Search interest in environmental issues affecting water availality, worldwide, last 12 months, back from March 2018. The data is indexed from 0 to 100, where 0 means no search interest and 100, highest search interest. Source: Google Trends",,,,,
Most searched issue,Country,Drought,Flood,Desertification,Water pollution
Drought,Portugal,88,12,1,3
Drought,Somalia,66,0,0,0
Drought,Brazil,53,17,1,3
Drought,Mozambique,47,39,0,0
Flood,Zimbabwe,29,47,0,16
Drought,Angola,28,17,0,0
Flood,Namibia,26,37,0,0
Drought,Israel,25,11,1,2
Flood,Ethiopia,23,27,0,12
Flood,South Africa,22,33,2,11
Flood,Norway,18,19,0,0
Flood,Bolivia,12,31,0,19
Flood,Cameroon,11,26,0,0
Flood,Kenya,11,20,2,4
Flood,Luxembourg,10,32,0,0
Flood,El Salvador,10,30,5,17
Flood,Algeria,10,17,7,10
Flood,Uganda,10,23,0,0
Flood,Honduras,9,25,0,10
Water pollution,Morocco,9,11,6,13
Flood,Costa Rica,9,26,0,6
Flood,Poland,9,13,0,1
Flood,Iran,8,40,0,3
Flood,Jamaica,8,54,0,15
Flood,Australia,8,87,1,3
Flood,France,8,28,0,1
Flood,China,7,24,0,9
Flood,Nicaragua,7,24,0,11
Flood,Panama,7,31,0,14
Flood,Peru,7,24,2,14
Flood,Sudan,7,11,5,6
Flood,Oman,7,18,7,10
Flood,Guatemala,6,19,0,16
Flood,Sri Lanka,6,45,0,5
Flood,United States,6,68,1,3
Flood,Spain,6,14,1,1
Flood,Ecuador,6,19,4,9
Flood,Paraguay,6,21,0,9
Water pollution,Lebanon,6,13,0,17
Flood,New Zealand,6,82,0,6
Flood,Sweden,6,10,0,0
Flood,Czech Republic,6,16,0,1
Flood,Moldova,6,11,0,6
Flood,Tanzania,5,25,0,8
Water pollution,Saudi Arabia,5,7,2,7
Flood,Serbia,5,24,0,2
Flood,Nepal,5,47,0,13
Flood,South Korea,5,12,2,3
Flood,Tunisia,5,12,0,11
Flood,Puerto Rico,5,36,0,5
Flood,Finland,5,12,0,0
Flood,Belgium,5,13,0,1
Flood,Jordan,5,9,3,6
Flood,Switzerland,5,15,0,1
Flood,Canada,5,71,0,3
Flood,Saint Helena Ascension and Tristan da Cunha,5,41,0,0
Flood,United Arab Emirates,5,20,2,6
Flood,India,5,24,0,12
Flood,Mexico,5,29,2,16
Flood,Nigeria,5,34,3,10
Flood,Venezuela,5,13,1,12
Flood,Indonesia,5,91,0,8
Desertification,Syria,5,7,7,5
Drought,Italy,5,4,1,1
Flood,Qatar,4,19,0,4
Flood,Philippines,4,39,1,9
Flood,Uruguay,4,23,0,3
Flood,Bosnia and Herzegovina,4,28,0,0
Flood,Slovenia,4,25,0,0
Flood,Ghana,4,31,0,10
Flood,Pakistan,4,14,1,6
Flood,Kuwait,4,11,3,4
Flood,Hong Kong,4,18,0,10
Flood,Singapore,4,49,0,4
Flood,Croatia,4,27,0,0
Flood,Chile,4,11,1,4
Flood,Thailand,4,61,0,3
Flood,United Kingdom,4,42,1,1
Flood,Colombia,3,19,1,8
Flood,Argentina,3,33,2,7
Flood,Egypt,3,9,1,4
Flood,Denmark,3,14,0,1
Flood,Dominican Republic,3,14,0,14
Flood,Malaysia,3,88,0,9
Flood,Netherlands,3,13,0,1
Flood,Ireland,3,47,0,2
Flood,Bangladesh,3,33,0,5
Flood,Austria,3,14,0,0
Flood,Vietnam,3,55,0,2
Flood,Slovakia,3,11,0,0
Flood,Germany,2,27,1,1
Flood,Romania,2,14,1,3
Flood,Iraq,2,9,2,2
Flood,Lithuania,2,13,0,0
Flood,Greece,2,16,0,0
Flood,Turkey,2,20,1,2
Flood,Hungary,2,9,0,1
Flood,Kazakhstan,2,11,0,2
Water pollution,Taiwan,1,8,0,11
Flood,Russia,1,11,0,1
Flood,Ukraine,1,4,0,0
Flood,Japan,1,15,0,1
Flood,Zambia,0,21,0,0
No data,Palestine,0,0,0,0
Flood,Bahrain,0,16,0,0
Flood,Belarus,0,5,0,0
Flood,Mauritius,0,39,0,0
Flood,Senegal,0,14,0,0
Flood,Trinidad and Tobago,0,97,0,21
Flood,Latvia,0,16,0,0
Flood,Reunion,0,14,0,0
Flood,Madagascar,0,22,0,0
Flood,Yemen,0,7,0,0
Flood,Bulgaria,0,15,0,0
Flood,Libya,0,9,0,0
Flood,Haiti,0,30,0,0
No data,Cuba,0,0,0,0
Flood,Burkina Faso,0,22,0,0
Flood,Cambodia,0,17,0,6
No data,Cape Verde,0,0,0,0
Flood,Côte d'Ivoire,0,14,0,0
Flood,Myanmar (Burma),0,20,0,9
Flood,Estonia,0,10,0,0
Flood,Malawi,0,45,0,0
Flood,Democratic Republic of the Congo,0,14,0,0
Flood,Azerbaijan,0,10,0,0
Flood,Afghanistan,0,24,0,0
No data,Benin,0,0,0,0
Flood,Cyprus,0,16,0,0
Flood,Albania,0,8,0,0
No data,Botswana,0,0,0,0
Flood,Guadeloupe,0,20,0,0
No data,Mali,0,0,0,0
Desertification,Niger,0,0,77,0
No data,Swaziland,0,0,0,0
No data,Papua New Guinea,0,0,0,0
Flood,Fiji,0,64,0,0
No data,Rwanda,0,0,0,0
No data,Martinique,0,0,0,0
No data,Lesotho,0,0,0,0
No data,Guinea,0,0,0,0
No data,New Caledonia,0,0,0,0
No data,Gabon,0,0,0,0
Flood,Georgia,0,9,0,0
No data,Togo,0,0,0,0
Flood,Barbados,0,43,0,0
Flood,Guyana,0,52,0,40
Flood,Montenegro,0,22,0,0
No data,Mauritania,0,0,0,0
Flood,The Bahamas,0,30,0,0
Flood,Malta,0,19,0,0
No data,Djibouti,0,0,0,0
Flood,Laos,0,30,0,0
Flood,Uzbekistan,0,6,0,0
Flood,Brunei,0,52,0,0
No data,French Guiana,0,0,0,0
No data,Antigua and Barbuda,0,0,0,0
Flood,Iceland,0,18,0,0
No data,Jersey,0,0,0,0
No data,Liberia,0,0,0,0
No data,Macau,0,0,0,0
No data,Maldives,0,0,0,0
No data,South Sudan,0,0,0,0
No data,Chad,0,0,0,0
No data,Burundi,0,0,0,0
No data,Bhutan,0,0,0,0
Flood,Macedonia (FYROM),0,18,0,0
No data,Guam,0,0,0,0
Flood,Sierra Leone,0,100,0,0
