"Search interest in Brazil on former Brazil's president Lula on the April 4th, 2018, when Brazil's Supreme Federal Court decided on a preventive habeas corpus' request by Lula's defense",
"Data broken down by every 8 minutes. Numbers indexed from 0 to 100, where 100 means the highest search interest",
Hour (BSB time),Search interest
13:56,9
14:04,10
14:12,11
14:20,11
14:28,11
14:36,12
14:44,14
14:52,14
15:00,14
15:08,14
15:16,15
15:24,16
15:32,16
15:40,17
15:48,17
15:56,19
16:04,19
16:12,18
16:20,19
16:28,21
16:36,20
16:44,19
16:52,20
17:00,22
17:08,23
17:16,27
17:24,25
17:32,26
17:40,24
17:48,25
17:56,26
18:04,27
18:12,28
18:20,29
18:28,32
18:36,32
18:44,30
18:52,31
19:00,32
19:08,31
19:16,31
19:24,33
19:32,41
19:40,34
19:48,30
19:56,29
20:04,29
20:12,30
20:20,28
20:28,30
20:36,28
20:44,28
20:52,28
21:00,27
21:08,29
21:16,30
21:24,33
21:32,32
21:40,27
21:48,29
21:56,35
22:04,32
22:12,32
22:20,35
22:28,38
22:36,42
22:44,44
22:52,41
23:00,41
23:08,43
23:16,43
23:24,45
23:32,46
23:40,47
23:48,46
23:56,50
0:04,54
0:12,59
0:20,66
0:28,100
0:36,79
0:44,90
0:52,68
1:00,56
1:08,49
1:16,44
1:24,38
1:32,36
1:40,36
1:48,33
1:56,32
