"Search interest in different princes by day, worldwide",,,
"Search interest has been indexed to 100, where 100 is the maximum search interest",,,
day,Prince Harry,Prince,Prince William
Apr 16 2018,13,14,5
Apr 17 2018,12,14,5
Apr 18 2018,12,14,5
Apr 19 2018,15,28,6
Apr 20 2018,15,55,7
Apr 21 2018,23,55,10
Apr 22 2018,21,35,11
Apr 23 2018,38,32,93
Apr 24 2018,28,30,72
Apr 25 2018,23,27,47
Apr 26 2018,26,26,51
Apr 27 2018,29,27,72
Apr 28 2018,23,20,33
Apr 29 2018,25,19,23
Apr 30 2018,20,16,14
May 1 2018,21,16,12
May 2 2018,21,14,11
May 3 2018,26,14,9
May 4 2018,28,15,9
May 5 2018,29,16,9
May 6 2018,31,17,15
May 7 2018,25,24,9
May 8 2018,25,15,7
May 9 2018,27,15,7
May 10 2018,34,15,8
May 11 2018,41,15,8
May 12 2018,69,17,12
May 13 2018,77,17,15
May 14 2018,94,14,14
May 15 2018,98,14,14
May 16 2018,100,14,17
