"Les déguisements d'Halloween les plus recherchés en octobre 2018 par département en France // Top-searched Halloween costumes by region in October 2018 in France. Data set max value is 100, other values are indexed proportionally.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH,NINTH,TENTH,Alien (film),Ange,"Miraculous, les aventures de Ladybug et Chat Noir",ABBA,Adam et Eve,Aladdin,Alice aux pays des merveilles,La vie extraterrestre,Amélie,American Horror Story,American Nightmare (film),Ange dechu,Ange ou démon,Animal,Conjuring (film),Années 20,Années 50,Années 60,Années 70,Années 80,Années 90,Ariel,Asterix,Autruche,Avatar,Avengers,Banane,Bane,Barbie,Beetlejuice,Beyoncé,Black Swan,Blade Runner,Blanche Neige,Bollywood,Bonnie and Clyde,Breaking Bad,Canard,Captain Hook,Captain Phasma,Carnaval,Casa De Papel,Catwoman,Chaperon Rouge,Charleston,Charlie Chaplin,Chat,Chat Noir,Chauve-Souris,Chevalier,Cheval,Chewbacca,Chien,Chirurgien,Chucky,Citrouille,Cleopatre,Clown,Clown tueur,Coccinelle,Cochon,Coco,Cowboy,Crocodile,Cruella,Daredevil,Dark Maul,Dark Vador,Deadpool,Demon,Dessin animé,Dia de los muertos,Diable,Dinosaure,Disco,Disney,Doctor Who,Donald Trump,Dracula,Dragon,Dragon Ball Z,Écolière,Escargot,Ewok,Famille Addams,Fantôme,Fée Clochette,Forrest Gump,Fortnite,Freddy Krueger,Game of Thrones,Ghost Rider,Ghostbusters,Giraf,Gonflable,Grease,Groot,Han Solo,Harley Quinn,Harry Potter,Hermione Granger,Hippie,Hippopotame,Horreur,Hulk,Indiana Jones,Infirmière,Iron Man,It,Jack Sparrow,James Bond,Jason Voorhees,Jedi,Jelly Fish,Jigsaw,The Joker,Jungle,Kill Bill,Kingsman,La Belle Et La Bete,La Mode Gothique,Lady Gaga,Lapin,Lara Croft,Le Moyen Âge,Léopard,Leprechaun,Les Indestructibles,Licorne,Loup,Loup Garou,Madonna,Magic,Malefique,Manga,Marin,Mario Bros,Martha Stewart,Marvel,Mary Poppins,Mercredi Addams,Mère Noel,Mexicain,Michael Jackson,Michael Myers,Militaire,Minions,Minnie,Momie,Monster High,Monstre,Morticia Addams,Mousquetaire,Mulan,Ninja,Nonne,Oiseau,Padme Amidala,Panda,Panthère Noire,Pat Patrouille,Patinage Artistique,Peaky Blinders,Peter Pan,Pikachu,Pingouin,Pirate,Pocahontas,Pokemon,Policier,Pom Pom Girl,Pompier,Poule,Poupée maléfique,Power Ranger,Prêtre,Prince,Prince de Galles,Princesse,Princesse Jasmine,Princesse Leia,Prisonnier,Pyjamasque,Raiponce,Reine des Neiges,Requin,Robe de Mariée,Sailor Moon,Saw,Schtroumpf,Scooby Doo,Scream,Shrek,Sia,Simpson,Singe,Sirène,Sith,Slenderman,Sonic,Sorcier,Sorcière,Soubrette,Inquisition espagnole,Spiderman,Spock,Squelette,Star Wars,Steampunk,Stitch,Stormtrooper,Cinco de Mayo,Suicide Squad,Sumo,Super Hero,Superman,Teletubbies,Tim Burton,Crapaud,Tortue Ninja,Totally Spies,Transformers,Vache,Vaiana,Vampire,Venom,Versailles,Veterinarian,Veuve Noire,Viking,Voldemort,Walking Dead,Willy Wonka,Wolverine,Wonder Woman,Zombie,Zorro
Alsace,Nonne,Vampire,Harley Quinn,Grease,Grease,Horreur,Citrouille,Spiderman,Squelette,The Joker,0,8,0,0,0,0,0,8,0,8,0,0,0,21,8,8,8,0,8,17,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,25,0,0,8,0,8,8,8,0,8,0,8,0,0,25,0,21,8,0,0,8,8,0,8,0,0,0,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,17,0,0,8,8,0,0,0,0,12,25,0,0,33,17,8,8,0,25,8,0,8,0,0,0,8,0,0,8,0,25,0,0,0,0,0,8,8,8,8,0,0,0,21,0,0,8,0,0,8,0,0,0,17,0,17,0,12,0,0,0,17,0,8,0,25,8,0,8,8,42,0,8,8,0,0,0,8,0,8,0,8,0,8,0,0,8,0,17,17,0,8,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,8,0,0,0,0,0,17,0,0,0,37,0,0,0,0,0,0,0,0,0,0,21,0
Aquitaine,Harley Quinn,Casa De Papel,Zombie,Squelette,Vampire,Harry Potter,Citrouille,Mexicain,Chauve-Souris,"Miraculous, les aventures de Ladybug et Chat Noir",0,9,18,0,0,4,0,0,0,4,4,0,0,9,4,0,4,0,4,16,4,4,0,0,4,0,0,0,0,0,4,4,0,0,4,0,0,0,4,0,9,27,9,4,9,4,9,4,20,0,4,0,11,0,0,20,4,16,4,0,0,0,4,0,9,0,0,4,4,7,0,13,0,13,4,4,0,0,0,4,0,0,0,0,0,9,0,4,13,0,9,0,0,0,13,4,0,4,29,20,4,4,0,7,4,0,9,4,4,0,4,4,0,0,4,16,0,0,0,0,0,0,4,4,9,0,0,4,7,0,0,0,0,4,0,0,0,0,4,4,4,0,20,0,9,0,0,7,0,0,4,13,0,9,0,9,4,0,9,0,0,0,0,0,0,0,18,0,0,13,0,9,0,11,4,9,11,0,4,4,4,0,0,0,4,0,13,0,0,0,0,0,4,0,9,0,0,0,0,0,0,4,0,0,4,0,22,9,4,0,4,0,0,4,7,4,4,4,0,4,0,0,0,0,22,4,0,4,4,0,0,0,4,0,0,24,4
Auvergne,Spiderman,Années 80,Chien,Animal,Fantôme,Clown,Squelette,Squelette,Pompier,Hermione Granger,0,0,14,14,0,14,0,0,0,0,14,0,0,35,0,0,0,0,14,50,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,28,14,14,0,0,0,0,14,0,0,14,0,43,0,14,21,14,28,14,0,14,14,0,0,0,0,0,14,14,14,0,0,14,14,14,0,0,0,0,0,14,0,0,0,0,28,0,0,14,0,0,0,0,0,0,0,0,0,14,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14,0,0,14,0,0,28,0,0,0,14,0,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,14,0,28,0,28,0,0,28,0,0,0,0,14,0,0,28,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,28,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,28,14,0,0,0,14,0,0,0,0,14,14,0
Burgundy,Zombie,Harley Quinn,Pompier,Pirate,Le Moyen Âge,Fantôme,Minnie,Infirmière,Chien,Chien,0,24,12,0,0,12,0,0,0,12,0,0,0,0,12,0,0,12,12,12,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,12,0,0,12,24,12,12,0,0,0,12,12,0,12,0,24,0,0,0,0,24,18,0,0,0,12,0,0,0,0,0,12,18,0,24,0,12,12,0,0,0,0,0,12,0,0,0,0,30,0,0,12,12,0,0,12,0,0,0,12,0,42,12,0,24,0,0,0,0,24,0,0,0,12,0,0,0,12,18,0,0,0,0,0,0,12,0,36,0,0,0,18,0,0,0,0,0,12,0,0,0,0,0,0,0,12,12,12,0,0,24,12,0,0,12,0,0,0,12,0,0,0,0,12,0,0,0,12,0,36,0,24,12,0,36,0,12,0,12,18,0,0,0,0,0,0,0,12,0,12,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,24,12,0,24,0,0,0,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,0,12,12,0,0,0,0,47,12
Brittany,Clown,Zombie,Chien,Clown tueur,Vampire,Années 80,Citrouille,Infirmière,Infirmière,Infirmière,0,0,16,0,0,0,0,5,0,0,0,0,0,11,0,5,8,5,8,19,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,8,5,5,0,0,0,5,8,0,5,0,21,0,0,16,0,29,19,0,0,0,5,0,0,0,0,8,11,5,0,8,0,0,5,5,0,0,0,5,0,11,0,0,0,5,0,0,5,0,0,0,0,0,0,5,5,0,13,13,11,11,0,0,0,0,16,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,8,0,5,0,5,0,16,0,0,0,0,0,16,0,0,0,0,5,0,0,11,0,5,0,5,0,0,5,5,13,0,5,5,8,0,0,0,0,5,0,8,0,0,0,11,5,0,5,0,8,0,11,0,5,5,0,0,5,5,8,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,5,0,11,5,0,0,0,11,5,0,0,0,5,5,0,0,0,19,5,0,0,0,5,0,5,0,0,8,27,5
Centre-Val de Loire,Harley Quinn,"Miraculous, les aventures de Ladybug et Chat Noir",Clown,Années 80,Coco,Chien,Années 70,Vampire,Pirate,Peaky Blinders,0,7,30,0,0,0,0,0,0,7,0,0,0,8,0,7,0,0,22,23,0,8,0,0,0,7,15,0,7,0,0,0,0,8,7,0,0,0,0,0,15,15,0,0,7,0,7,7,11,0,0,0,22,0,7,7,0,26,8,0,7,23,7,0,0,0,0,0,0,7,0,8,7,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,15,0,8,0,0,0,0,8,7,0,30,11,7,0,0,15,7,0,8,8,0,0,0,0,0,0,7,7,7,0,0,0,0,0,15,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,15,15,0,0,0,8,7,0,8,0,0,0,0,7,0,0,0,0,0,0,22,0,0,0,22,0,8,7,0,7,0,0,0,8,19,0,0,0,0,8,7,0,11,0,7,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,19,0,15,15,8,8,7,0,0,7,0,7,8,0,0,0,0,0,7,0,22,0,0,0,7,0,0,0,0,0,7,19,0
Champagne-Ardenne,Citrouille,Harley Quinn,Clown,Spiderman,Fantôme,Chucky,Harry Potter,Casa De Papel,Zombie,Clown tueur,0,0,29,15,0,0,0,0,0,0,15,0,0,0,0,0,15,15,15,15,0,0,0,0,0,15,0,0,15,15,15,0,0,0,0,0,0,0,0,0,29,30,0,15,15,0,15,0,0,0,0,0,15,0,30,67,0,44,29,0,0,0,0,0,0,0,0,0,15,0,0,15,29,29,15,15,0,0,0,0,0,15,15,0,0,37,0,0,15,0,15,0,0,0,0,15,0,0,44,30,15,15,0,0,0,0,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,29,15,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,15,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,22,15,0,0,0,0,15,15,0,0,0,29,0
Corsica,Catwoman,Grease,Grease,Prince,Clown,Chucky,Wonder Woman,Pyjamasque,Marin,Marin,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,100,0,0,0,0,0,50,0,0,0,50,0,50,0,0,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,50,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,99,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
Franche-Comté,Fortnite,Années 60,Chien,Chien,Ninja,Ninja,Vampire,Horreur,Horreur,"Miraculous, les aventures de Ladybug et Chat Noir",0,0,33,0,0,0,0,17,0,0,0,0,0,0,0,0,17,34,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,17,0,0,17,0,17,17,0,0,0,0,34,0,0,25,17,34,0,17,0,0,0,0,17,0,0,0,17,0,0,0,0,17,0,17,0,0,0,0,0,17,0,0,0,17,0,0,42,0,0,0,17,0,0,0,0,0,17,0,17,17,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,17,17,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,0,17,17,0,0,0,0,0,0,34,0,0,0,0,0,17,0,17,0,17,0,17,0,0,25,0,0,0,17,0,0,17,0,0,0,0,0,0,0,34,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,17,0,0,0,17,0,0,17,0,0,17,0,0,0,33,17,0,0,0,0,0,0,0,0,17,17,0
Île-de-France,Harley Quinn,Vampire,Clown,Zombie,Pirate,Spiderman,Casa De Papel,Harry Potter,The Joker,Citrouille,1,8,8,1,0,1,0,1,0,1,6,1,1,6,2,5,1,3,3,8,5,2,1,0,1,3,1,0,2,2,2,3,0,1,1,0,1,1,1,0,4,15,8,2,2,1,2,2,8,0,3,1,6,0,4,12,3,21,9,1,1,2,3,1,2,0,1,2,2,4,0,11,3,7,6,4,1,1,1,2,1,1,1,0,0,6,3,0,7,1,1,0,0,0,3,3,1,0,24,13,3,3,0,6,1,0,8,3,2,2,2,1,2,1,1,12,1,1,3,0,0,1,5,4,7,1,0,5,6,1,0,1,1,1,2,2,1,0,4,1,2,0,6,1,2,1,3,2,2,1,3,3,1,1,5,12,1,0,1,0,1,0,2,1,1,0,21,2,1,7,0,6,1,4,3,3,7,1,1,2,1,2,1,1,4,1,4,0,0,0,1,0,1,0,2,1,0,0,1,1,0,1,1,0,19,0,11,5,2,2,1,0,0,1,11,2,1,3,0,2,3,1,1,2,22,6,1,0,1,2,1,1,1,1,7,21,1
