"Search interest in ""gilets jaunes"" movement in France and worldwide. // Intensité de recherches pour le mouvement ""gilets jaunes"" en France et dans le monde.",,
Date,France,World (excl. France)
Nov 1 2018,0.00,0.00
Nov 2 2018,0.00,0.00
Nov 3 2018,0.00,0.00
Nov 4 2018,0.00,0.00
Nov 5 2018,0.00,0.00
Nov 6 2018,0.00,0.00
Nov 7 2018,0.00,0.00
Nov 8 2018,0.00,0.00
Nov 9 2018,0.00,0.00
Nov 10 2018,0.00,0.00
Nov 11 2018,1.26,0.00
Nov 12 2018,2.59,0.00
Nov 13 2018,7.94,0.00
Nov 14 2018,11.73,0.00
Nov 15 2018,16.64,0.00
Nov 16 2018,38.47,14.71
Nov 17 2018,100.00,47.36
Nov 18 2018,55.03,32.14
Nov 19 2018,58.23,35.81
Nov 20 2018,42.42,28.79
Nov 21 2018,32.49,27.43
Nov 22 2018,25.36,24.05
Nov 23 2018,32.20,25.81
Nov 24 2018,78.98,60.92
Nov 25 2018,31.95,43.10
Nov 26 2018,21.73,29.06
Nov 27 2018,19.25,26.53
Nov 28 2018,18.97,24.76
Nov 29 2018,19.39,21.20
Nov 30 2018,27.71,32.94
Dec 1 2018,83.81,77.44
Dec 2 2018,54.97,100.00
Dec 3 2018,42.90,92.14
Dec 4 2018,34.92,72.38
